date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""환기가 잘 돼요""",이 키워드를 선택한 인원
9.26.금,삼겹살 맛집! 생고기라 고기 식감도 좋고 맛있다능~너무 인기 많은 곳이라 시간대 잘 잡아야 할듯! 두번째 방문했습니다. 직원분들도 친절하시고 삼겹살하면 생각 날것 같아요!
10.10.금,반응 남기기 방문일 10.10.금 2025년 10월 10일 금요일 1번째 방문 인증 수단 결제내역
5.9.금,점심메뉴로 김치전골이 만원에 셀프 계란후라이도 있어서 좋네요~ 김치보다 어묵맛이 많이 나고 다 먹을때쯤에야 국물이 진하게 맛있어져서 오래 끓여야하는 아쉬움ㅠㅠ
4.23.수,자주 애용합니다. 그리고 맛있어요~
5.16.금,밑반찬도 마싯구.고기도 마싯고 야장도 좋구..잘먹엇습니다 ㅎ
8.15.금,반응 남기기 방문일 8.15.금 2025년 8월 15일 금요일 1번째 방문 인증 수단 영수증
9.7.일,반응 남기기 방문일 9.7.일 2025년 9월 7일 일요일 1번째 방문 인증 수단 영수증
5.10.토,고기도 맛나고 친절하새용
8.26.화,반응 남기기 방문일 8.26.화 2025년 8월 26일 화요일 1번째 방문 인증 수단 영수증
6.2.월,반응 남기기 방문일 6.2.월 2025년 6월 2일 월요일 2번째 방문 인증 수단 영수증
10.19.일,반응 남기기 방문일 10.19.일 2025년 10월 19일 일요일 2번째 방문 인증 수단 영수증
1.27.월,삼겹살 품질이 꽤나 좋았습니다. 친구들하고 간만에 만나 편하게 회포풀고 맛있게 먹었습니다.
6.7.토,반응 남기기 방문일 6.7.토 2025년 6월 7일 토요일 1번째 방문 인증 수단 영수증
9.22.월,반응 남기기 방문일 9.22.월 2025년 9월 22일 월요일 1번째 방문 인증 수단 영수증
24.9.21.토,"날씨가 좋아서 야외에서 고기구워먹자 하고 돌아다니는데 오늘 사람이 다 만석이더라구요. 여기가 냄새가 좋고 사람도 많아서 대기하다가 앉았어요. 직원분들 바쁘신데도 친절하셨고 행사로 삼겹살 500g을 35,900원에 팔더라구요. 김치 파김치 콩나물은 구워먹고 부추는 생으로 먹었는데 고기도 반찬도 다 맛있어서 열심히 먹고 왔습니다. 대기한다고 맥주 한 병 서비스 주셨는데 못 마시고 와서 아쉽네요. 모처럼 기분좋게 잘 식사했습니다. 옆에 클럽이 저녁 8시 이후에는 노래를 크게 틀으니 시끄러운거 싫어하는 분은 참고하세요."
4.7.월,반응 남기기 방문일 4.7.월 2025년 4월 7일 월요일 1번째 방문 인증 수단 영수증
24.9.23.월,범계에 이렇게 가성비 넘치는 고깃집이 있었다니 ㅜㅜ 가격이 저렴해도 고기질이 나쁘지 않고 잡내도 안 나고 두툼하고 맛있었어요! 그리고 가성비 있어서 고기를 주워주실 줄은 몰랐는데 직원분이 구워주시니까 더 좋더라구요 엄청 맛있게 구워주셨어요 😋 양도 많고 맛있어서 배부르게 먹었습니다!
4.26.토,반응 남기기 방문일 4.26.토 2025년 4월 26일 토요일 1번째 방문 인증 수단 영수증
24.7.20.토,"가격 너무저렴하고 매장도 24시라니,,갬동 병원때문에 아침일찍 갓다가 문연식당이 없어서 포기하려고햇눈데 유일하게 문연식당🥲 너무 맛있고 600그람에 35900원..둘이 싹다먹구나왔어요 헤헤 행복아점"
1.25.토,친구랑 만나 술 한잔
1.25.토,전골과 찌개를 맛나게 먹었지만 폭풍 ㅅ사 했어요
24.9.10.화,와우…… 정말 정말 몇년만에 다시 간 곳. 인테리어가 바뀐것 같았으나 맛은 👍 삼겹살이 이런맛이지…. 하고 느낄 수 있는 곳입니다.
24.9.21.토,아침부터 중국요리를 먹었더니 힘이 넘쳐 흘러 청귤청 만들 청귤 다 닦아놓고 헬스장에 가서 웨이트 좀 때리다가 비 그치고 날씨가 너무 좋길래 유산소로 밖에서 조깅까지 해버렸더니 배가 너무 고파서 청귤청 다 만들고 야외에서 고기 먹으러 범계로 출동~  날씨가 좋아선지 음식점이 거의 다 만석이라 오복솥뚜껑 예약해놓고 걸어가다가 사람 많은 장안생고기도 예약해놓고 사자갈비까지 예약해놓고 먼저 연락 오는 곳 가기로 함  장안생고기 당첨  25주년 행사로 삼겹살 500g 35900에 판매하길래 바로 주문+카스 1병  고기 잡내 1도 없고 깔끔한 편 부추무침 상추 깻잎 모두 신선하고 맛남 김치랑 대파김치 구워서 삼겹살이랑 같이 쌈싸 먹으니 JMT  다음에 또 갈 듯  아 옆 집이 클럽인데 시끄러움
24.8.11.일,오뎅이 들어간 김치찌개는 처음 먹어봤는데 완전 대존맛탱이네요!! 여자친구가 맛있다구 아침부터 데려갔는데 진짜 최고👍👍 라면사리 못참고 하나 추가해서 먹었는데 진짜 맛도 맛이지만 양이 너무 푸짐해서 3인분 시킨줄 알았어요… 반찬으로 나오는 나물이랑 무생채 묵은지 진짜 김치찌개랑 너무 잘어울려서 밥이랑 쓱싹 해버렸네요 ㅎㅎ 진짜 너무 맛있게 배터지게 먹고 갑니당~😀
24.7.27.토,"새벽 4시임에도 테이블 하나 빼고는 모두 차있었습니다. 운 좋게 식사할 수 있었어요 😊 일정 마무리 느낌으로 방문한거라 김치전골을 먹었는데, 너무너무 맛있었어요! 다음에 또 방문한다면 무조건 고기 메뉴도 먹어보고 싶네요. 그리고 홀에서 일하는 점원분이 너무 친절하셔서 기분도 좋았습니다😊❤️ 번창하세용"
1.16.목,반응 남기기 방문일 1.16.목 2025년 1월 16일 목요일 1번째 방문 인증 수단 영수증
24.12.8.일,생삼겹살 500g 35900원. 가성비 굿
24.9.27.금,오늘도 맛있고 푸짐하게 즐겼습니다👍😏🤗
24.7.26.금,퇴근 후 늦은 시간 혼밥하기도 같이 누군가와 다니기도 좋은 고깃집. 감사히 잘 먹고 갑니다. 😊🙏
24.11.29.금,점심 한끼 푸짐하게 먹고 왔어요 ^^
24.5.16.목,범계역 맛집 24시영업 밥먹을수있는곳 완전맛있는 밥집!!! 낮에는 찌개에밥먹고 저녁에는 고기먹자~~~ 찐맛집이예요 강력추천합니다 👍 👍 👍 👍
