date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
9.8.월,반응 남기기 방문일 9.8.월 2025년 9월 8일 월요일 8번째 방문 인증 수단 영수증
8.4.월,반응 남기기 방문일 8.4.월 2025년 8월 4일 월요일 7번째 방문 인증 수단 영수증
7.9.수,반응 남기기 방문일 7.9.수 2025년 7월 9일 수요일 6번째 방문 인증 수단 영수증
5.26.월,반응 남기기 방문일 5.26.월 2025년 5월 26일 월요일 2번째 방문 인증 수단 영수증
24.12.19.목,오리 냄새도 안나고 정말 맛있어요 밑반찬도 맛있어요
3.27.목,반응 남기기 방문일 3.27.목 2025년 3월 27일 목요일 3번째 방문 인증 수단 영수증
24.11.8.금,반응 남기기 방문일 24.11.8.금 2024년 11월 8일 금요일 1번째 방문 인증 수단 영수증
24.8.22.목,오래된 집이지만 특히 김치가 맛있어서 인상에 남아요.^^
24.2.19.월,반찬이 정갈하고 가격대 가성비 값이에요 집밥느낌~~! 김치가 정말 맛있어요. 오늘의 메뉴 순두부 먹었는데 너무 맛있어요~~^^ 잘 먹었습니다.^^
23.2.21.화,식당에서 이상한 냄새 남 (폐유 냄새인 듯) 지인 추천으로 가봤지만 위생이 너무 별로임. 반찬으로 나온 오뎅에선 상한 기름 맛이 진동하고 메인으로 나온 제육은 평범했으나 위생이 걸려 차다 다 먹지는 못하고 나옴
23.4.25.화,반응 남기기 방문일 23.4.25.화 2023년 4월 25일 화요일 1번째 방문 인증 수단 영수증
23.1.11.수,Soso..시크하시네요 매장이 전체적으로 지저분.. 쟁반보고 밥맛이 좀떨어졌어요;
22.11.8.화,엄마가 해주던 맛! 가정식백반. 적당히 맵고 달지 않아 물리않는 제육볶음
22.11.8.화,적당히 매콤하고 양념듬뿍 제육볶음 가성비 좋아요
23.1.4.수,반응 남기기 방문일 23.1.4.수 2023년 1월 4일 수요일 1번째 방문 인증 수단 영수증
22.12.21.수,반응 남기기 방문일 22.12.21.수 2022년 12월 21일 수요일 1번째 방문 인증 수단 영수증
22.10.22.토,반응 남기기 방문일 22.10.22.토 2022년 10월 22일 토요일 1번째 방문 인증 수단 영수증
22.9.14.수,혼자 먹기 좋아요~
22.10.11.화,반응 남기기 방문일 22.10.11.화 2022년 10월 11일 화요일 2번째 방문 인증 수단 영수증
22.9.5.월,반응 남기기 방문일 22.9.5.월 2022년 9월 5일 월요일 1번째 방문 인증 수단 영수증
22.9.30.금,반응 남기기 방문일 22.9.30.금 2022년 9월 30일 금요일 5번째 방문 인증 수단 영수증
22.7.4.월,반응 남기기 방문일 22.7.4.월 2022년 7월 4일 월요일 4번째 방문 인증 수단 영수증
22.6.9.목,반응 남기기 방문일 22.6.9.목 2022년 6월 9일 목요일 2번째 방문 인증 수단 영수증
22.6.16.목,반응 남기기 방문일 22.6.16.목 2022년 6월 16일 목요일 3번째 방문 인증 수단 영수증
22.5.27.금,반응 남기기 방문일 22.5.27.금 2022년 5월 27일 금요일 1번째 방문 인증 수단 영수증
22.1.28.금,반응 남기기 방문일 22.1.28.금 2022년 1월 28일 금요일 1번째 방문 인증 수단 영수증
21.10.20.수,제육볶음은 그다지.. 고기가 질겨요~
21.6.21.월,맛있고 친절해요. 음식이 아주 깔끔해요
21.5.13.목,반찬이 맛있고 정성이 가득해요
21.6.10.목,반찬도 잘나오고 좋아요. 맛있어요
21.6.17.목,반응 남기기 방문일 21.6.17.목 2021년 6월 17일 목요일 3번째 방문 인증 수단 영수증
21.4.7.수,항상 친절하고 항상 맛있어요
21.3.25.목,여사장님 음식 솜씨가 쵝오 서빙하는 이모님들 친절하고 가족처럼 해주셔서 넘 좋아요
21.6.11.금,반응 남기기 방문일 21.6.11.금 2021년 6월 11일 금요일 1번째 방문 인증 수단 영수증
21.3.8.월,"제육볶음 맛있고 기본 된장국, 반찬도 보통 이상으로 괜찮았습니다."
21.2.25.목,항상 맛있게 먹어요
20.12.22.화,항상 맛있고 친절하세요
20.12.14.월,자주가요 항상 맛나네요 굳
21.2.16.화,반응 남기기 방문일 21.2.16.화 2021년 2월 16일 화요일 7번째 방문 인증 수단 영수증
20.12.8.화,음식 넘 맛있어요
21.1.11.월,반응 남기기 방문일 21.1.11.월 2021년 1월 11일 월요일 6번째 방문 인증 수단 영수증
20.10.5.월,자주가요 친철하고 음식 맛있어요
20.9.9.수,오늘에 메뉴~ 넘 맛있어요
20.9.29.화,반응 남기기 방문일 20.9.29.화 2020년 9월 29일 화요일 1번째 방문 인증 수단 영수증
18.11.15.목,반응 남기기 방문일 18.11.15.목 2018년 11월 15일 목요일 1번째 방문 인증 수단 영수증
