date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""환기가 잘 돼요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
8.30.토,"육사시미,육회,육우모듬,김치말이 국수까지 최고였습니다.👍 천엽,생간 기본 찬에 나오는데 퀄리티가 너무 좋아요 진짜 고기 질 좋은게 눈으로 보이고 너무 맛있어요! 아기의자도 챙겨주셔서 편하게 먹었습니다!❣️"
10.18.토,고기 질은 말모.. 너무 좋구요... ❤️먹는데 살살 녹네요 🥺 진짜 인생 한우집 찾앗어요!! 기본 반찬들도 다 너무 맛잇고 사장님분도 친절하시고 다 모든게 완벽해요🤗
10.18.토,"마장동에 소고기먹으러 왔어요. 오랜만이라 여러곳 리뷰 보고나서 고기질이 좋다는 리뷰보고 찾아왔어요. 소고기 무국 서비스도 좋고 고기때깔도 좋고 , 맛있네요!! 추천이요"
