date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""환기가 잘 돼요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
10.7.화,부산 사는데 명절연휴라 전주 친정 왔어요~~ 예전에 한번 와본 위치에 다른 고기집이 생겼네요~~ 그전 이름은 생각안나요~ 검색해서 후기 좋아서 방문했는데.. 대기가 ㅠㅠ 예측 못했는데.. 동네 맛집인가봐요.. 일하시는 분들이 많지 않으신데 빠릿빠릿 하셔서 안내도 제대로 해주셨어요!! 바쁘신 와중에도 고기 기본 구워주시고 친절함 기본!! 방치되는 느낌 아니여서 기분 좋았구요!! 술 저렴!! 고기 맛도리!! 특히 항정살 꼭 드세요^^ 이러케 싱싱한 항정살 오랜만에 봐요!! ㅎㅎ 기본찬도 맛있구요~ 동네 맛집!! 심지어 가성비 맛집!! 우아동 호성도 고기 맛집 찾으시면 요기 추천요!! ^^ 부산사는 맛집 좋아하는 전주여자 추천!! ㅎㅎㅎㅎ
10.20.월,고기도 신선하고 구워주시고 테이블도 넓고 ~!
