date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
9.15.월,rsg성수 올때마다 들리는 곳 🛵 라이더 할인도 해주셔서 너무 좋아용 👍 2층에서 밥먹고 알슥에서 음료마시면 20프로 할인 개이득 🫣 육회비빔밥이랑 보쌈정식 꼭 드셔보세용 계속 생각 나는 맛 🫶
9.10.수,진짜 너무맛있었어요. 만두도 서비스로 주시구 다른분들 한상 ? 차림으로 많이드시던데 혼자 든든하게 먹기 정말좋을거같아요
9.10.수,출근하다가 눈에 보여서 처음 가 봤습니다. 주문하자마자 음식이 거의 바로 나오니 참 좋으네요. 보쌈 정식이 대표라고 적혀 있어서 주문했는데 깜끔하니 정갈하게 나왔습니다. 다만 정갈한데 좀 풍성한 느낌은 조금 아쉽습니다. 그런데 전반적으로 만족 합니다. 직원분들도 무척 친절 하시구요
