date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""샐러드바가 잘 되어있어요""","""샐러드바가 잘 되어있어요"""
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
10.10.금,정성식탁 벌써 2년째 방문하고 있는데 정말 나만 알고싶은 맛집이에요! 서울로 이사갔지만 이 맛을 잊지못해 찾아올 정도랍니다..❤️ 오늘도 음식과 서비스 모두 만족스러운 식사였어요~ 먹물파스타 완전 추천드립니다!!
10.4.토,메뉴 엄청 맛있는건 당연하고 눈이먼저 즐겁게나와요ㅎㅎ  그릇도 플레이팅도 장난아니네용!!!  갈비파스타는 조금 더 매콤했음 좋겠어서 말씀드리니 더 매콤하게 조리해주셨고 스테이크 찍어먹을 소금요청드리고 콕콕 찍어먹으니 풍미가 더 좋았어요♥︎  기분좋게 잘먹고갑니다!
10.15.수,"파스타가 땡기던 10월의 어느 날, 나는 이곳을 찾았다. 전체적으로 차분한 톤의 인테리어에 편히 QR코드로 주문을 하자 큰 기다림없이 바로 요리가 나왔다. 높은 가격에 걱정했는데 사이드로 나온 샐러드의 새콤함에 우선 기분이 좋아졌다. 명란크림파스타는 안쪽까지 꽉 차있어서 양이 상당했으며 생각 외로 느끼함이 없이 깔끔한 뒷맛이었다. 대부분 식당에서 후식으로 커피를 찾으나 이 집은 그럴 필요없었고 고소함과 명란향이 좋아서 아예 접시까지 핥으며 크림을 모두 탐하였을 정도였다. 사이드로 주문한 고르곤 크림 바게트는 고르곤졸라 특유의 꼬릿함이 치즈, 꿀, 바삭한 빵과 합쳐지니 이건 집에서 꼭 해먹어야겠다 싶은 맛이었다. 전체적으로 값을 지불함에 있어 아쉬움이 없었으며... 정말 맛있게 잘 먹었습니다! 🫡"
9.7.일,집 바로옆에 이런 맛집이 있었네요 ㅎ 얼마전에 리모델링하고 새로 오픈해서 신랑이랑 늦은 점심먹으러 들렀습니다 분위기도좋고 음식은 말하면 입아파요 ㅎ매콤갈비파스타 입에 딱 맞습니다..신랑이 먹은 봉골레파스타는 바지락양이 어마어마하네요 ㅎ 맛있게 잘 먹었습니다
10.18.토,시그니처 메뉴와 스테이크가 맛있었습니다! 사이드로 내주시는 옥수수밥이 정말 킥이었어요~ 인테리어도 너무 멋지고 식기도 정갈하게 예쁘고 서비스도 너무 좋으시고 음식 맛도 최고였습니다. 다음에 또 올게요!
9.13.토,"일단 들어가자마자 식당 분위기가 너무 예뻐서 놀랐어요..!! 인테리어가 따뜻하고 좋아서 음식 나오기 전부터 기분이 좋아지는 것 같아요!! 음식이 생각보다 엄청 빨리 나와서 많이 안기다리고 먹을 수 있었는데, 맛도 좋아서 완전 만족한 식사였습니다! 가족들이랑 좋은 시간 보낼 수 있어서 행복했어요😊 다음에 기회가 된다면 꼭 다시 오고싶어용"
10.18.토,언제나 늘 오는 곳 ~ 너무 맛있어요 다 맛있어서~~다 추천이요
10.12.일,몇번째오는지모르겠어요! 먹물새우리조또가 최애메뉴에용 💕
8.29.금,사장님 오늘도 맛있게 잘 먹었습니다!! 오늘은 처음으로 명란크림파스타도 먹었는데 역시나 너무 맛있었어오 ㅎㅎ👍 항상 그 맛 그대로 💞 잘 먹었습니당 또올게용 💗💗💗
9.27.토,"친구들이랑 점심식사하러 들렸는데, 분위기도 좋고 음식도 넘 맛있어요❤️ 모든 메뉴가 다 맛있었습니다^^"
10.3.금,"리조또, 파스타 맛집이에요♡ 늘 맛있게 먹고있어요~ 오래오래 있어주세요😆"
9.12.금,매장 분위기가 깨끗하고 사장님도 친절하시고 직원 분도 친절하세요 음식도 너무 맛있고 양도 많아요. 서비스로 샐러드랑 작은 밥도 주는데 그것도 굉장히 맛있습니다. 재방문 무조건 할게요.💕
10.19.일,원래 크림이나 로제를 좋아하는 편이 아닌데도 너무 맛있게 먹었어요! 성대 오시면 꼭 먹어봐야 할 맛집인것 같아요!
10.18.토,파스타랑 리조또가 맛있네용 ㅎㅎ 피클도 직접 담그시는 것 같은데 맛있어요!
9.21.일,와우 여기 너무좋네요 찐~~♡ 이네요. 와 양도많고 깔끔!! 맛있어요 또올래요
9.25.목,세상에 접시도 너무 예쁘고 음식도 예쁘고 맛은 말해뭐해 대박이요! 첨왔는데 진짜 다 맘에들어요ㅠㅠㅠ최고💛💛
8.29.금,"근처 일이 있어서 왔는데 맛있네요. 매콤갈비, 명란크림, 볼로네제, 뇨끼 먹었는데 개인적으로 뇨끼가 제일 맛있었어요. 쿠폰으로 무료 샐러드도 받았는데 맛있게 먹었어요. 전반적으로 간이 세지 않아 좋네요. 추천해요."
8.20.수,몇번째 방문인지 기억안날 정도..💗 먹물리조또는 매번 올때마다 시키는데 매번 만족스럽당 스테이크도 너무 부드러움 🤓👍 맛있게 잘 먹었습니다 ! 또 올게요 💗💗💗
9.16.화,여기 파스타 리소또 다 존맛탱이에여 율전동 유명한 맛집임!! 먹물새우파스타 진짜 예술이에여ㅠㅠ 너무너무 마시써요!!!
9.3.수,엄마생일 기념으로 방문했어요. 맛있는 음식에 기분좋은 플레이팅에 엄마가 너무너무 만족하셨어요~~~ 친절한 서비스에 더욱 감동했어요. 다음에 남편하고 데이트로 또또또 올래요~
9.9.화,분위기도 너무 좋고 음식도 너무 맛있어용 ㅎㅎ 스테이크 고기 안질기고 부드러워요!! 파스타도 양 많고 푸짐해서 좋아요!!
8.30.토,음식이 보는것처럼 맛있어요~^^ 샐로드랑 볶음밥은 기본으로 주면서 추가도 되는데 메인메뉴 먹음 배불러서 더 못 먹겠더라고요 토요일 점심 맛있게 먹고 갑니다
8.26.화,자주찾는곳입니다. 매번 친절하고 맛있는 장소 입니다. 오늘도 가족들과 맛있게 먹고 갑니다.
