date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
9.10.수,푸짐하고 가성비 정말 좋은 청량리 밥집! 부대찌개도 맛나고 제육+오징어볶음도 짱맛탱 밑반찬 하나하나 다 직접 만드시는데 반찬이랑 밥만 먹어도 한그릇 뚝딱입니다~ 손맛 좋고 친절하신 사장님 맛나게 잘 먹었습니다😊🔥
9.11.목,와ㅜㅜ부대찌개맛집이에요!!!너무맛있어요ㅎㅎ 사장님도친절하고 너무좋았어용^^~~~ 자주갈게요
8.9.토,"벌써 두번째방문이예요 여기 오징어볶음이랑 감자전 맛집이예요 오늘 오픈런해서 들어갔는데 사장님 인상도좋으시고 손은 얼마나빠르신지,, 다음에 또들릴께요~~ 그땐 다른메뉴먹어봐야겠어요 사장님 더운날씨 건강챙기세요:)"
9.4.목,맛있었어요 부대찌개 사리추가해서 꼭 드세요 맛있어요 부대찌개에 콩나물 들어가서 깔끔한맛이 나서 좋아요 맛있어용
9.16.화,부대찌개 자극적이지 않고 맛있는 맛! 밑반찬도 너무 맛있었어요 :) 추천추천!
9.20.토,"집에서 엄마가 해준것 같은 푸짐하고 정겨운 닭볶음탕입니다 :-)그리고 사장님이 친절하셔서 좋았더요! 소주를,,, 마시고 싶었는데 다음 일정이 있어서 못 마셔서 통탄함"
9.20.토,"닭볶음탕 국물이 좀 많아보여 싱거운 게 아닌가 하고 먹었는데 간도 딱 맞고 정말 너무 맛있게 먹었어요͙ᐟ 닭도 냄새 안나고, 감자도 적당하게 익어있고, 양도 넉넉해서 3명이서 배터지게 먹을 정도였어요 ㅎㅎ"
8.13.수,오늘도 잘 먹고 갑니다~ 제육이랑 부대찌개 먹었는데 다음엔 다른걸 먹어봐야겠어요!
7.17.목,양이 많고 건더기가 푸짐한 부대찌개에요! 시장감성 그대로에 반찬도 다 엄청 맛있어서 좋아요. 정식 느낌으로도 손색없는 곳입니다~
8.4.월,당면이랑 콩나물 들어있어서 항상 맛나요.. 맛난 부찌하면 딱 생각나는 맛!
7.23.수,맛있고 가격 착하고 반찬이 직접 만드셔서 깔끔해요!! 사장님도 너무 친절해서 추천합니다
8.8.금,이 근처 부대찌개집 찾아서 방문했는데 맛있게 잘 먹고 갑니다~ 반찬도 맛있었어요 제가 양이 많았다면 밥 두그릇먹었을것같아요
6.26.목,우앙 부대찌개 2인분인데 양이 엄청 푸짐해요 건더기도 넘쳐나고 햄이 다양하게 들어가서 좋았어요 국물도 진하고 반찬도 집에서 엄마가 해준 반찬같아서 너무 맛있었어요~!
7.29.화,반찬 직접 만드셔서 정갈해요! 집밥 스탈 부대찌개도 양많고 밥도 양많고 ㅜ 완전 맛있어용 그리고 라면사리 추가는 필수입니당~
8.20.수,청량리 최고맛집 ! 엄마집밥 생각나면 오는집 닭도리탕은 미리 예약하고와야 바로 먹을수있고 생선구이나 부대찌개는 바로 먹을수있어서 좋아요
5.27.화,"부대찌개가 먹고싶어서 방문했는데 라면,당면,떡,두부등 사리도 다양하고 양도 많고 간도 적당해서 너무 맛있게 먹었어요!! 반찬5개가 나오는데 하나하나 다 맛있더라고요 사장님이 직접 다만드시는거라고 하셨는데 손맛이 진짜 대박이신것같아요!! 경동시장의 숨은 맛집입니다"
8.14.목,친구들이랑 생선구이가 먹고 싶어서 방문했는데 진짜 생선구이 맛있고 술도 부르는 맛이에요 !! 사장님도 엄청 친절하셔서 좋았어요 !
8.25.월,정말 맛있는곳.. 처음와봤는데 이렇게 맛있는곳 처음..ㅜㅜㅜㅜ 사장님 너무 맛있게 잘먹었습니다!!!
6.17.화,"청량리맛집 정원식당에서 회사 동료들이랑 점심먹음 친절한 사장님 음식 빠르게 나와서, 밥먹고 쉬러갈시간도 충분히 남아서 좋았음. 가성비 있고 JMT!"
3.28.금,경동시장 안에 있는 정원식당이에요. 닭도리탕 중을 시켰는데 양이 어마어마하게 많아요. 반찬도 5개 나오고 푸짐한 식당이에요. 사장님이 인상이 좋고 인심이 좋은 식당이에요. 주류도 있어서 식사하면서 반주하기 좋아요. 반주하는 손님들도 많아요. 닭도리탕을 끓이면서 먹는 푸짐한 경동시장 정원식당이에요. 푸짐한 식사를 하고 싶으시면 경동시장 정원식당 추천합니다
9.17.수,닭볶음탕 먹었는데 너무 맛있게 먹었어요! 양도 푸짐하고 특히 국물이 맛있어요ㅋㅋ 밥 꼭 비벼 먹어야해요
7.28.월,"음식이 정갈하고 맛있어요. 혼밥도 가능하고 사장님이 친절하셔요. 밑반찬은 집밥처럼 정갈해요. 1인분이 다른집 1.5인분 정도는 됩니다, 양이 많아요. 재방문의사 100%입니다."
6.18.수,"정원식당 사장님 완전 친절!!!! 부대찌개 먹었는데, 엄청 맛있어서 눈물콧물남!!! 진짜 최고최고♡♡♡♡  청량리 맛집 오래오래해주세용~~~~~^^"
5.21.수,청량리 맛집 찾았습니다 사장님 음식솜씨가 미첬어요!! 반찬도 하나하나 다 맛있습니다 단골 예약이에오
5.2.금,가격대비 가성비 너무 좋아요! 거기다 맛은 덤으로!! 반찬도 여러가지에다가 조미료맛이 강하지않아서 끝맛까지 좋았습니다!☺️
7.24.목,사장님 참 친절하시고 반찬 깔끔하게 나와요 직접 만드셨는지 손맛이 죽입니다!!!
8.15.금,친절하시고 음식 퀄리티도 좋았어요!! 사장님도 친절하셨고 음식이 대체적으로 집밥 느낌이라 너무 좋았어요 ㅎㅎ 다음에도 방문하겠습니다!!
8.14.목,닭볶음탕 먹고 싶어서 청량리에서 길을 걷던 중 발견했습니다 너무 맛있었고 쓰는 지금도 또 가고싶어지네요 나오자마자 바로 해치우느라 사진도 못찍었어요ㅠㅠ 잘먹고갑니다!!
5.26.월,세명에서 닭도리탕 먹었는데 양이 딱 맞았어요! 닭 부위도 여러개 많이 들어가 있고 맛도 너무 맛있어요!!! 적당히 맵고 볶음밥도 맛있어서 또 방문하려구요!
4.11.금,"닭도리탕 부대찌개 동태탕 등 pot stew 류의 메뉴가 전문인 듯 해서 찾았는데, 고향 음식 맛 같아서 좋았습니다. 동태찌개 자글자글 끓이며 밥 한그릇 뚝딱.. 사장님 강원도 횡성 우천면이 고향이라니 괜히 반갑고, 방금 강원도에서 청량리 역에 도착한 터라^^"
3.18.화,경동시장 구경 하러 갔다가 맛있는 부대찌개 맛집 찾았네요! 혼자 밥 먹기에도 좋고 인심도 너무 좋으셔서 기분 좋게 먹고 왔어요~ 직접 만드시는 기본반찬과 주문 즉시 조리되는 음식이 한눈에 보여서 너무 안심 되고 맛있게 잘 먹었습니다. 경동시장이나 청량리 시장 오시면 밥 먹을 곳 은근 찾기 힘든데 여기 너무 추천 드려요! 든든한 한끼 먹기 딱 좋은 곳입니다. 한식 맛집 인정합니다. 굿👍
5.17.토,"친구랑 밥먹고싶어서 찾다가 들어온곳이에요~ 부대찌개시켰는데 2인 양 엄청 많고 밑반찬도 정말 맛있었어요~~❤️ 아저씨분이 많이 오시면 맛집이란 이야기있던데 사실이더라구요.. 부대찌개 제가 먹어봤던 곳중에 top3안에 듭니다. 아니 제일맛있었어요ㅠㅠ❤️❤️ 진짜 반찬부터 남김없이 다 먹고, 다음에 또오리라 다짐하고 갔습니당~~짜지도 않고, 사리도 그냥들어있고, 착한가격에 맛도최고!! 부대찌개 좋아하시거나 먹고싶으신부들은 여기 꼭 가세요!!꼭!!!"
7.23.수,친절한 사장님 깔끔한 음식👍🏻
2.18.화,"경동시장에 위치한 식당인데, 부대찌개와 반찬 맛도 좋고 가성비 짱!! 닭볶음탕에는 뼈있는 닭발까지 함께 끓여주시는데 이또한 맛있습니다~^^ 가끔 자리가 꽉 차서 대기 하기도 합니다~ 집밥 먹고 싶을 땐 정원식당 추천합니다~!!"
3.14.금,도리탕 맛집입니다ㅎㅎ!! 엄마손맛을 느낄수있는 정갈한반찬이랑 닭도리탕 잡내하나도없이 국물 칼칼하고 깊은 진한맛이에요 또 올게용!!
8.6.수,반응 남기기 방문일 8.6.수 2025년 8월 6일 수요일 1번째 방문 인증 수단 영수증
8.18.월,반응 남기기 방문일 8.18.월 2025년 8월 18일 월요일 2번째 방문 인증 수단 영수증
5.23.금,의정부 사람인데 청량리에서 의정부 맛을 봤습니다 강추입니다
3.14.금,청량리역 근처 부대찌개 먹으러 왔는데 밑반찬들도 다 맛있었어요! ㅎㅎ 다음에 또 방문해서 닭도리탕도 먹어보려구요! 잘 먹었습니당 ㅎㅎ
3.19.수,부찌 맛잇고 반찬도 그 때마다 특색잇어요 특히 가성비가 정말 좋아요 추천드립니다👍👍
5.17.토,부대찌개 맛있게 먹었습니당👍🏻
4.25.금,양도 많고 너무 맛있어요!! 햄이랑 고기가 듬뿍 들어있어서 끝까지 맛있게 먹을 수 있었어요 . . . ♥
5.31.토,"닭볶음탕, 부대찌개 등을 파는 집인데 밑반찬이 기가 막힙니다! 신선한 재료에 간 완벽해서 밥한공기 뚝딱했네요. 이모님도 너무 친절하셔서 정겨운 분위기에 맛있는 밥 먹고 왔어요! 추천합니더."
1.22.수,청량리 경동시장 인근 밥집 !.! 가격대 괜찮고 밑반찬 정갈하고 메인음식 부대찌개는 양도 많고 맛도 너무 좋았어요~ 청량리에서 집밥이 먹고 싶을때 방문하기 좋은 한식 맛집 bb
