date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
7.21.월,킹십리 최고의 파스타와 피자 집  이 집에는 정말 추억이 많습니다. 어느덧 칠 년째 방문 중인 집입니다. 루꼴라 새우 피자와 까르보나라는 몇 년을 먹어도 질리지 않는 맛 입니다  루꼴라 피자는 요즘 양념을 조금 바꾸신 것인지 약간 더 매콤 해줬는데 그게 진짜 맛있습니다 새우는 탱글탱글하고 치즈는 쫀득하고 피자 도우는 부드러워서 이게 삼위일체를 이룹니다  까르보나라 소스는 언제나 걸쭉 하고 감치 맛도 좋습니다. 토핑도 푸짐합니다. 파스타는 꼭 양추가로 드시길 바랍니다.  세트로 주문 하시면 식전 샐러드도 나오는데요. 요즘 샐러드 상태가 좋아서 저는 항상 세트로 주문 합니다. 저녁 시간 때 여유롭게 일행과 약속 시간을 보내고 싶다면 이곳에 방문 하시는 걸 추천합니다.  행당산 뷰가 잘 보여서 뷰 맛집입니다 ㅋ
8.27.수,가격대비 넘 맛있어요..양도 적당하고 피자는 넘 고소하고 도너도 넘 맛있었습니다~~~
3.28.금,로제 파스타계의 goat 킹십리 파스타 1황  새우로제 날치알 파스타에 곱빼기 양추가 (12600원) + 자몽에이드 (4500원)  새우 탱글하고 면 쫄깃하고 소스 매콤합니다. 개존맛. 점심타임 아르바이트 직원분이 너무 친절하셔서 매우 기쁘고 만족스럽게 식사하고 갑니다.
5.2.금,제이스 플레이트에 뺀질나게 드나드는 것도 어느덧 햇수로 10년 가까이 되어갑니다. 여전히 맛있읍니다 ^^
4.3.목,"제이스 플레이트는 모든 메뉴가 맛있지만 특히나 감칠맛에 매콤한 맛이 일품인 “우삼겹 할라피뇨” 알리오올리오가 제 가슴을 때립니다  Canada 유학파 출신에 미모를 갖춘 재원인 제 girlfriend 가 유독 좋아하던 파스타. 함께 밥을 먹을 때면 배시시 웃으면서 sexy한 눈빛을 보내주던 그녀가 “이게 진짜 sexy food지”라며 추천해준 우삼겹 할라피뇨를 저는 여전히 먹고 있습니다  우삼겹은 고소하고 기름진데, 알리오올리오의 마늘 맛이 또 그걸 싹 잡아주고, kick으로 올라오는 할라피뇨의 풍미까지. 이 파스타를 좋아하던 그녀만큼이나 다채로운 매력을 풍깁니다  오늘도 사랑하는 그녀를 떠올리며 eat한 sexy pasta. 킹십리 알리올리오 1황 킹정합니다."
3.31.월,마레 로제 먹으러 갔다가 우삼겹 오일파스타 먹고 반해버렷습니다. 다음에는 꼭 우삼겹 오일에 양추가를 해서 먹으리.  자몽에이드는 언제나 필승 메뉴 개 존 맛 ✨
4.21.월,우삼겹 할라피뇨는 언제나 선방 개맛있음
3.25.화,마레 로제 파스타 항상 맛있습니다 (어린 아이들이 먹기엔 약간 매운 편)  여유롭게 드시려면 점심보다 저녁시간 추천합니다
9.26.금,반응 남기기 방문일 9.26.금 2025년 9월 26일 금요일 1번째 방문 인증 수단 영수증
24.11.15.금,매번 올라갔다 내려갔다 하시느라 힘드실 거 같네요! 음식 너무 맛있고 가격도 착합니다! 한양대에서 먹을 게 없으면 항상 와요
