date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
8.7.목,제가 레트로한 걸 좋아해서 그런지 처음 들어갈 때 간판부터 마음에 들었어요 다른 공간에 들어온 것 같은 느낌이었습니다! 왠지 모르게 일본스러운 고즈넉한 분위기가 느껴지고 사장님 분위기와 가게 자체가 너무 잘 어울려요 음식은 식재료에 정성을 다하시는 게 느껴져서 가격도 합리적으로 느껴져요 데이트 하기에도 좋은 가게고 공적으로 오기에도 좋은 가볍지 않은 분위기예요 사장님께서 친절하게 메뉴 모두 설명해주시고 먹는 법까지 알려주셔서 그렇게 먹으니 배로 맛있었습니다! 화구가 오픈되어 있어서 보는 즐거움도 있었어요 다시 방문할 정도로 맛있는 가게 찾아서 좋아요... 접근성은 골목이라 조금 약하지만 없어지지 않았으면 좋겠는... 정말 최애 가게 된 곳이에요 나만알고싶어...그치만나만알기아까워...그치만나만알고싶은가게 😭
