date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""환기가 잘 돼요""",이 키워드를 선택한 인원
9.4.목,"숭인시장 제일분식  초등학교를 근처에서 나와서 초등학교 재직시절 점심을 챙겨줬던 곳 입니다.  본래 시장안에 있었는데 세월도 흐르고 사정상 시장앞으로 이전하셨어요.  ""맛있는녀석들"" 이 다녀가서 안그래도 잘 되시는데 더 잘 됩니다. 한 가지 아쉬운건 시장안이 분위기가 너무 안 좋아요.  음식맛은 와서 뭘 먹어야 할지 못 고를 정도 입니다. 금일은 떡볶이 순대 맛탕 시켰습니다.  40년전전이나 지금이나 한결같은 맛 너무감사합니다!!! 금일도 잘 먹고 갑니다~^^  #숭인시장 #제일분식 #떡볶이 #순대 #맛탕 #맛집 #분식맛집 #동네맛집"
8.21.목,이곳을 첨 방문한 때는 20대 초! 나는 이 곳에 십년도 넘게 못오다 다시 와 먹은 떡볶기 맛에 만감이 교차해요!! 사장님!! 왜 맛이 똑같나요?? ㅋㅋㅋ 정말이지 너무나 추억 오지는 떡볶이와 김밥 맛에 다시 그 때로 돌아간 듯 추억이 방울방울해요!! 쫩쫩 붙는 떡 맛! 넣은 것 없어보이지만 맛있는 김밥! 모든 맛이 그대로입니다!!!
8.9.토,인생분식집💪 쫄면이랑 잡채가 진짜 맛도리니까 쫄면이랑 잡채 꼭 드시구요! 김밥도 진짜 맛있어요! 떡볶이 3인분 시키면 김밥을 4인분 시켜먹어야 모자르지 않을정도입니다! 맛탕도 워낙 유명메뉴! 다 드셔보세용
9.27.토,"한달에 평균 두번은 방문 하는거 같네요~ 옛날 생각나게 하는 추억의 떡볶이와 꼬마김밥, 칼칼한 어묵국물...쫄면과 비빔냉면의 조화 매운 느낌이 들면 주문하는 추억의 팥빙수~~~ 오늘도 잘 먹고 갑니다~~오래오래 있어주세요~^^"
9.4.목,배달 주문하려다 가본곳이에요. 가격이 너무 저렴하네요. 맛있고 양도 푸짐하고요. 학교 앞에서 사먹던 분식집 같아요. 매장도 깔끔하고 직원분들도 친철하세요. 물하고 단무지는 셀프에요.
9.10.수,떡뽁기 칼칼하니 맛나요 김밥하고 계란도 순대도 맛나내여...
10.16.목,여긴 순대가 정말 늘 꾸준히 맛이 별루예요ㅋㅋ 근데 떡볶이는 확실히 맛이 변한거보니 맛있게하던 분이 비법은 살짝 빼고 전수해주신듯 보여요~ 오래 하신분 두분이 계시긴한데 그맛이 아닌듯요 옛날생각 하고 방문 하면 놀랄맛 이예요 그닥
9.26.금,2년만에 왔는데 여전히 맛있네요 당면에 떡볶이 넣어먹음 맛있어요 가격도 저렴해서 다양하게 먹기좋아요
8.30.토,반응 남기기 방문일 8.30.토 2025년 8월 30일 토요일 6번째 방문 인증 수단 영수증
8.26.화,음....똑볶이 맛집은 아닌듯 가성비는 대한민국1등 순대 딱딱 잡채 맛있음
5.12.월,😍맛 친절 가성비😍  내인생 쫄면~~ 😆  언제나 반갑게 인사주시고 친절하게 음식 주시고 쫄면 양념 세상 맛있어용  고기 먹은거 보다 만족감 최고😎
