date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
5.10.토,"약간 쌀쌀한 날씨에 제격인 조개구이 세트. 각종 가리비, 백합, 전복, 키조개 등이 푸짐하게 담겨 나왔고, 위에 치즈와 고추?가 올라가 있고 구워 먹는 방식이었습니다. 특히 키조개와 가리비는 쫄깃한 식감과 고소한 치즈 풍미가 어우러져 정말 맛있었어요.  두 번째 사진의 가리비 치즈구이도 별도로 나와요 생으로 먹어도 되고 구워먹어도 된다고 하셨어요 그만큼 신선했어요 절반은 생으로 먹고 두개는 구이로 먹었어요  함께 주문한 해물파전도 굿!! 두툼한 두께에 오징어, 새우가 넉넉히 들어있었고, 겉바속촉이예요!! 게다가 생맥주가 2,000원 정말 저렴해요~  사장님께서 친절하게 굽는 법까지 알려주셔서 편하게 먹고 왔어요!!!"
6.26.목,가성비 정말 좋은 곱창전골!! 사장님 너무 친절하시구 곱창전골 국물이 진하고 맛있네요!!
5.11.일,남자 사장님 넘 친절하시고 조개도 싱싱해요 둘이서 중자 먹었는데 잘먹는다고 서비스로 몇개 더 주셨어요 ㅎㅎ 사장님 쵝오 잘 먹구 갑니다
2.27.목,바닷가를 꼭 안가두 일케 맛있는 조개찜을 서울에서 먹을수 있습니다 여러분~~~ 석화 코끼리조개 소라 백합등등이 가득가득!! 일단 음식이 나오자마자 비줠에 안구힐링되구요 잘익은 조개를 초장이나 와사비간장에 살짝 찍어먹음 입안에서 바다가 펼쳐지고 파도가 철썩철썩 칩니다 ㅎㅎ 조개가 달아요 달아!!! 정신없이 먹다보면 껍질이 수북하게 쌓이고 그걸 보는게 또 뭔가 힐링이네요^^* 사이드로 주문한 오동통한 오징어튀김도 생오징어를 바로 튀겨서 먹으니 어휴 모 말모죠~~ 분위기도 제대로 아늑한 노포라서 찐으로 행복한 저녁시간 보내고 왔어요 강추합니다♡
3.5.수,"와, 해물조개 진짜 산더미처럼 쌓여있네! 냄새도 엄청 고소하고 바다향 가득한 게 군침 도네요. 쫄깃하고 신선한 조개 살이 입안 가득 퍼지는 맛, 상상만 해도 행복해. 이렇게 맛있는 해물조개는 술이랑 같이 먹어야 더 맛있는 거 알죠? 다음에 또 와서 실컷 먹어야겠다!"
