date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
9.25.목,"오징어볶음 역시 소문대로 맛납니다 반찬 구성도 좋고, 푸짐합니다  왜 많이들 찾는지 이해가 됩니다^^  남자사장님 친절하세요^^^"
8.20.수,"유튜브에서 가성비 식당으로 소개된거 보고 갔는데, 진짜 반찬 다 맛있어요!"
8.29.금,반응 남기기 방문일 8.29.금 2025년 8월 29일 금요일 5번째 방문 인증 수단 영수증
7.25.금,반응 남기기 방문일 7.25.금 2025년 7월 25일 금요일 4번째 방문 인증 수단 영수증
24.4.2.화,6개월전쯤 방문했을때 맛있게 먹은 기억이 있어서 오늘 다시 방문했는데 역시나 맛있습니다 제육볶음과 청국장~😋
24.1.12.금,가성비대비 굿. 유튜브에도 소개된 백반 식당. 백반은 5천원. 순두부찌개. 제육복음 추천
23.5.3.수,여기는 오징어랑 제육이 맛있어요 불맛을 제대로 입혀서 음식을 내어주세요 밖에서 보면 중국집 화력으로 제육을 볶아내십니다
23.3.10.금,여러모로 만족 조금 짬
23.1.17.화,가격도 저렴하고 정말 맛있어요!
22.11.9.수,백반도 맛있고 다른메뉴도 다 맛있어요 테이블이 6~7개밖에 안되 기다릴때도 있지만..음식도 빨리나오고 맛도 있어서 기다릴 수 밖에 없네요
22.8.9.화,혼자만 알고 싶은 맛집 ㅋ! 청국장도 맛있고 제육은 달달하니 맛있어요! 집밥 먹는 느낌 ㅜ 테이블은 7개 정도~ 실내는 작어요! (참고로 밑반찬 중에 계란말이는 추가가 안되요 ㅋ 다른반찬은 더 주시는듯~)
23.2.25.토,반응 남기기 방문일 23.2.25.토 2023년 2월 25일 토요일 3번째 방문 인증 수단 영수증
23.2.4.토,반응 남기기 방문일 23.2.4.토 2023년 2월 4일 토요일 2번째 방문 인증 수단 영수증
23.2.1.수,반응 남기기 방문일 23.2.1.수 2023년 2월 1일 수요일 1번째 방문 인증 수단 영수증
22.11.7.월,반응 남기기 방문일 22.11.7.월 2022년 11월 7일 월요일 1번째 방문 인증 수단 영수증
22.9.1.목,아니 순두부찌개가 너무 밍밍한…
22.8.3.수,친절하고 맛있고 저렴하고 양도 많아요
22.12.26.월,반응 남기기 방문일 22.12.26.월 2022년 12월 26일 월요일 1번째 방문 인증 수단 영수증
22.7.20.수,반응 남기기 방문일 22.7.20.수 2022년 7월 20일 수요일 1번째 방문 인증 수단 영수증
23.1.13.금,반응 남기기 방문일 23.1.13.금 2023년 1월 13일 금요일 2번째 방문 인증 수단 영수증
23.2.15.수,반응 남기기 방문일 23.2.15.수 2023년 2월 15일 수요일 4번째 방문 인증 수단 영수증
23.2.7.화,반응 남기기 방문일 23.2.7.화 2023년 2월 7일 화요일 3번째 방문 인증 수단 영수증
22.6.27.월,항상친절하시고 메뉴걱정없이 맛있게 먹고올수있어요♥
22.5.21.토,반응 남기기 방문일 22.5.21.토 2022년 5월 21일 토요일 6번째 방문 인증 수단 영수증
22.5.30.월,반응 남기기 방문일 22.5.30.월 2022년 5월 30일 월요일 7번째 방문 인증 수단 영수증
22.4.20.수,반응 남기기 방문일 22.4.20.수 2022년 4월 20일 수요일 2번째 방문 인증 수단 영수증
22.5.14.토,반응 남기기 방문일 22.5.14.토 2022년 5월 14일 토요일 5번째 방문 인증 수단 영수증
22.5.9.월,반응 남기기 방문일 22.5.9.월 2022년 5월 9일 월요일 4번째 방문 인증 수단 영수증
22.5.3.화,반응 남기기 방문일 22.5.3.화 2022년 5월 3일 화요일 3번째 방문 인증 수단 영수증
22.4.14.목,반응 남기기 방문일 22.4.14.목 2022년 4월 14일 목요일 1번째 방문 인증 수단 영수증
22.3.25.금,반응 남기기 방문일 22.3.25.금 2022년 3월 25일 금요일 1번째 방문 인증 수단 영수증
22.1.27.목,반응 남기기 방문일 22.1.27.목 2022년 1월 27일 목요일 1번째 방문 인증 수단 영수증
21.11.24.수,반응 남기기 방문일 21.11.24.수 2021년 11월 24일 수요일 1번째 방문 인증 수단 영수증
21.7.22.목,그냥 끝내주게 푸짐하고 맛나요
21.8.11.수,반응 남기기 방문일 21.8.11.수 2021년 8월 11일 수요일 1번째 방문 인증 수단 영수증
21.1.30.토,푸짐해서 밥 2공기는 기본입니다.
