date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
10.9.목,동두천에 오시면 여기 꼭 와서 드셔보셨으면 좋겠어요~~ 신선한 해물이 듬뿍 들고 돌판 짬뽕이랑 돌판 짜장 진짜 강추요~~ 너무 맛있어요 남편이랑 엄청 흡입했어요! 불판짜장은 어린 아이들 먹기에 매우니 일반 짜장을 시켜주시길요
10.4.토,음식도 깔끔하구 맛있어용!!! :) 주차도 괜찮구 홀도 넓어서 식사하러 오기도 좋습니다아~~~ 나중엔 배달시켜먹으려구요^^ 친절하시구 맛있어요!!
9.25.목,저번방문에 좋았어서 오늘은 아이들데리고 왔어요 음식맛있어요
8.15.금,"돌짜장 1인, 고기짬뽕 다 맛있네요. 고기짬뽕은 살코기가 들어가서 기름기없이 담백한 국물맛이 최고였어요! 고기 양도 많구요~ 여기 단골 될 듯"
10.9.목,미친 비주얼...압도적인맛 너무맛있고 신기했어요~~~♡ 동두천 사시는분들은 꼭한번와서 드셔보세요~~~
10.12.일,친절하고 아주 좋아요 항상 가던곳이라 꿀맛.!
10.17.금,반응 남기기 방문일 10.17.금 2025년 10월 17일 금요일 1번째 방문 인증 수단 영수증
9.24.수,아이와 저녁 먹으러 온 조조반점~ 맛있는 짜장면 아이가 좋아해요♡
9.13.토,차돌 짬뽕이랑 짜장면 시켰는데 너무 맛있어요♥️ 양도 많고 맛도 좋고 직원 분들도 너무 친절해요 집 근처라 앞으로 자주 올것 같아요!
10.12.일,짬뽕 러버로서 오랜만에 찾은 맛집🫶🏻 너무 맛있어요!! 종종 방문할 예정입니다❣️
9.13.토,돌짜장 진짜 맛있어요. 강력추천!!!
10.7.화,깔끔하고 맛있어요^^사람 많은. 이유가있네요
9.6.토,수원에서 친정엄마 오셔 방문해 식사했습니다. 수원 돌짜장보다 맛나다고 하시네요. 뒤늦게 합류해 음식 사진이 없내요~^^; 사장님 번창하세요
8.4.월,아이와 박물관 가기전에 왔는데 짜장이랑 탕수육 엄청 맛있어요 아이가 최고라고 진짜 맛있다고 하네요 가성비도 너무 좋은거 같아요
8.21.목,진짜 죵니 맛있었습니다. ㅎㅎ 탕수육도 기본이 이정도면 다른건 얼마나 맛있을지 기대가 되네요 ㅎ 단골 될 것 같아요 ㅎ 잘 먹었습니다
8.8.금,가격두 맛도 다 최고에요!!!! 로컬맛집 조조반점 자주자주 와용
