date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
8.15.금,"종종 포장해서 집에서 맛있게 먹었었는데, 처음으로 매장 방문해서 먹었어요! 원래도 맛있게 잘 먹었는데 바로 먹으니 더 맛있어요!! 항상 고기도 넘 부드럽고 맛있고, 반찬들도 맛있습니당! 쟁반국수도 맛있어서 필수!😋💛"
7.27.일,헉 너무 부드럽고 맛있어요🥹❤️
5.28.수,족발 넘 맛있어요 단골 맛집 입니다 사장님도 이모님도 모두친절하세용 매운 미니족 엄청 중독성이 있어 맨날 먹어도 안질려요 가성비도 짱이예요 😀
4.16.수,월욜마다 먹고 싶다가 드디어 먹어보는!!! 너무 맛있어요 부위마다 맛이 극대화되어서 완전 먹는 재미 굿 반찬도 좋고 ㅎㅎ 다음엔 가서 먹어야 겠어용ㅎㅎ
5.17.토,족발이 너무맛있습니다 또오고싶어요
6.18.수,사장님이 반반 추천해주셔서 포장으로 주문했어요~~ 맛있게 잘 먹겠습니다~
3.11.화,낙성대 족발 1티어 !!!!! ٩(๑ ᐛ ๑)و
24.10.19.토,낙성대 축제때문에 왔다가 찐 족발집 발견했어요~ 잡내 1도없고 보들보들 야들아들 한게 근래먹은 족발 중 최고입니다. 애도 무지 먹었어요  부추무침도 진짜 맛있고 요즘 배추값 비싼데 배추잎까지 나와서 ㅠㅜ 진짜 감동ㅠ 인헌시장 자주오는데 종종 와야겠어요
3.31.월,반응 남기기 방문일 3.31.월 2025년 3월 31일 월요일 1번째 방문 인증 수단 영수증
24.11.19.화,미니 족발 사갔는데 식구들이 맛있게 먹었어요~
24.10.8.화,먹어도 먹어도 또 먹고 싶은 맛의 족발이에요. 고기도 부드럽고 잡내도 없어서 너무 맛있어요. 맛있는 족발 드시고 싶으신 분에게 적극 추천해요 :)
24.11.20.수,"족발도 달지않고 부드럽게 맛있었고, 부추무침과 반찬들도 맛있었어요~ 매장이 있다는걸 이제사 알았답니다 ㅎㅎ 다음엔 매장에서 먹어보려구요"
24.10.6.일,족팔계 미니족 입문 6년차 야들야들 부드러운 껍대기에 뼈 발라먹는 이 맛! 오늘도 이 맛에 미니족으로 달려봅니다. 족팔계는 강추입니다!
24.6.10.월,낙성대역 인헌시장 안에 있는 가성비 족발 맛집이에요! 야들야들 부드럽게 삶아진 족발이 맛있어요🥰 쟁반국수도 추천합니다!! 양념이 새콤달콤해서 족발이랑 잘어울려요😆 포장하면 추가할인되서 좋긴 한데 홀에서 바로먹는게 더 맛있는것같아요ㅎㅎㅎ
3.16.일,반응 남기기 방문일 3.16.일 2025년 3월 16일 일요일 1번째 방문 인증 수단 영수증
24.10.24.목,낙성대 주민이로써 종마탱 입니다~^^
24.10.8.화,족발 정말 맛있어요
24.6.14.금,족발 담백하고 맛있고 매운족발도 찐맛탱이에요~ 가격도 저렴하고 푸짐하니 만족스럽습니다! 껍데기부분 굉장리 쫄깃해서 맛있어요 ㅎㅎㅎ 사장님 친절하시구요!
1.19.일,언제가도 맛있어요. 특히 부추무침과 함께 먹으면 최고
4.17.목,반응 남기기 방문일 4.17.목 2025년 4월 17일 목요일 1번째 방문 인증 수단 영수증
24.10.14.월,인헌시장 제일 맛집! 너무 맛있어요! 사장님과 일하시는 이모 엄청 친절하셔서 더 기분 좋은 곳이예요!!
24.6.22.토,족발 맛있었음. 간이 좀 센 편인데 콜라겐부분이 맛있게 간 되어있음. 부추겉절이나 막국수는 조금 달았음. 맛있게 잘 먹음.
24.8.24.토,애용하는 곳입니다. 족발 특유의 냄새도 없어요. 양도 많아서 가족 회식때 종종 애용합니다. 등산 갈 때도 가져가면 좋더라고요. 맛있는 족발집 픽!  #족발#회식
24.8.18.일,남편과 가볍게 술 한잔 할 때 사먹어요. 양도 좋고 맛도 좋고. 가벼운 술 한 잔 할 때 안주감으로 최고네요~ 족발 안주! #족발 #안주
24.4.7.일,낙성대에서 맛있는 족발 찾으시면 족팔계가세요! 야들야들 사르르 녹는데 국내산이라는게 감격이네요! 인헌 시장 맛집 인정 ❤️😝
24.4.4.목,반반족발 중자 먹었는데 일반족발 불족발 둘다 너무 맛있네요ㅠㅠ 살코기 야들하고 껍질은 쫄깃하고 최고에요! 양도 넉넉해서 더욱 좋았습니다 다음에 또 방문하려구요!!
24.6.20.목,족발 윤기가 장난아니에요 맛있어요
24.8.9.금,반응 남기기 방문일 24.8.9.금 2024년 8월 9일 금요일 2번째 방문 인증 수단 영수증
24.6.28.금,바로나온 족발 너무 맛있어요 동네 맛집인데 자주 올거 같아요 이미 유명한 족팔계! 완전 강추!
24.4.13.토,족발이 엄청 쫄깃쫄깃 야들야들 잡내안나고 너무 맛있고용 부추무침이랑 같이 먹으니 더 감칠맛 나네영
24.3.12.화,"여기 족발 완전 존맛 미친놈임! 퇴근 후 친구랑 맥주 한 잔 때리고 싶을 때 여기서 족발 하나 포장해가시라. 양도 많고, 뭣보다 가격이 혜자임(대자 35,000)"
24.1.31.수,"낙성대 족발 맛집 족팔계에서 족발 뒷다리 중사이즈 먹었는데 양도 푸짐하고 돼지고기 잡내 하나 안나고 너무 맛있었어요😋 고기 야들야들 콜라겐 가득해서 피부에도 좋고, 상추랑 명이나물에 싸먹으면 꿀맛..👏🏻🥢 쟁반국수는 양이 엄청나요! 새콤새콤하니 족발이랑 잘어울려서 꼭 시켜야하는 메뉴! 상추랑 알배추도 같이 나오는데 달달하니 알배추에 싸먹는거 너무 맛있네요~"
24.7.26.금,반응 남기기 방문일 24.7.26.금 2024년 7월 26일 금요일 3번째 방문 인증 수단 영수증
24.3.8.금,인헌시장맛집 족발계 워낙 유명하죠 ㅎㅎ 낙성대맛집 이라 족발 먹고싶은날엔 꼭 포장해와요 특히 매운족발이 너무 맛있었습니다 완전 추천해요 ㅎㅎ
2.16.일,반응 남기기 방문일 2.16.일 2025년 2월 16일 일요일 1번째 방문 인증 수단 영수증
24.3.7.목,매장에서먹을수있는테이블있어요 부드럽게 돼지누린내없이잘삶아져서 맛있었어요 부추김치에먹으면존맛 쫄깃쫄깃하니맛있었어요
24.6.27.목,가격대비 양은좀그랬어요 앞다리 33000원 작년먹고 맛있어서 가서샀는데ᆢ기다리는게 4개썰고 해주니 지루했습니다
