date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
4.11.금,김치전이 젤맛있어요 골뱅이무침도 맛있고 녹두고기빈대떡은 그냥그랬습니다 감자전도*루  비오는날 막걸리한잔 넘좋아요 야장이있었으면하는 작은바램이있어요^^
6.1.일,맛있는 전 찾으시면 추천 동네 주민에게 추천받았는데 맛있게 먹었습니다
24.8.23.금,파 부침개 그닥입니다..양은 엄청나요..너무두꺼워요ㅎ 차라리 깻잎전이 낫겠어요
24.9.6.금,역시 맛있어요. 아주머니께서 친절하세요.
24.7.6.토,모듬전 맛있고 막걸리도 다양해요
24.1.14.일,주말낮술~ 일찍 문열어서 좋더라구요~ 비오는날 푸짐하게 모듬전 먹고왔습니다~ 가격도 싸고 엄청 푸짐~ 맛있게 먹고갑니다
24.1.31.수,맛있게 잘 먹었어요!
23.12.29.금,간단하게 막걸리 한잔하기 좋아요. 양도 괜찮고 맛있어요.
24.1.18.목,반응 남기기 방문일 24.1.18.목 2024년 1월 18일 목요일 1번째 방문 인증 수단 영수증
23.10.18.수,반응 남기기 방문일 23.10.18.수 2023년 10월 18일 수요일 4번째 방문 인증 수단 영수증
23.10.18.수,반응 남기기 방문일 23.10.18.수 2023년 10월 18일 수요일 4번째 방문 인증 수단 영수증
23.7.2.일,항상 포장해서 먹어요 친절하시고 양도 많아요^^ 잘 먹겠습니다
23.3.20.월,늘 모듬전먹다가 해물파전 먹어봤는데 너무 맛있었어요 재료도 너무 신선해요! 사장님도 너무 친절하시고 갈때마다 기분이 좋아요🙂
23.3.18.토,정말 맛있고 사장님들께서 너무너무 친절하심. 올때마다 기분이가 좋아요 담에 또 갈거임 나만 알려고했는데 너무 친절하셔서 인류애적인 마음으로 리뷰쓰기로 마음먹음
23.4.17.월,커피도 맛있고 너무 친절해요
23.3.20.월,너무 맛있어서 사진 찍을 시간이 없었ㅇㅣ요ㅎ
23.4.4.화,비오는날 한번씩 갈만하지요~ 맛도 나쁘지 않고요
23.7.10.월,반응 남기기 방문일 23.7.10.월 2023년 7월 10일 월요일 1번째 방문 인증 수단 결제내역
23.2.13.월,반응 남기기 방문일 23.2.13.월 2023년 2월 13일 월요일 2번째 방문 인증 수단 영수증
23.5.31.수,반응 남기기 방문일 23.5.31.수 2023년 5월 31일 수요일 3번째 방문 인증 수단 영수증
23.6.21.수,반응 남기기 방문일 23.6.21.수 2023년 6월 21일 수요일 1번째 방문 인증 수단 영수증
22.12.26.월,모듬전 매생이칼국수 양도 많고 맛있어요 👍👍👍👍👍👍
23.5.31.수,반응 남기기 방문일 23.5.31.수 2023년 5월 31일 수요일 3번째 방문 인증 수단 영수증
22.10.30.일,음식도 맛나고 직원분들이 친절왕!
23.7.12.수,반응 남기기 1 명 방문일 23.7.12.수 2023년 7월 12일 수요일 1번째 방문 인증 수단 영수증
23.3.7.화,반응 남기기 방문일 23.3.7.화 2023년 3월 7일 화요일 1번째 방문 인증 수단 영수증
23.1.6.금,반응 남기기 방문일 23.1.6.금 2023년 1월 6일 금요일 2번째 방문 인증 수단 영수증
23.2.12.일,반응 남기기 방문일 23.2.12.일 2023년 2월 12일 일요일 1번째 방문 인증 수단 영수증
23.1.6.금,반응 남기기 방문일 23.1.6.금 2023년 1월 6일 금요일 2번째 방문 인증 수단 영수증
22.12.23.금,반응 남기기 방문일 22.12.23.금 2022년 12월 23일 금요일 1번째 방문 인증 수단 영수증
22.4.30.토,"주말약속으로 가게 된 전집~맛있다는 얘기를 듣고 갔지만 김치깉절이부터 모듬전,떡만두국,도토리묵,감자전까지 4명이서 배터지게 먹고 나왔어요.너무~맛있고 가격대비 푸짐해요.야외자리도 있어 단체모임에도 좋을것같아요."
22.8.20.토,나오자마자 너무 맛있어보여서 먹었네요 ㅎㅎ 그래도 이 집 너무 맛있는어서 다음에도 또 올거 같아요
22.11.1.화,반응 남기기 방문일 22.11.1.화 2022년 11월 1일 화요일 1번째 방문 인증 수단 영수증
22.9.25.일,반응 남기기 방문일 22.9.25.일 2022년 9월 25일 일요일 1번째 방문 인증 수단 영수증
22.8.6.토,진짜 가성비 갑!!👍👍 많이 주시는데 가격이..?😤😤맛도 있고 양도 많고 또 가야지~🙌🙌🙌
22.12.23.금,반응 남기기 방문일 22.12.23.금 2022년 12월 23일 금요일 1번째 방문 인증 수단 영수증
22.9.29.목,전 먹고 싶을 때 가는 곳이에요 아주 맛있어요 최고~
22.4.21.목,모둠전 양이 이렇게 많아도 되나싶은데 완전 혜자에요ㅠㅠ 전집 많이 다녀봤지만 이렇게 종류별로 양 많이 주시면 뭐가 남나요..? 야장에서 먹었는데 술이 술술 들어가는 안주들 🥺🥺 동네에 생겼으니까 일주일에 한번씩 올래요 너무 맛있고 친절해서 만족했던 곳입니다 강추 !!!!!
22.11.22.화,매생이 칼국수 넘 맛있고 모듬전 양이 후덜덜 못보던 느린마을 막걸리가 있어서 좋네요
22.6.13.월,양도 진짜 많고 다 맛있어요👍👍
22.5.8.일,전이 아주 맛있어요~ 특히 감자전 젤 맛있게 먹었네요 ㅎㅎ
22.4.22.금,진짜 맛있는데 양도 많고 용답역 바로 앞에 있어서 좋아요! 다음엔 친구들하고 회식하러 올게요~
22.4.21.목,진짜 맛있어요!! 사장님도 엄청 친절하세요 지금 같은 날씨에 가서 먹기 좋은 전집입니다 특히 감자전 추천이욯ㅎ
22.6.5.일,리뷰는 두번째지만 방문은 다섯번째입니다 음식이 항상 맛있어서 만족도가 엄청 높은 맛집!
22.4.15.금,너무 맛있어요~ 맛도 맛있는데 양도 많아서 엄청 잘 먹고 왔어요~! 사장님도 친절하고 좋았습니다~ 또 방문하겠습니다~🤗
22.6.8.수,친절한데 음식이 맛이 없어요
22.8.3.수,반응 남기기 방문일 22.8.3.수 2022년 8월 3일 수요일 1번째 방문 인증 수단 영수증
22.4.26.화,반응 남기기 방문일 22.4.26.화 2022년 4월 26일 화요일 1번째 방문 인증 수단 영수증
22.9.21.수,반응 남기기 방문일 22.9.21.수 2022년 9월 21일 수요일 1번째 방문 인증 수단 영수증
22.4.12.화,새로 오픈했다해서 가봤습니다. 맛은 so so 하고요 얼마 안되서 그런지 친절하네요~ 단지 나이 드신분이 많고 소리가 울려서 대화 하긴 좀 힘들수도 있습니다
22.5.19.목,새로생긴곳이라 매장도 깔끔하고 맛도 좋아요!
22.9.11.일,반응 남기기 방문일 22.9.11.일 2022년 9월 11일 일요일 1번째 방문 인증 수단 영수증
