date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
10.16.목,족발과 순대가 맛있어서 자주 가는데 마장동에서 맥주페스티발을 하네요 간김에 푸드트럭하신다길래 구경도 가고 족발과 맥주도 먹었어요 역쉬 족발^^은 종필엄마
7.24.목,이틀전에 유튜브에 뜨길래 찾아가봄. 주차창 2층에서 입구로 들어가면 바로 좌측에 있다. 사장님이 엄청 친절하시다. ^^ 주차권도 주시는데 공영이라 할인되는 차들은 더 좋을듯  족발 2개를 포장했다. 하나는 지인 가져다 드리고 하나는 내가 먹었다. 가성비가 엄청 좋타.  2명이 먹기에 양은 적당하다. 야채는 따로 준비해서 먹으면 될듯 싶다.  하지만 잡내가 조금 난다. 먹을때는 크게 거슬리진 않는데 살짝 난다고 생각하고 드셔야 할듯하다.  금액이 조금 오를듯 싶은데....  순대 조금 먹어봤는데 괜찮았다. 전체적으로 가격 대비 맛 괜찮타. 쏘쏘 사장님 화이팅 입니다.
6.30.월,"방문 전날 밤...7살아이가 유튜브에서 가게근황 올라온 영상을 보더니 여기 순대랑 족발이 너무 맛있다고 먹고 싶데요.... 아이가 먹고 싶다는데 어째요... 가야쥬..... 일보러 나갔다가 집에 가는길 종필엄마네로 가봅니다... 7호선 신중동역에서 출발 반포에서 버스 한번 갈아타서 오랫만에 강남바람 쐬고 기분이 좋아지네요.... 족발, 순대1, 내장1을 샀는데 깜빡하고 편육을 못샀어요.... 가져간 보냉가방에 족발과 순대를 넣고 다시 버스를 두번 갈아타 집에 갔어요.... 집에도착해서 바로 먹는데 그때까지 온기가 남아 야들야들 아주 맛있게 잘 먹었어요..... 먼거리라 택배주문해야지 하다가도 금방한 야들야들한 쫀뜩한음식을 생각하면 다음엔 그냥 차끌고 가야겠다 생각하네요. 잘 먹었습니다~"
9.2.화,사장님 친절하시고 양도 많고 굿
10.6.월,순대와 족발 사러 왔어요. 한가위 추석 잘 보내세요.
8.27.수,"먹다 찍은사진뿐이네요ㅠ 사장님 친화력 장난아니심!  알아서 주차증도 말씀해주시고, 넉넉하게 내어주시니 기분좋아짐  툴툴 거리는 주인들 많은데.. 내돈쓰고 괜히 기분 좋아지는곳"
9.29.월,겨우 찾아서 갔는데 맛있어요
7.29.화,족발맛집 집근처 족발집은 가격대가ᆢ 가성비 짱 맛도 짱 사모님 써비스도 짱 늘 번창하세요 👍 👍 👍 👍
6.19.목,족발맛이 끝내줘요~~~ 미니족과 꼬리도 샀어요 사장님도 친절하셔요^^ 순대도 맛있어요
8.29.금,오전에 반겨주시는 맛집입니다!
9.8.월,👍 👍 👍 👍 👍 족발생각날땐 늘 가는곳 맛도 좋고 가성비 짱 맛나게 ᆢ
8.10.일,오랜만에 종필엄마 족발 왔네요. 역시나 최고예요. 아줌마가 넘 예뻐요!!! 사랑합니다. 행복하세요.
7.11.금,가성비 👍 맛 👍 써비스 👍 친절 👍 모든게 굿인 맛집 👍 👍 👍 👍 👍
8.3.일,사장님이 친절하시고 주문한 음식준비를 빨리해주셔서 좋네요~ 종종 가는 곳이예요
8.9.토,"유튜브 보고 처음 갔는데, 기대 이상이에요. 가격이 다른 가게들에 비래 3-40프로 저렴한 느낌. 많이 파세요!!"
7.25.금,양도 많고 사장님 너무 친절하셔서 기분이 좋았어요 완전 깔끔하고 깨끗했고 순대 내장러버인데 진짜 잡내없이 너무너무 맛있어서 1인분만 사온거 후회중 ㅠㅠ 편육도 싸고 양많고 최고예요!!!
