date,content
8.2.토,계란이 싱싱하고 좋아요
3.31.월,계란도 싱싱하고 간식거리같은거 살수있어서 조아요 편의점보다 구운계란이 싸요
3.4.화,집앞 계란 할인점 좋아요^^
1.19.일,구운계란 쫄깃하고 맛있어요
24.12.9.월,"지나가다가, 우연히 보게되었는데 마침 계란 주문해야 됐어서 , 들렀어요~ 매장이 청결하니, 편하게 1판 사갔습니다~"
24.11.5.화,반응 남기기 방문일 24.11.5.화 2024년 11월 5일 화요일 9번째 방문 인증 수단 영수증
24.8.29.목,"갑자기 계란이 똑 떨어져서 샀어요. 마트보다는 비싸지만 급할 때 이용하기 좋네요. 대란30알 6,980원에 데려왔어요"
24.5.23.목,반응 남기기 방문일 24.5.23.목 2024년 5월 23일 목요일 9번째 방문 인증 수단 영수증
24.5.23.목,반응 남기기 방문일 24.5.23.목 2024년 5월 23일 목요일 8번째 방문 인증 수단 영수증
24.5.22.수,반응 남기기 방문일 24.5.22.수 2024년 5월 22일 수요일 7번째 방문 인증 수단 영수증
24.5.16.목,반응 남기기 방문일 24.5.16.목 2024년 5월 16일 목요일 3번째 방문 인증 수단 영수증
24.5.9.목,반응 남기기 방문일 24.5.9.목 2024년 5월 9일 목요일 6번째 방문 인증 수단 영수증
24.5.8.수,반응 남기기 방문일 24.5.8.수 2024년 5월 8일 수요일 5번째 방문 인증 수단 영수증
24.5.7.화,반응 남기기 방문일 24.5.7.화 2024년 5월 7일 화요일 4번째 방문 인증 수단 영수증
24.5.6.월,반응 남기기 방문일 24.5.6.월 2024년 5월 6일 월요일 3번째 방문 인증 수단 영수증
24.5.6.월,반응 남기기 방문일 24.5.6.월 2024년 5월 6일 월요일 1번째 방문 인증 수단 영수증
24.5.5.일,가까운곳에서 신선한 계란을 언제든 살수 있어서 너무 좋아요!
24.5.3.금,무항생제 계란이 싸요!
24.5.1.수,반응 남기기 방문일 24.5.1.수 2024년 5월 1일 수요일 2번째 방문 인증 수단 영수증
24.5.1.수,반응 남기기 방문일 24.5.1.수 2024년 5월 1일 수요일 1번째 방문 인증 수단 영수증
24.4.18.목,반응 남기기 방문일 24.4.18.목 2024년 4월 18일 목요일 8번째 방문 인증 수단 영수증
24.4.14.일,무인점포인데 늦은시간에도 구입가능하고 계란이 가격도싸고 깔끔한매장이라 더좋았어요
24.4.12.금,반응 남기기 방문일 24.4.12.금 2024년 4월 12일 금요일 7번째 방문 인증 수단 영수증
24.4.7.일,반응 남기기 방문일 24.4.7.일 2024년 4월 7일 일요일 6번째 방문 인증 수단 영수증
24.4.4.목,반응 남기기 방문일 24.4.4.목 2024년 4월 4일 목요일 5번째 방문 인증 수단 영수증
24.3.30.토,반응 남기기 방문일 24.3.30.토 2024년 3월 30일 토요일 4번째 방문 인증 수단 영수증
24.3.26.화,반응 남기기 방문일 24.3.26.화 2024년 3월 26일 화요일 3번째 방문 인증 수단 영수증
24.3.13.수,신기한 컨셉이네요 가격도 합리적
24.3.11.월,반응 남기기 방문일 24.3.11.월 2024년 3월 11일 월요일 1번째 방문 인증 수단 영수증
