date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
6.27.금,처음 방문해 봤어요. 생선류 좋아하는데 식구들이 별로 좋아하지 않아 잘 못해 먹어서 ㅋㅋㅋ 오늘은 대기도 없고 좀 여유로워 보여서 들어갔는데....! 매장 깔끔하고 여 사장님도 장갑끼시고 매장 관리 하셔서 더 마음에 들었어요~ 코다리 매운탕은 안 먹어 봤던 음식이라 주문 해 봤어요. 코다리를 좋아하기도 하고 매운탕도 좋아하고. 반찬도 깔끔하게 나오고. 무생채나 깍두기 둘 다 무 맵지 않고 양념이 잘 배어 맛있었어요. 매운탕도 비린대 없고 좋았어요. 뚝배기에 나와서 다 먹고 나올때 까지 김이 모락모락~^^ 여기 닭 곰탕이 인기 메뉴인것 같아요. 다음엔 닭곰탕 먹으러 갈게요~~♡ 잘 먹었습니다~~
5.14.수,세상에나 닭곰탕 잡내도안나고 깔끔한 국물맛이 어머이건뭐지?하는 맛입니다. 닭곰탕집좀 다닌다는 사람인데 너무너무맛있어서 놀랐어요...생채맛은 또 기가막힙니다.골뱅이메밀무침..아는맛아니고 비슷한맛 흉내낼수있겠지만 다른메뉴먹어보러 다시 방문할겁니다 엄지척척척입니다
7.11.금,"혼밥하기 좋은 식당. 여기 올때마다 메뉴하나씩 다 시켜보고 있는데 곰탕, 백골뱅이 비빔밥... 특히 아침마다 직접 만드신다는 김치만두까지 다 맛있어요. 반찬으로 나오는 무생채랑 깍두기도 완전 취저!!!!"
8.20.수,반응 남기기 방문일 8.20.수 2025년 8월 20일 수요일 42번째 방문 인증 수단 영수증
7.7.월,반응 남기기 방문일 7.7.월 2025년 7월 7일 월요일 41번째 방문 인증 수단 영수증
