date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
3.6.목,저번에 한번 왔다가 중국에서 먹던 훈둔을 만나고 감격해서 다시 찾았어요. 마파두부와 볶음밥 꿀조합인데 볶음밥 단독으로도 충분히 맛있고요. 오이소고기무침은 샐러드처럼 새콤산뜻해서 기름진거 못드시는 분에게도 딱입니다. 다른 메뉴들도 하나하나 정복예정.. 가성비와 맛 둘 다 잡은 흔치않은 식당!
5.2.금,반응 남기기 방문일 5.2.금 2025년 5월 2일 금요일 1번째 방문 인증 수단 영수증
2.6.목,반응 남기기 방문일 2.6.목 2025년 2월 6일 목요일 4번째 방문 인증 수단 영수증
24.11.2.토,맛있어요!! 항상 야무지게 먹고 갑니다😤👍🏾
24.10.16.수,반응 남기기 방문일 24.10.16.수 2024년 10월 16일 수요일 2번째 방문 인증 수단 영수증
24.1.4.목,반응 남기기 방문일 24.1.4.목 2024년 1월 4일 목요일 1번째 방문 인증 수단 영수증
23.11.15.수,반응 남기기 방문일 23.11.15.수 2023년 11월 15일 수요일 1번째 방문 인증 수단 영수증
23.4.5.수,사장님 친절하시고 양꼬치 냄새 1도 안나고 맛있어용!! 숯도 알아서 채워주시고 👍 꿔바로우도 맛있는데 오늘은 배불러서 못먹어서 너무 아쉽 ㅜ.ㅜ 왕십리 일대에서 양꼬치 제일 맛있...😘
23.5.2.화,반응 남기기 방문일 23.5.2.화 2023년 5월 2일 화요일 1번째 방문 인증 수단 결제내역
23.3.3.금,반응 남기기 방문일 23.3.3.금 2023년 3월 3일 금요일 3번째 방문 인증 수단 영수증
22.9.26.월,양갈비 건두부 맛있게 먹었어요
23.1.14.토,반응 남기기 방문일 23.1.14.토 2023년 1월 14일 토요일 2번째 방문 인증 수단 영수증
23.1.13.금,반응 남기기 방문일 23.1.13.금 2023년 1월 13일 금요일 1번째 방문 인증 수단 영수증
22.6.4.토,처음먹거본 메뉴인데 맛있어여! 고수 싫어하시는 분들은 빼달라하시면되욥
22.1.1.토,반응 남기기 방문일 22.1.1.토 2022년 1월 1일 토요일 1번째 방문 인증 수단 영수증
22.4.19.화,반응 남기기 방문일 22.4.19.화 2022년 4월 19일 화요일 2번째 방문 인증 수단 영수증
22.1.6.목,반응 남기기 방문일 22.1.6.목 2022년 1월 6일 목요일 1번째 방문 인증 수단 영수증
22.3.17.목,반응 남기기 방문일 22.3.17.목 2022년 3월 17일 목요일 1번째 방문 인증 수단 영수증
22.1.6.목,반응 남기기 방문일 22.1.6.목 2022년 1월 6일 목요일 1번째 방문 인증 수단 영수증
