date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
23.10.18.수,죽쟁인데 이런 죽집이 있어서 좋아요 맛있어요~ 반찬도 오징어 너무맛있다 냠냠! 감사합니다 사장님☺️
24.1.8.월,본죽보다 야채가 많네요
24.3.5.화,반응 남기기 방문일 24.3.5.화 2024년 3월 5일 화요일 2번째 방문 인증 수단 영수증
23.6.26.월,배가 많이 안좋아서 죽을 포장하고자 방문했었습니다! 사장님이 너무너무 친절하시고 죽이 저렴하고 구성이 야무집니다!:)
23.9.2.토,반응 남기기 방문일 23.9.2.토 2023년 9월 2일 토요일 1번째 방문 인증 수단 영수증
23.7.11.화,포장도 깔끔하고 괜찮네요^^
23.1.5.목,포장 주문 했습니다. 사장님이 여자분이신데 너무 친절해서 또 가려고 합니다.
22.11.23.수,가격도 저렴하고 맛있어요!
22.12.17.토,여기 진짜 맛있고 깔끔하네요.
22.9.8.목,깔끔하고 건강한 식사였습니다
23.2.7.화,반응 남기기 방문일 23.2.7.화 2023년 2월 7일 화요일 1번째 방문 인증 수단 영수증
23.2.5.일,반응 남기기 방문일 23.2.5.일 2023년 2월 5일 일요일 1번째 방문 인증 수단 영수증
23.3.13.월,반응 남기기 방문일 23.3.13.월 2023년 3월 13일 월요일 5번째 방문 인증 수단 영수증
22.12.17.토,반응 남기기 방문일 22.12.17.토 2022년 12월 17일 토요일 1번째 방문 인증 수단 영수증
22.12.11.일,반응 남기기 방문일 22.12.11.일 2022년 12월 11일 일요일 1번째 방문 인증 수단 영수증
22.8.5.금,반응 남기기 방문일 22.8.5.금 2022년 8월 5일 금요일 1번째 방문 인증 수단 영수증
22.8.14.일,반응 남기기 방문일 22.8.14.일 2022년 8월 14일 일요일 1번째 방문 인증 수단 영수증
22.5.13.금,배달 빠르고 맛있어요.
22.9.4.일,반응 남기기 방문일 22.9.4.일 2022년 9월 4일 일요일 1번째 방문 인증 수단 영수증
22.4.11.월,반응 남기기 방문일 22.4.11.월 2022년 4월 11일 월요일 1번째 방문 인증 수단 영수증
22.4.4.월,반응 남기기 방문일 22.4.4.월 2022년 4월 4일 월요일 1번째 방문 인증 수단 영수증
24.11.25.월,"맛도 양도 부실,,"
24.3.21.목,반응 남기기 방문일 24.3.21.목 2024년 3월 21일 목요일 1번째 방문 인증 수단 영수증
