date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
7.5.토,식어도 맛있고 그냥 먹어도 맛있고. 오징어 씹히고 가쯔오부시에 매운 맛 팍팍 🌶 그 맛인데 괜히 땡겨요. 다음날 아침에 먹어도 맛있었어요.
2.3.월,"단돈 5,000원으로 이렇게 맛있는 볶음우동을 먹어 볼 수 있어 신기하고 감사했습니다. 조리하시고 계산하시는 카운터 칸막이에 사인이 적힌 종이가 붙어 있어서 이 사인, 누가 한 거냐고 여쭤봤더니 사장님의 아드님이 해 준 사인이라고 말씀해 주셔서 너무 귀엽고 짧은 시간이지만 감동이 느껴지도 했습니다. 지금은 한양대학교 근처 맛집을 차례로 탐방하려고 하고 있기 때문에 다 돌고 나서 재방문하겠습니다. 다음에는 쌀이 들어간 메뉴를 선택해 맛보고 싶습니다."
1.7.화,지지고를 먹은지 어연 8년차.. 지지고를 너무 좋아해서 여태 여러 지점을 먹어보았다 한양대점은 면에 밥추가가 안되서 그냥 두개를 따로 시킴.. 뭐가 안되는 메뉴도 꽤 있다 매움 선택도 단 두가지. 대학가라 바쁜건 알겠다만.. 그런 것 치고도 너무 메뉴 제한 많음 다른 매장이랑 비교하게 됨 (어차피 지지고는 대학가 주변이라 다 바쁠텐데 그럼에도 매움선택도 세분화되거나 사이드추가 종류도 많으니까요) 지지고 자체의 맛은 있음. 고기마요는 그냥 그럼 밥에 대한 얘기가 리뷰에 꽤 있던데 좀 푸석해서 면 먹다가 밑에 가라앉은 소스 밥에 옮겨먹었다 ㅎㅎㅎ
24.11.14.목,오랜만에 먹는 것이다 보니 그만... 다 먹었어요~^0^ 집이랑 회사 근처에 없어서 성동구 외근할 때마다 지지고-알촌-도스마스 돌아가면서 점심으로 먹고 있습니다. 한양대생들이 부럽네요!! 한양
24.9.24.화,반응 남기기 방문일 24.9.24.화 2024년 9월 24일 화요일 6번째 방문 인증 수단 영수증
24.5.18.토,반응 남기기 방문일 24.5.18.토 2024년 5월 18일 토요일 3번째 방문 인증 수단 영수증
24.2.7.수,외근 중에 먹은 지지고. 언제 먹어도 맛있어요!! 만드는 과정 중에서 나는 매운 냄새 때문에 기침이 저절로 나게 되지만요😂
24.5.25.토,반응 남기기 방문일 24.5.25.토 2024년 5월 25일 토요일 5번째 방문 인증 수단 영수증
24.3.5.화,지지고 짱 존맛탱
24.3.23.토,반응 남기기 방문일 24.3.23.토 2024년 3월 23일 토요일 4번째 방문 인증 수단 영수증
23.11.30.목,지지고 넘 사랑해서 강변역 사는데 그나마 젤 가까운 한양대점 갔음 사장닝 무뚝뚝 불친절하게 느껴졌지만 바빠서 그러신 느낌? 여튼 지지고 역시나 jmt
24.2.2.금,반응 남기기 방문일 24.2.2.금 2024년 2월 2일 금요일 3번째 방문 인증 수단 영수증
23.6.15.목,수업 마치고 먹는 지지고..👍🏻 다음에는 라이스로 먹어야징 ㅎㅎ
23.5.1.월,"지지고의 맛을 느끼고 싶으면 기본으로 주문하시고.. 감칠맛은 모르겠고 매운 것만 원하면 매운맛으로,,,  에어컨 청소 해주세요.. 들어놓으셨던데 들어가자마자 재채기 대파티였음"
23.5.15.월,반응 남기기 방문일 23.5.15.월 2023년 5월 15일 월요일 1번째 방문 인증 수단 영수증
23.5.22.월,반응 남기기 방문일 23.5.22.월 2023년 5월 22일 월요일 1번째 방문 인증 수단 영수증
23.4.25.화,반응 남기기 방문일 23.4.25.화 2023년 4월 25일 화요일 2번째 방문 인증 수단 영수증
23.4.24.월,반응 남기기 방문일 23.4.24.월 2023년 4월 24일 월요일 1번째 방문 인증 수단 결제내역
23.2.27.월,양도 많고 너무 맛있어요~~!!
22.11.24.목,자주 먹어도 안 질리고 가격도 저렴하고 맛있어요 ㅎㅎ
22.9.23.금,마감하기 직전에 가게되서 조마조마 했는데 다행히 포장은 가능했습니다. 대기가 많아서 사장님 혼자 주문도 받고 음식하시느라 정신없으신게 보여서 조금 죄송했지만 그래도 맛있게 잘 먹었습니다! 감사합니다 !
22.12.28.수,반응 남기기 방문일 22.12.28.수 2022년 12월 28일 수요일 1번째 방문 인증 수단 결제내역
22.10.18.화,반응 남기기 방문일 22.10.18.화 2022년 10월 18일 화요일 1번째 방문 인증 수단 영수증
