date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
8.19.화,뚝도시장 가성비 좋은 밥집 친절하시고 음식 다 맛있네요
3.10.월,인심 넘치고 입담 좋은 할머님이 계신 곳 여기 양소금구이 (술안주로 제격!) 랑 해물 칼국수 추천해봅니다😉 맛을 떠나서...할머님의 정을 느끼고 오는 집이었어요🙂‍↕️ 담엔 밥 먹으러 오겠습니다 할머님🙇🏻
4.21.월,반응 남기기 방문일 4.21.월 2025년 4월 21일 월요일 1번째 방문 인증 수단 영수증
24.10.13.일,"누가 봐도 시장 안 노포. 4인 테이블 4개로 실내도 작다. 내부에 있는 귀한 글귀들은 마치 30년 전인 듯. 음식의 가격도 그때 그 수준인 듯. 술과 해장국을 주문하니 순대부터 시작해 오뎅 등 작은 안주들을 많이 내주셔서 밥 먹기 전에 벌써 소주 반 병 가능. 양선지 해장국은 칼칼한 빨간색. 국물이 진하지 않고 맑은 편. 음식이 아주 맛있다는 아니지만 가성비로는 아주 뛰어난 곳. 그래서 노포 매니아에겐 극호, 세련된 걸 찾으시는 분들에겐 비추."
3.12.수,반응 남기기 방문일 3.12.수 2025년 3월 12일 수요일 1번째 방문 인증 수단 영수증
24.8.20.화,작업실근처 최고의 혼밥집 발견!! 가성비뿐 아니라 맛도 좋다...
24.1.5.금,"소주 한 잔 하기 이만큼 좋은 곳이 없습니다. 기본안주만해도 후라이, 떡볶이, 순대, 오뎅! 사장님 너무 친근하시고, 소금구이는 소주안주로 아주 딱입니다."
23.9.9.토,이모 분식집하셨어요? 반찬이 분식세트 해장국집에서 분식세트를 맛볼줄은 몰랐는데 맛있음 단호박스멜 솔솔나는 학교앞 분식집 떡볶이 맛에 어묵도 꼬치로 인당 내주심 분식도 메뉴에 넣어주세요 취향저격ㅠㅠ 후라이도 주시고 김치는 생강맛이 진하고 깍두기도 너무 자극적이지않고 잘 익었음 사장님 성수에 건물이 있으신가 반찬이 진짜 혜자👍🏻 그 중 제일인건 양선지해장국 국물!! 선지 양도 상당한데 국물이 진하고 맛있음ㅠㅠ 닭곰탕 먹고싶어서 갔는데 닭곰탕은 잊고 양선지 찬양함 소고기해장국도 별미인게 선지랑 국물베이스는 같은데 소고기가 들어가서인지 얼큰하고 진짜 맛있는 무국맛 건더기도 낭낭하고 국물 많이 달라하면 넘치도록 주심 후식으로 아이스크림까지 요즘 높은 물가들 기강 잡으시는 사장님 진짜 최고❤️
23.10.6.금,"가성비 짱이네요. 6천원짜리 양선지해장국에 어묵이랑 순대, 계란후라이, 부침개까지 반찬으로 나와요. 양은 살짝 질긴데 선지는 부드럽고 쫄깃하니 맛있어요. 우거지랑 콩나물도 들어있고 푸짐해요."
23.9.21.목,반응 남기기 방문일 23.9.21.목 2023년 9월 21일 목요일 1번째 방문 인증 수단 영수증
23.7.28.금,사장님 너무너무 친절하시고 저렴한 가격에 맛있는해장국 푸짐하게 먹었습니다!!
23.3.4.토,정말 가성비 좋은 집입니다. 위생은 잠시 접어두시공. 사장님.친절 하시고 동네ㅡ사랑방. 현금+잔돈 못받겠어요.동네 중국집도8천원인데 여긴 5천원..... 뭐가 남으시는지...적극 추천 합니다.
23.12.6.수,반응 남기기 방문일 23.12.6.수 2023년 12월 6일 수요일 1번째 방문 인증 수단 영수증
23.1.10.화,가성비가 너무 좋아요! 혼밥하기도 너무 좋구요! 그런데 요즘 재첩이 씨알이 좀 작다고 해야할까요 예전만 못한겋 같지만 그래도 혼밥용으로 이정도 가격이면 만족할만한 식사였어요!
23.7.19.수,반응 남기기 1 명 방문일 23.7.19.수 2023년 7월 19일 수요일 1번째 방문 인증 수단 영수증
22.9.7.수,반응 남기기 1 명 방문일 22.9.7.수 2022년 9월 7일 수요일 26번째 방문 인증 수단 영수증
22.7.1.금,반응 남기기 1 명 방문일 22.7.1.금 2022년 7월 1일 금요일 25번째 방문 인증 수단 영수증
22.4.25.월,반응 남기기 방문일 22.4.25.월 2022년 4월 25일 월요일 24번째 방문 인증 수단 영수증
22.3.29.화,반응 남기기 방문일 22.3.29.화 2022년 3월 29일 화요일 23번째 방문 인증 수단 영수증
22.3.25.금,반응 남기기 방문일 22.3.25.금 2022년 3월 25일 금요일 22번째 방문 인증 수단 영수증
