date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
9.13.토,노포맛집 두부김치시키시면 생김치로 드셔보세요 김치가 진짜 존맛
2.11.화,추억의 옛날 치킨 맛! 추천이요~
24.4.12.금,청결 좀 신경 썼으면..
24.3.16.토,반응 남기기 방문일 24.3.16.토 2024년 3월 16일 토요일 2번째 방문 인증 수단 영수증
24.6.4.화,반응 남기기 방문일 24.6.4.화 2024년 6월 4일 화요일 1번째 방문 인증 수단 영수증
23.10.1.일,맛있어요 사장님도 친절하세요 자주먹어도 질리지가 않네요^^
24.7.29.월,반응 남기기 방문일 24.7.29.월 2024년 7월 29일 월요일 1번째 방문 인증 수단 영수증
23.3.2.목,처갓집 슈프림 양념치킨 말해뭐하나요ㅋㅋ 너무 맛나쥬 가격 착하죵 이번에나온 치즈가루 뿌려진거 진짜 존맛탱!!! 치킨이 조금 오래걸렸지만 후다닭 먹엇어요ㅋㅋ 다리+날개라서 뻑살도없고 적당히 베여진 양녕도 굿!
23.7.19.수,옛 느낌의 치킨집~ 단골될 것 같아요^^ 주인 아저씨 아주머님도 참 친절하세요!
23.8.25.금,반응 남기기 방문일 23.8.25.금 2023년 8월 25일 금요일 1번째 방문 인증 수단 영수증
23.3.31.금,참 좋아하는곳 입니다. 닭튀김도 맛있고 다른 메뉴들도 맛있습니다.가끔 주시는 김치맛은 최고
23.3.14.화,맛집 찾았어요. 맛이 훌륭해요. 집 근처 닭집이 점점이상해지고 있어서 한동안 닭을 못 먹었는데 이제 걱정 없어요 여기서 계속 먹으면 될것같아요 닭 진짜 잘 튀겨요. 겉바속촉 이예요
22.11.24.목,동네에 치킨집이 있어서 좋아요 (화장실은 조금 불편하지만..)
23.2.11.토,반응 남기기 방문일 23.2.11.토 2023년 2월 11일 토요일 1번째 방문 인증 수단 영수증
22.12.24.토,반응 남기기 방문일 22.12.24.토 2022년 12월 24일 토요일 1번째 방문 인증 수단 영수증
23.5.19.금,반응 남기기 방문일 23.5.19.금 2023년 5월 19일 금요일 1번째 방문 인증 수단 영수증
22.7.14.목,반응 남기기 방문일 22.7.14.목 2022년 7월 14일 목요일 1번째 방문 인증 수단 영수증
22.9.13.화,반응 남기기 방문일 22.9.13.화 2022년 9월 13일 화요일 1번째 방문 인증 수단 영수증
22.11.19.토,반응 남기기 방문일 22.11.19.토 2022년 11월 19일 토요일 3번째 방문 인증 수단 영수증
22.11.5.토,반응 남기기 방문일 22.11.5.토 2022년 11월 5일 토요일 2번째 방문 인증 수단 영수증
22.5.22.일,반응 남기기 방문일 22.5.22.일 2022년 5월 22일 일요일 1번째 방문 인증 수단 영수증
22.3.30.수,반응 남기기 방문일 22.3.30.수 2022년 3월 30일 수요일 1번째 방문 인증 수단 영수증
22.3.30.수,반응 남기기 방문일 22.3.30.수 2022년 3월 30일 수요일 1번째 방문 인증 수단 영수증
21.4.2.금,반응 남기기 방문일 21.4.2.금 2021년 4월 2일 금요일 1번째 방문 인증 수단 영수증
21.1.19.화,반응 남기기 방문일 21.1.19.화 2021년 1월 19일 화요일 1번째 방문 인증 수단 영수증
21.1.21.목,반응 남기기 방문일 21.1.21.목 2021년 1월 21일 목요일 1번째 방문 인증 수단 영수증
