date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
10.11.토,처음 방문한 곳인데 분위기도 좋고 음식도 맛있어요 화장실도 실내에 있고 깨끗해서 맘에 들어요 사장님도 친절하셔서 자주 방문하고 싶은 곳이예요 다음에 왕십리 근처 방문하면 꼭 다시 올께요!!
9.28.일,남편이랑 맥주한잔겸 식사하러왔어요! 분위기굿!친절한사장님은덤:) 오랜만에데이트하네요!맛은 두말하면잔소리!!! 너무맛나요^^
9.8.월,"단골인데 리뷰는 처음 쓰네요..!!!ㅜㅜ 친구들이랑 가도 혼술하러 가도 항상 친절하게 맞아주셔서 기분 좋게 나오는 곳입니다👍 특히 여기만의 시원한 국물이 대박이라 날씨 좀 시원해졌다고 바로 생각나는 거 있죠ㅋㅋㅋㅋㅋ 점바점은 ㄹㅇ인가봅니다.. 여기가 유독 맛있어요 왜일까,,, 제가 진짜 거의 다 먹어본 것 같은데 떡볶이는 무슨 분식집보다 맛있고 튀김류는 일식집 뺨칩니다,, 아 그리고 저는 연어 먹고싶을 때도 여기 갑니다,,, 어묵은 당연한거니까 말하지 않겠슴다.. 단무지까지 맛있어욬ㅋㅋㅋ 그냥 취향대로 드십쇼 뭐든 후회없는 메뉴임. 여기 국물에는 소주도 하이볼도 사케도 쑥쑥 들어가니까 조심하시구요ㅎ (사장님 손맛에 살쪄가는 나..) 이상.. 너무 자주 가서 사진도 잘 안 찍는,, 찐 단골의 리뷰였슴다🫶"
10.19.일,오뎅탕 말고 오뎅바가 땡겨서 방문했어요! 날이 추워지니 분위기도 맛도 너무 좋았어요 그리고 한양대 주변 술집 중에 이렇게 깔끔한 곳 없을듯.... 맛있게 먹고 갑니다!
9.25.목,오뎅 종류도 다양하고 곶감치즈말이도 너무 맛있어요 분위기도 차분해서 친구들과 모임하기도 너무 좋아요. 다음에도 또 방문할 거 같습니다!ㅎㅎ
