date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
9.25.목,반응 남기기 방문일 9.25.목 2025년 9월 25일 목요일 14번째 방문 인증 수단 영수증
7.7.월,항상 오는 곳이에요. 콜드브루 맛있어요.
3.12.수,사장님이 너무 친절 하시고 음료랑 디저트도 딱 내 스타일이라 자주 갈꺼 같아요^^
1.16.목,오늘 점심후 들렸는데 친절하고 맛있어졌어요 설날용돈봉투 잘 쓸께요 감사합니다
1.22.수,청계천박물관 체험 시간 남아서 들렸어요 테이크아웃 전문점이지만 잠시 쉴 수 있게 해 주셨어요 아이와 음료와 빵으로 허기 달랬네요
1.8.수,화사앞카페인데 오늘은 불만만 있어오 1. 키오스크 ui개판입니다 그림도 없고 직관적이지도 않고 추가도 어렵고 느려요 2. 크루를 줄였네요 2명을 1명으로 그래서 그런지 일이 많아서 힘드신지 불친절이 심해요  안타깝습니다
24.12.18.수,마장동 고기골목에 유일한 오아시스 테이크아웃전문 좌석없음 메가커피 보다 낫다고 하기는.. 논알콜없고 티 비쌈
3.4.화,반응 남기기 방문일 3.4.화 2025년 3월 4일 화요일 1번째 방문 인증 수단 영수증
24.7.31.수,친절하신 사장님~ 커피맛이 끝내줘요~ 톡톡튀는 패션후르츠에이드는 어디서도 못먹어본 맛인데 진짜맛있고 헤이즐넛 커피도 왕왕 맛있습니다. ㅋㅋㅋ 우리동네 맛집이 숨어있었네용~!
24.7.17.수,전날 술먹고 해장할겸 꿀라떼를 먹었는데 진짜 해장이 싸악 되는 기분이에요 !!!  그리고 휘낭시에 나왔다고 하시길래 주문해서 사무실에서 사람들이랑 나눠먹었는데 다들 너무 좋아하세요 ㅎㅎ  처음 방문해본 곳인데 재방문 의사 있습니다~
24.5.20.월,"패쓰오더 사용하고 나니, 이 카페에서도 그렇게 주문할 수 있으면 좋겠어요, 사장님!"
24.6.5.수,반응 남기기 방문일 24.6.5.수 2024년 6월 5일 수요일 1번째 방문 인증 수단 영수증
24.4.8.월,반응 남기기 방문일 24.4.8.월 2024년 4월 8일 월요일 1번째 방문 인증 수단 결제내역
24.3.8.금,반응 남기기 방문일 24.3.8.금 2024년 3월 8일 금요일 3번째 방문 인증 수단 포장주문
24.1.8.월,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 24.1.8.월 2024년 1월 8일 월요일 6번째 방문 인증 수단 영수증
23.12.22.금,매일 아침 청계투고에서 커피마셔요
23.11.21.화,예전에 비해 가성비가 떨어져요
24.5.31.금,반응 남기기 방문일 24.5.31.금 2024년 5월 31일 금요일 6번째 방문 인증 수단 영수증
23.12.29.금,반응 남기기 방문일 23.12.29.금 2023년 12월 29일 금요일 1번째 방문 인증 수단 영수증
23.6.12.월,지나가다 사람들이 많이 있길래 들어가서 먹어봤어요~ 커피 맛은 쏘쏘..^^;
23.6.20.화,반응 남기기 방문일 23.6.20.화 2023년 6월 20일 화요일 5번째 방문 인증 수단 영수증
23.6.29.목,반응 남기기 방문일 23.6.29.목 2023년 6월 29일 목요일 1번째 방문 인증 수단 영수증
23.7.7.금,반응 남기기 방문일 23.7.7.금 2023년 7월 7일 금요일 1번째 방문 인증 수단 영수증
23.6.7.수,예전보다 가성비는 안좋아졌네요
23.8.3.목,반응 남기기 방문일 23.8.3.목 2023년 8월 3일 목요일 1번째 방문 인증 수단 영수증
23.7.26.수,빠르고 저렴하고 좋아요
23.2.6.월,항상 회사에서 종종 사먹어요!!! 맛있고 양도많아요!
22.12.28.수,친구집에 그냥가기그렇고 커피도 맛있고해서
23.4.19.수,반응 남기기 방문일 23.4.19.수 2023년 4월 19일 수요일 2번째 방문 인증 수단 결제내역
23.2.21.화,반응 남기기 방문일 23.2.21.화 2023년 2월 21일 화요일 1번째 방문 인증 수단 결제내역
23.1.17.화,길목 좋은 카페! 맛나요
23.6.24.토,반응 남기기 방문일 23.6.24.토 2023년 6월 24일 토요일 1번째 방문 인증 수단 영수증
22.12.13.화,반응 남기기 방문일 22.12.13.화 2022년 12월 13일 화요일 1번째 방문 인증 수단 영수증
22.11.15.화,반응 남기기 방문일 22.11.15.화 2022년 11월 15일 화요일 4번째 방문 인증 수단 영수증
22.8.31.수,반응 남기기 방문일 22.8.31.수 2022년 8월 31일 수요일 3번째 방문 인증 수단 영수증
22.11.14.월,반응 남기기 방문일 22.11.14.월 2022년 11월 14일 월요일 2번째 방문 인증 수단 영수증
22.10.26.수,반응 남기기 방문일 22.10.26.수 2022년 10월 26일 수요일 3번째 방문 인증 수단 영수증
22.5.17.화,매번 청계천쪽 카페가다가 검색해보고 궁금해서 가봤는데 테아전문이고 좋아요 m사이즈가 양이 너무많아보여서 s했는데 또 금방마시네여 ㅎㅎ 낼은 큰걸루 ㅋㅋ
22.7.12.화,대박 이런 곳이 있다는걸 이제 알았다니요ㅠㅠㅠ 딸기라떼 드셔야 합니다! 딸기 덩어리가 그대로 씹히는데 너무 저렴해요 단종되지 않기를 바랄 뿐입니다 너무 친절하시고... 사장님 대박나세요
22.9.14.수,반응 남기기 방문일 22.9.14.수 2022년 9월 14일 수요일 1번째 방문 인증 수단 영수증
22.7.7.목,반응 남기기 방문일 22.7.7.목 2022년 7월 7일 목요일 2번째 방문 인증 수단 영수증
22.3.28.월,반응 남기기 방문일 22.3.28.월 2022년 3월 28일 월요일 1번째 방문 인증 수단 영수증
