date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
6.14.토,반응 남기기 방문일 6.14.토 2025년 6월 14일 토요일 1번째 방문 인증 수단 영수증
24.8.12.월,친구네 놀러가서 동네맛집이라며 점심먹으러 감~ 오삼불고기 너무 맛깔스럽게 보기처럼 맛도 짱~ 담에 또 올께요~
24.9.13.금,사장님이 친절하시고 안주도 양 많고 맛있어요!
24.7.3.수,반응 남기기 방문일 24.7.3.수 2024년 7월 3일 수요일 1번째 방문 인증 수단 영수증
24.6.21.금,반응 남기기 방문일 24.6.21.금 2024년 6월 21일 금요일 2번째 방문 인증 수단 영수증
24.2.8.목,반응 남기기 방문일 24.2.8.목 2024년 2월 8일 목요일 5번째 방문 인증 수단 영수증
24.3.9.토,반응 남기기 방문일 24.3.9.토 2024년 3월 9일 토요일 1번째 방문 인증 수단 영수증
24.3.9.토,반응 남기기 방문일 24.3.9.토 2024년 3월 9일 토요일 1번째 방문 인증 수단 영수증
23.10.13.금,통골뱅이라서 더 맛있어요.
23.9.18.월,맛나게 먹고 왔어요
23.5.2.화,이곳은 편한 곳이다 양도 푸짐하지만 주인분들의 마음이 선하다 먹을것도 푸짐하지만 선 한 사람들이 여서 더 정이가는 곳이다 혼자가서도 충분히 편히 먹을수 있으니 가까이 계신분들은 찾아가 보시길 권장한다 ^^
23.8.18.금,골뱅이무침 작은 것도 둘이선 배부르네요
23.11.11.토,반응 남기기 방문일 23.11.11.토 2023년 11월 11일 토요일 1번째 방문 인증 수단 영수증
23.8.11.금,반응 남기기 방문일 23.8.11.금 2023년 8월 11일 금요일 1번째 방문 인증 수단 영수증
23.7.16.일,골뱅이무침 양념이 정말 기가 막혀요
22.12.7.수,골뱅이는 청량리 골뱅이죠
22.11.19.토,반응 남기기 방문일 22.11.19.토 2022년 11월 19일 토요일 4번째 방문 인증 수단 영수증
22.11.18.금,일단 가격이 혜자로워서 마장동가면 2차로 또갈집!!! 물론 맛도좋고 사장님 위트잇으시고 아주좋음!! 화장실도 안에잇어서 구굳
22.12.9.금,반응 남기기 방문일 22.12.9.금 2022년 12월 9일 금요일 1번째 방문 인증 수단 영수증
22.10.9.일,반응 남기기 방문일 22.10.9.일 2022년 10월 9일 일요일 2번째 방문 인증 수단 영수증
22.10.23.일,반응 남기기 방문일 22.10.23.일 2022년 10월 23일 일요일 3번째 방문 인증 수단 영수증
22.5.11.수,여기는 볶음이 미쳤어요 낮에 점심메뉴 너무 맛있습니다 볶음이 중국집보다 맛있어요 그리고 저녁에 통골뱅이탕 먹으면 술이 술술이에요 칼국수 사리도 있어서 하나 추가해 먹으면 육수도 더두고 너무맛있습니다! 추천드려요!
22.9.29.목,반응 남기기 방문일 22.9.29.목 2022년 9월 29일 목요일 1번째 방문 인증 수단 영수증
22.6.28.화,반응 남기기 방문일 22.6.28.화 2022년 6월 28일 화요일 1번째 방문 인증 수단 영수증
22.10.12.수,반응 남기기 방문일 22.10.12.수 2022년 10월 12일 수요일 2번째 방문 인증 수단 영수증
22.9.26.월,반응 남기기 방문일 22.9.26.월 2022년 9월 26일 월요일 1번째 방문 인증 수단 영수증
22.7.20.수,반응 남기기 방문일 22.7.20.수 2022년 7월 20일 수요일 2번째 방문 인증 수단 영수증
22.7.19.화,반응 남기기 방문일 22.7.19.화 2022년 7월 19일 화요일 1번째 방문 인증 수단 영수증
22.6.20.월,반응 남기기 방문일 22.6.20.월 2022년 6월 20일 월요일 2번째 방문 인증 수단 영수증
22.2.27.일,반응 남기기 방문일 22.2.27.일 2022년 2월 27일 일요일 1번째 방문 인증 수단 영수증
22.5.9.월,반응 남기기 방문일 22.5.9.월 2022년 5월 9일 월요일 1번째 방문 인증 수단 영수증
21.2.24.수,반응 남기기 방문일 21.2.24.수 2021년 2월 24일 수요일 1번째 방문 인증 수단 영수증
20.6.23.화,사장님 친절하고 맛있어요
