date,content
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
9.13.토,4층 꽈배기 매니아입니다 꽈배기 맛집 많이 찾아다녔는데 청주 명문도너츠 너무 맛있네요 생도너츠 꽈배기 팥찹쌀도너츠 일반 찹쌀도너츠했는데 다 맛있고 꽈배기는 폭신폭신한 빵 같은 스타일이에요. 생도너츠는 보통 안 먹지만 맛있다고 해서 사봤는데 겉은 바삭하고 속은 묵직한 타입으로 살짝 목맥히는 스타일 이런 스타일 좋아하는 분에게는 너무 맛있을 것 같아요 저는 개인적으로 목맥히는 느낌 좋아해서 맛있게 잘 먹었어요. 우유랑 특히 찰떡궁합! 슈크림도넛도 맛있어요 한개만샀는데 두개살걸 ㅋㅋ 암튼 거를타선없이 다 맛있고 서북면옥에서 냉면때리고 포장해가면 아주 굿코스입니다 ㅋㅋ 이것만으로도 아차산 올이유 충분해요
9.30.화,도너츠 종류도 다양하고 맛있어요 사장님도 친절하세요
9.13.토,추억의 도나쓰! 낱개로도 구매 가능하다는 게 제일 좋아요. 찹쌀도넛 넘 쫀닥하고 생도넛은 안에 앙금도 있어 더 맛있습니당
9.27.토,어린이대공원 갈 때마다 들러요 :-) 다 놀고 나오면서 온가족 하나씩 사먹으면서 집에 가는 소소한 행복😀 오늘도 잘 먹었습니다! 또 올게요!
10.9.목,더 안 사온게 아쉬울 정도로 너무너무 맛잇습니다!!! 생도넛 찹쌀도넛 꽈배기 다 최고예요ㅠㅠ
9.13.토,15년전부터 지나가다 들리는 맛집 도너츠가게에요.~ 생도넛츠를 가장 좋아하는데 옛날 그맛 그대로에요! 흑미찹쌀도너츠도 쫀득거리고 안에 팥이 들어있고 맛있어요~ 꽈배기는 달지않고 담백한데 가격이 좀 많이 올라서 아쉽네요ㅜㅜ(개당 1400원)
7.10.목,가끔 여기 생도너츠 생각나서 한번 갈때마다 20~30개 사가서 냉동실에 넣어 놓고 먹고있어요~ 냉동실에서 꺼내 바로 먹어도 맛있어요
8.14.목,가끔 먹고 싶은 이런 밀가루맛 가득한 꽈배기ㅎㅎ 사무실에서 먹으려고 사왔습니당~ 커피랑 먹으면 당충전 되네요^^
7.26.토,생도너츠 1개에 400원 하던 때부터 다녔는데 오랜만에 먹으니 맛있긴 하지만 옛날 그 맛이 아닌 것 같은 느낌이네요. 핫도그도 모양만 바뀐게 아니라 소세지도 맛이 없어요. 새로 생긴 슈크림은 크림 적고 빵이 많아요.
9.23.화,"흑임자도너츠랑 단팥도너츠 추천,"
7.12.토,"여긴 구의동에 오래된 🍩도너츠 가게에요. 오랜만에 가도 여전히 적당히 달면서 쫄깃한 맛이 유지되어 좋았어요~그리고 오픈한지 얼마 안돼서 갔더니, 방금 튀긴 따끈따끈한 도너츠를 먹을 수 있어서 진짜 행복했어요😋여긴 가게가 좁아서 포장밖에는 안되지만, 날 좋으면 근처 어린이대공원에서 먹으면 된답니다! 또 옛날 도너츠 생각나면 방문할거에요~"
6.6.금,"저의 맛집리스트에 있음❤️ 기름에 튀겼는데 하나도 안느끼하고, 속안 야채도 아삭하고 너무 맛있습니다. 집이 의정부인데 자꾸 생각나서 큰맘먹고 사러 왔습니다. 최애 고로케는 가격이 올라서 3개에 5천원이 되었군요"
10.18.토,반응 남기기 방문일 10.18.토 2025년 10월 18일 토요일 1번째 방문 인증 수단 영수증
6.28.토,가성비 좋아요 고로케 찹쌀도넛 맛있어요 평냉 먹고 무조건 들려요
8.30.토,반응 남기기 방문일 8.30.토 2025년 8월 30일 토요일 4번째 방문 인증 수단 영수증
9.1.월,핫도그 너무 맛있고 사장님 친절하세요!
6.21.토,지나가다가 한본씩 사먹어요 매정에서 직접 만드는게 보여요 찹쌀꽈배기는 아니지만 빠바나 이런곳 꽈배기보다 훨씬 나아요 찹쌀 도나스도 쫀득해요
6.18.수,생도너츠 라는거.. 정말 맛있네요 ㅠㅠ 안에 앙금도 빵 식감도 좋아욥…. 왕존맛
8.19.화,반응 남기기 방문일 8.19.화 2025년 8월 19일 화요일 1번째 방문 인증 수단 영수증
7.19.토,구의동 맛집ㅠㅠ 갓나온거 먹으면 진짜 극락이에요 이번에도 오랜만에 방문했는데 역시나 굿굿.. 비록 제가 좋아하는 고로케가 눈앞에서 다팔렸지만.. 그래도 도너츠랑 핫도그 너무 맛있게 먹었어요!!!
7.24.목,서북면옥 갔다가 코스로 들리는 곳이예요. 도너츠 종류 다 맛있어요. 특히 생도너츠 좋아합니다
7.12.토,반응 남기기 방문일 7.12.토 2025년 7월 12일 토요일 1번째 방문 인증 수단 영수증
6.14.토,나의맛집♡ 의정부에서 토요일마다 사러가는것도 지칩니다ㅎㅎㅎㅎ 2만원치 사왔는데..벌써 다먹었어요..
10.8.수,반응 남기기 방문일 10.8.수 2025년 10월 8일 수요일 17번째 방문 인증 수단 영수증
5.17.토,냉면 먹고 들르는 맛있는 도너츠가게에요 ! 다양하게 주문했는데 만원정도의 가격으로 가성비도 좋아요. 찹쌀도너츠류가 특히 너무너무 맛있고 기름이 깨끗한거같아요
5.7.수,도너츠 맛집!! 골고루 사서 나눠 먹었어요~ 🍩
9.26.금,반응 남기기 방문일 9.26.금 2025년 9월 26일 금요일 2번째 방문 인증 수단 영수증
6.9.월,부모님이 좋아하시는 옛 도나츠 가게 추억의 맛이라 생각나고 맛있어요!
