date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
5.14.수,오랜만에 모듬전에 한잔!! 맛있어~ㅋ 언니와 오손도손 즐거운 얘기와 함께 친절한 사장님 손맛이 돋보이는 금호동의 전집입니다~^^
3.6.목,반응 남기기 방문일 3.6.목 2025년 3월 6일 목요일 4번째 방문 인증 수단 영수증
5.10.토,반응 남기기 방문일 5.10.토 2025년 5월 10일 토요일 1번째 방문 인증 수단 영수증
24.11.7.목,감자전 자주 먹는데 항상 맛있습니다~~
24.11.9.토,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 24.11.9.토 2024년 11월 9일 토요일 1번째 방문 인증 수단 영수증
24.11.22.금,반응 남기기 방문일 24.11.22.금 2024년 11월 22일 금요일 3번째 방문 인증 수단 영수증
24.8.17.토,반응 남기기 방문일 24.8.17.토 2024년 8월 17일 토요일 9번째 방문 인증 수단 영수증
24.5.31.금,음식맛은있지만 엄쩡늦게나와요. 아줌머니혼자하시기에 너무늦어서
24.6.29.토,반응 남기기 방문일 24.6.29.토 2024년 6월 29일 토요일 8번째 방문 인증 수단 영수증
24.4.22.월,육전 너무 맛나고 애호박찌개 술이 술술 들어갑니다.사장님도 친절하시고 음식 손 맛이 장난 아닙니다. 다음에도 또 갈 듯 해요
24.6.8.토,맛난 전 집이에요.깔끔하고 신선해요
24.5.22.수,반응 남기기 방문일 24.5.22.수 2024년 5월 22일 수요일 1번째 방문 인증 수단 영수증
24.3.29.금,반응 남기기 방문일 24.3.29.금 2024년 3월 29일 금요일 2번째 방문 인증 수단 영수증
23.12.1.금,반응 남기기 방문일 23.12.1.금 2023년 12월 1일 금요일 1번째 방문 인증 수단 영수증
23.10.20.금,애호박 찌개가 맛있어요 밥을 부르는 맛이에요
23.7.24.월,"이모님 감자전,고추전 정말 맛있어요~~"
23.3.27.월,호탕한 이모님이 즉석으로 부쳐주시는 전과 버무려주신 홍어무침. 잘 먹었습니다!
23.4.29.토,비오는 날 좋아요
23.4.22.토,반응 남기기 방문일 23.4.22.토 2023년 4월 22일 토요일 7번째 방문 인증 수단 영수증
23.3.10.금,반응 남기기 방문일 23.3.10.금 2023년 3월 10일 금요일 6번째 방문 인증 수단 영수증
22.11.26.토,전하고 막걸리 두부김치 동네에서 비오는날 가기좋아요
22.12.4.일,반응 남기기 방문일 22.12.4.일 2022년 12월 4일 일요일 4번째 방문 인증 수단 영수증
23.1.13.금,반응 남기기 방문일 23.1.13.금 2023년 1월 13일 금요일 5번째 방문 인증 수단 영수증
23.3.26.일,반응 남기기 방문일 23.3.26.일 2023년 3월 26일 일요일 2번째 방문 인증 수단 영수증
22.11.29.화,반응 남기기 방문일 22.11.29.화 2022년 11월 29일 화요일 1번째 방문 인증 수단 영수증
22.10.3.월,반응 남기기 방문일 22.10.3.월 2022년 10월 3일 월요일 1번째 방문 인증 수단 영수증
22.12.6.화,반응 남기기 방문일 22.12.6.화 2022년 12월 6일 화요일 2번째 방문 인증 수단 영수증
22.10.3.월,반응 남기기 방문일 22.10.3.월 2022년 10월 3일 월요일 1번째 방문 인증 수단 영수증
22.4.5.화,음식깔끔하고 밑반찬도 맛있고 안주들도 다 맛있습니다. 강추!
21.8.21.토,"금남시장 맛집을 찾던 중 우연히 들어가본 곳인데, 내부가 넓지는 않지만 4개정도의 테이블이 있고, 매우 청결해요! 여사장님이 엄청 친절하시고, 전 위주로(기름지지 않고 담백) 추천해주셨는데, 감자전은 직접 갈으셔서 치즈도 살짝 넣으셨는지 엄청 꼬소해요!! (사진은 부추전이예요) 주로 단골분들 오시는것같은데 전 생각날때 올께요 :)"
21.9.27.월,도토리묵 정말 맛나요 동그랑땡 바로 부쳐서 따뜻하고 담백해요 ... 샐러드는 짱이에요
22.4.2.토,반응 남기기 방문일 22.4.2.토 2022년 4월 2일 토요일 1번째 방문 인증 수단 영수증
22.1.29.토,반응 남기기 방문일 22.1.29.토 2022년 1월 29일 토요일 3번째 방문 인증 수단 영수증
21.7.4.일,전도 맛있고 홍어회무침도 굿!
21.7.29.목,반응 남기기 방문일 21.7.29.목 2021년 7월 29일 목요일 2번째 방문 인증 수단 영수증
21.3.22.월,반응 남기기 방문일 21.3.22.월 2021년 3월 22일 월요일 1번째 방문 인증 수단 영수증
20.10.27.화,너무 맛있어요 육전 좋아요 사장님 너무 미인입니다. 솜씨는 최고 금남시장술집 최고
21.4.28.수,반응 남기기 방문일 21.4.28.수 2021년 4월 28일 수요일 1번째 방문 인증 수단 영수증
20.8.7.금,장마.. 시러 하지만 초가랑이 있어 좋아요 너무 맛있고 즐거운 공간입니다 비오는날 은 초가랑에서 빈대떡 과 막걸리 강추🤣🤣🤣🤣🤣🤣🤣😍😍😍😍😍😍
20.7.24.금,너무 좋아요 비오는날 전이죠 모듬전 강추 연예인 맛집 초가랑 금호역 방문시 강추
20.11.5.목,전과 도토리묵 맛 최고
21.1.12.화,반응 남기기 방문일 21.1.12.화 2021년 1월 12일 화요일 1번째 방문 인증 수단 영수증
