date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
4.29.화,마감되기 직전이었나 늦은 퇴근후 배고파서 먹으려구 첨 들려봤는데 너무 친절하시구 서비스도 주시고 진짜 맛있게 먹었어요 ㅎㅎㅎㅎㅎ 재방문의사 있습니다 많이 파세요!
4.24.목,"퇴근길에 미리 네이버로 시켜서 준비 다 되고 도착했는데, 미리 서비스까지 넣어주셨어요!! 몇개인지 세어보진 않았지만 엄청 많아요ㅎㅎ 맛있게 잘먹었습니다:-) 명란마요랑 청양마요 시켰는데, 매콤한거 좋아해서 그런지 오늘도 청양마요가 원픽이에요😆"
7.2.수,이사온 뒤 맛집 탐방 중인데 매주 한 번 씩은 갈 것 같아요!!! 사장님 너무너무 친절하시구 타코야끼는 문어 씹히는 식감과 반죽이 예술입니다 무조건 생각한 것 보다 많이 시키세요..더 먹게 되요!ㅋㅋㅋ
4.21.월,오늘 처음 방문했는데 갓나온 타코야끼 너무너무 맛있네요!!! 이 동네의 보물이라는 리뷰 찐이었습니다 앞으로 퇴근길마다 들러야 할거 같아요 친절하신 사장님 감사합니다 ^^
3.18.화,"우리 동네 소중한 타코야끼 집,, 명란마요 짱!"
4.8.화,여기서 10번도 넘게 주문해서 먹었어요. 문어도 알차게 들어있고 먹을때마다 맛있습니다. 사장님이 장인 정신으로 구워주세요.
8.27.수,맛있어요^^ 굿 👍
9.26.금,반응 남기기 방문일 9.26.금 2025년 9월 26일 금요일 5번째 방문 인증 수단 결제내역
24.9.10.화,신금호역 바로 앞에 위치해서 방문하기 쉽고요. 네이버 주문으로 미리 하고 시간맞춰서 방문하니까 금방 먹을 수 있었어요. 술안주로 기가막혀요 ㅎㅅㅎ 문어 큼직한거 아낌없이 들어있네요. 곧 생활의달인에 나올법한 타코야끼 찐맛집이에요. 완전 재방문의사 100%입니다
24.9.9.월,"퇴근길에 명랑마요와 와사비맛으로 포장해서 사먹어봤어요 네이버 주문할 수 있어서 기다림 없이 바로 픽업가능해서 넘 편리한데요👍 문어가 큼지막하게 잘라 콕콕 박아서 진짜 맛나고, 와사비의 톡소는 매콤함과 문어조합 최고입니다 명랑마요는 마요소스 가득 뿌려주셔서 세상 행복😍 가쓰오부시까지 아끼지 않고 투하해 주셔서 아주 맛나게 먹었어요  또 들릴께요🤩"
24.10.18.금,진짜진짜 맛있는 타코야끼… 사장님 인심도 후하셔서 속재료도 듬뿍 토핑이랑 소스도 듬뿍이라 진짜 맛있어요!! 바로바로 만들어주셔서 대기시간이 있을수 있으니 미리 포장예약하고 방문하시는걸 추천드립니다!!
1.3.금,맛있게 잘 먹었어요~~~ 속도 알차요~
24.10.26.토,맛도 다양하고 문어가 큼직해서 맛있어요~사장님이 서비스도 주시고 너무 친절하십니다👍
