date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
6.9.월,📍내돈내산📍 성수동 구길에 있는 김밥집입니다. 트리미제와 성수동 성당에서 가까워요. 매운 김밥 먹고 싶을 때 방문하는 곳입니다. 가게 안은 테이블이 많지 읺아요. 점심시간은 좀 대기를 해야하지요. 저는 늘 포장을 합니다. 🔶️매운 진미채 김밥. 김밥 사이즈는 다른 김밥에 비해 작아요. 저는 매운거 잘 먹는데 이 김밥은 진짜 맛있게 매워요. 맵찔이들은 옆에 우유랑 같이 드세요. 🔶️참치김밥. 다 아시는 맛 좋아요.
7.30.수,매운진미채김밥은 정말 많이 매워서 중독성이 있어요. 깔끄마고 좋아요.
8.25.월,김밥 맛있어요. 친절해요
6.8.일,김밥이 맛있어요. 성수동 김밥 맛집.
5.17.토,반응 남기기 방문일 5.17.토 2025년 5월 17일 토요일 2번째 방문 인증 수단 영수증
3.6.목,반응 남기기 방문일 3.6.목 2025년 3월 6일 목요일 1번째 방문 인증 수단 영수증
24.11.17.일,진미계란김밥 맛있는데 엄청 매워요.
24.9.15.일,반응 남기기 방문일 24.9.15.일 2024년 9월 15일 일요일 2번째 방문 인증 수단 결제내역
24.10.18.금,좁아서 그렇지 분식 말고도 한식종류 몇가지 있어요
24.8.25.일,반응 남기기 방문일 24.8.25.일 2024년 8월 25일 일요일 1번째 방문 인증 수단 결제내역
24.5.20.월,오랜만에 방문한 김밥 맛집이네요. 계란김밥 포장해서 서울숲에서 기분내고 왔어요. 칼국수도 함께 했으면 좋았을걸...
24.10.21.월,반응 남기기 방문일 24.10.21.월 2024년 10월 21일 월요일 2번째 방문 인증 수단 영수증
24.7.19.금,반응 남기기 방문일 24.7.19.금 2024년 7월 19일 금요일 1번째 방문 인증 수단 영수증
24.6.25.화,저렴하진 않았지만 가격대비 매우 만족한 맛~!
24.7.14.일,반응 남기기 방문일 24.7.14.일 2024년 7월 14일 일요일 1번째 방문 인증 수단 결제내역
24.4.26.금,반응 남기기 방문일 24.4.26.금 2024년 4월 26일 금요일 1번째 방문 인증 수단 영수증
24.8.9.금,반응 남기기 방문일 24.8.9.금 2024년 8월 9일 금요일 3번째 방문 인증 수단 영수증
24.2.22.목,반응 남기기 방문일 24.2.22.목 2024년 2월 22일 목요일 1번째 방문 인증 수단 영수증
24.7.8.월,반응 남기기 방문일 24.7.8.월 2024년 7월 8일 월요일 2번째 방문 인증 수단 영수증
23.10.20.금,반응 남기기 방문일 23.10.20.금 2023년 10월 20일 금요일 1번째 방문 인증 수단 영수증
23.10.1.일,반응 남기기 방문일 23.10.1.일 2023년 10월 1일 일요일 1번째 방문 인증 수단 영수증
23.7.1.토,항상 편하게 이용하고 있었요
23.6.4.일,반응 남기기 방문일 23.6.4.일 2023년 6월 4일 일요일 1번째 방문 인증 수단 영수증
22.12.3.토,"저는 매운 진미채 김밥 때문에 여기 간답니다. 참치 김밥, 달걀 김밥은 기본 맛이예요. 원래 이곳에 유명한 동네 김밥집이 있었는데 이전하신 후 새로 사장님 오셨어요. 음식 솜씨도 좋네요. 진짜 동네주민 맛집입니다. 공간이 협소해서 테이블이 4개 정도 있어요, 저는 주로 포장을 해요."
23.6.11.일,김밥 맛있어요 매장은 좁지만 포장이 많아요 친절하세요
23.6.10.토,반응 남기기 방문일 23.6.10.토 2023년 6월 10일 토요일 3번째 방문 인증 수단 영수증
22.12.17.토,정말~ 맛있어요. 칼국수는 바지락칼국수이고요 국물이 시원해요.
23.3.27.월,반응 남기기 방문일 23.3.27.월 2023년 3월 27일 월요일 2번째 방문 인증 수단 영수증
23.2.21.화,점심시간에 분비지 않아서 좋습니다
23.2.17.금,한산한곳에 하나있는 김밥집입니다
22.11.23.수,"상호명도 바뀌고 사장님도 바뀌고 ㅠㅠ 오다가다들리기좋은 위치에 있어서 간 김밥집! 손님이 들어와도 시쿤둥!! 주문을 해도 묵묵무답에 시쿤둥!!  손님을 투명인간 취급하는듯한 태도에 당황스러운곳. 김밥 맛은 나쁘진않지만, 아무런 대꾸가 없는곳이라 재방문은 글쎄……."
23.3.25.토,반응 남기기 방문일 23.3.25.토 2023년 3월 25일 토요일 2번째 방문 인증 수단 영수증
