date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
9.26.금,02-498-4362 제육볶음 맛집입니다
24.12.3.화,오랫동안 하고 계신 닭갈비집인데 닭갈비는 한 번도 먹어보질 못했어요~ㅋㅋㅋ 일주일에 서너번은 방문하는 단골 밥집이에요~ 낮엔 백반도 같이 하셔서 거의 매일 들른답니다. 가격대비양도 많고 맛도 좋고 좋아하는 생선찬을 매일 주셔서 더 좋아요. 메뉴도 매일 다르게 준비해 주시고 국이나 찌개도 항상 나와서 따뜻하게 식사 할 수 있어요. 시간상 닭갈비를 못 먹어 보는게 아쉽지만 언제 주말에 가족들이랑 한 번 들러 보려고요. 너무 맛있는 점심을 준비해 주셔서 감사해요~~ 오래오래 해 주시길 바래요~~♡♡♡
2.7.금,반응 남기기 방문일 2.7.금 2025년 2월 7일 금요일 6번째 방문 인증 수단 영수증
24.12.24.화,반응 남기기 방문일 24.12.24.화 2024년 12월 24일 화요일 5번째 방문 인증 수단 영수증
24.12.3.화,반응 남기기 방문일 24.12.3.화 2024년 12월 3일 화요일 4번째 방문 인증 수단 영수증
24.11.22.금,반응 남기기 방문일 24.11.22.금 2024년 11월 22일 금요일 3번째 방문 인증 수단 영수증
24.11.4.월,반응 남기기 방문일 24.11.4.월 2024년 11월 4일 월요일 2번째 방문 인증 수단 영수증
24.10.22.화,반응 남기기 방문일 24.10.22.화 2024년 10월 22일 화요일 1번째 방문 인증 수단 영수증
23.4.26.수,닭갈비 생각나면 여기로 오세요💚
23.4.19.수,춘천 식당 춘천 닭갈비
23.3.30.목,숨은 닭갈비 맛집이에요❤️
23.5.10.수,반응 남기기 방문일 23.5.10.수 2023년 5월 10일 수요일 1번째 방문 인증 수단 영수증
23.3.2.목,닭갈비 맛집! 동네 숨은 맛집 😊
23.4.10.월,반응 남기기 방문일 23.4.10.월 2023년 4월 10일 월요일 4번째 방문 인증 수단 영수증
23.3.24.금,반응 남기기 방문일 23.3.24.금 2023년 3월 24일 금요일 1번째 방문 인증 수단 영수증
23.3.13.월,반응 남기기 방문일 23.3.13.월 2023년 3월 13일 월요일 2번째 방문 인증 수단 영수증
22.11.4.금,백반먹으러 가는 곳~
22.11.21.월,반응 남기기 방문일 22.11.21.월 2022년 11월 21일 월요일 1번째 방문 인증 수단 영수증
22.11.23.수,반응 남기기 방문일 22.11.23.수 2022년 11월 23일 수요일 2번째 방문 인증 수단 영수증
22.12.27.화,반응 남기기 방문일 22.12.27.화 2022년 12월 27일 화요일 1번째 방문 인증 수단 영수증
22.7.21.목,가끔점심 백반 먹으러 오는 곳
22.8.16.화,저렴하게 집밥스타일 먹을 수 있어서 좋아요 :)
22.4.6.수,점심특선으로 6천원 된장찌개 먹고 옴
22.9.20.화,반응 남기기 방문일 22.9.20.화 2022년 9월 20일 화요일 1번째 방문 인증 수단 영수증
22.5.27.금,반응 남기기 방문일 22.5.27.금 2022년 5월 27일 금요일 1번째 방문 인증 수단 영수증
22.7.14.목,반응 남기기 방문일 22.7.14.목 2022년 7월 14일 목요일 1번째 방문 인증 수단 영수증
22.1.13.목,반응 남기기 방문일 22.1.13.목 2022년 1월 13일 목요일 1번째 방문 인증 수단 영수증
22.3.29.화,반응 남기기 방문일 22.3.29.화 2022년 3월 29일 화요일 1번째 방문 인증 수단 영수증
22.1.12.수,반응 남기기 방문일 22.1.12.수 2022년 1월 12일 수요일 2번째 방문 인증 수단 영수증
21.10.4.월,반응 남기기 방문일 21.10.4.월 2021년 10월 4일 월요일 1번째 방문 인증 수단 영수증
21.11.17.수,반응 남기기 방문일 21.11.17.수 2021년 11월 17일 수요일 1번째 방문 인증 수단 영수증
21.9.14.화,반응 남기기 방문일 21.9.14.화 2021년 9월 14일 화요일 1번째 방문 인증 수단 영수증
21.4.26.월,오래된 집인데 친절하고 닭갈비 맛있어요
21.6.4.금,반응 남기기 방문일 21.6.4.금 2021년 6월 4일 금요일 2번째 방문 인증 수단 영수증
21.5.27.목,반응 남기기 방문일 21.5.27.목 2021년 5월 27일 목요일 1번째 방문 인증 수단 영수증
21.3.16.화,반응 남기기 방문일 21.3.16.화 2021년 3월 16일 화요일 1번째 방문 인증 수단 영수증
20.8.19.수,마치 춘천 온듯한 느낌ㅋ퇴근후 조용하게 동료랑 반주하고 들어가기 딱좋습니다!~제일좋은건 맛잇구여!!~ 두번째로좋은건 진로가 머리아플정도로 차가움ㅋㅋ
21.3.25.목,반응 남기기 방문일 21.3.25.목 2021년 3월 25일 목요일 1번째 방문 인증 수단 영수증
20.10.26.월,점심 백반집으로 ㄱㅊ아여~~
20.8.19.수,진짜 맛있어요 ~~~
