date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
10.9.목,"성수동에 있는 핫한 카페 “그린룸”입니다. 젤라또 아이스크림과 커피, 디저트, 저녁에는 술까지 즐길 수 있는 곳이라 더 매력적인 것입니다. 1층엔 보물 아지트같은 느낌의 아이스크림 주문처가 있고, 3층 루프탑에는 너무 예쁜 인테리어의 카페가 있습니다. 개방감도 좋고 초록초록한 분위기도 최고! 저녁에 술 마시기도 너무 힙한 것입니다. 누구랑 와도 추향저격할 카페, 바!! 그린룸입니다.^^"
10.11.토,점심식사후. 성수동 핫한 거리를 거닐다가 우연히 발견한 벽에 구멍이 나있는 그린 룸 이란 글씨를 보고 이상해서리 가까히 가보았다. 큐알코드로 주문하고 작은 구멍으로 받는 그런 시스템~~ㅎ 재미있었다 아이스크림을. 받은후 어디서 먹을까 생각중에 종업원이 건넨 한마디~ 3층에서 드시고 갈수있어요~ 3층으로 올라와본 광경~ 와~우! 뷰 죽인다~ 분위기좋고 시원한 루프탑까지~ 독특한 카페를 원한다면 가볼만한곳이다~~ 날씨가 좋을땐. 남산타워도 보이는곳이다~~
9.23.화,커피가 나오는 구멍이 있다!?  아잌 성수에 또 재밌는데 생겼어요 구멍 앞에 있는 종이에 메뉴 체크해서 종치고 종이랑 카드 집어넣으면 음식이 나와요!! ㅋㅋ  는 루프탑 카페 그린룸에서 운영하는 테이크아웃 공간 그린홀 요기 너무 재밌습니다 옆에 계단 따라 올라가면 밑에서 볼때는 상상도 못했던 근사한 루프탑 카페도 나와요 바로 앞에서 기차지나가는거 볼수도있고 남산타워도 볼수있어요  지금은 그린홀 이용고객도 그린룸 공간 이용할수있는듯한데 가격이 책정이 살짝 다른거보니 차후엔 이용제한이 있을듯?  커피는 진하고 묵직한 다크초콜릿의 씁쓸함 가을에 어울리는 맛이였어요  매장도 근사하고 컨셉도 재밌고 직원분도 친절하셔서 종종 찾을거같습니다
9.30.화,뚝섬역 부근 성수 핫플에 위치한 루프탑 카페로 커피 디저트 맛집이에요 탁 틔여있어 개방감쩔고 테라스 테이블도 많아 저녁 노을지면 노을감상하기 좋겠더라구요 시그니처메뉴인 슈프림라떼 넘나 부드럽고 은은한 시나몬향이 굿! 단체모임하기도 좋아 성수모임할 때 가야겠어요 담엔 마들렌도 먹어보는 걸로
10.17.금,낮에와도 저녁에 와도 좋은 곳! 평일 낮 방문했는데 안쪽 자리도 바깥 자리도 많아서 여유롭게 있을 수 있고 나중에 친구들 여럿이서 저녁에 놀러와서 간단하게 술마시고 이야기하러 또 와야할 것 같은 곳이에요🥺🩵
9.30.화,"친절하고, 커피 맛있고, 매장 예쁘고, 뷰도 좋네요. 근데 3층 올라오는 거 조금 빡셉니다. 애견동반 가능해요. 오프리쉬는 안되지만, 기저귀 채우면 바닥에 내려놓을 수도 있습니다."
8.15.금,"남산타워뷰 & 지하철이 지나가는 뷰가 도심의 매력을 제대로 담은 카페 그린룸.  성수동이지만 조용하고 아늑하면서도 분위기 있는 카페에요! 쫀득한 브라우니&아이스크림에 커피 한 잔, 책 한 권이면 이게 바로 휴가지...❤️"
9.21.일,지하철이 바로 위로 지나가는 루프탑 카페. 이 시즌을 놓치면 안됨. 가을 가을해 1층에는 테이크아웃 할 수 있는 재미있는 GRIN HOLE 이 있다.
10.1.수,분위기 너무 좋아요 3~4분 마다 지하철 다니는것도 테라스 분위기도 감성돋는 밤 😄
6.17.화,"뚝섬역 카페, 뚝섬염 맛집을 찾던 도중 알게된 곳인데요! 카페 분위기도 너무 좋고 무엇보다 사장님께서 친절하게 응대해주셔서 좋았어요! 이색적인 디저트도 많고 커피 맛도 좋네요! 힐링 잘 하고가요😊"
10.4.토,제가 제일 좋아하는 카페입니다.. 추천드려요!
10.15.수,도심속 풍경이 멋있어요 커피도 좋아요😄😄
10.3.금,너무너무 예쁜카페☺️✨ 잘 쉬다 갑니다
9.9.화,탁트인뷰 진짜 미쳤어요 ㅠㅠ 이렇게 뷰좋은 카페는 처음이에여... 다들 가을 날씨좋은데 한번와보세요!!짱이에요!!
7.20.일,우연히 보고 들어왔다가 와우!!! 이런 뷰!! 이런 분위기!!! 이렇게 즐겨도 되나요?? 뷰맛집입니다! 뷰만 멋있나 했더니 커피는 더 개굿~~~ 디저트도 맛있네요!! 와인 종류도 많아 보여서 나중에 와인 마시러 와야겠어용 성수동을 다 내려다볼 수 있어서 술이 술술 들어갈 것 같아요.
9.7.일,9월되고 날씨 선선해져서 오니까 넘 좋아요ㅎㅎㅎ야외카페 최고! 코코넛포그 진짜 맛있어요!
8.31.일,집앞에 이런 느좋 카페가 있다는걸 왜 이제 알았을까요.. 자주방문할게요 인테리어도 멈 예뿌구 친절하십니당 자줄올게요🩷
7.25.금,"들어갈때부터 레드카펫이 깔려있어서 입장부터 기분좋아지는 곳이였어요!! 마치 like 셀럽된기분~~ 뚝섬역이랑 가까워서 접근성도 좋규 바스크치즈케이크가 진짜 살살 녹는 고급스러운 맛이 나서 신기했는데 수제로 만드셨다고 하더라구요!! 저렴이 느낌 X 카페랑 펍 장점 합친 느낌이구 실내가 넓고 루프탑테라스가 있어서 이국적인 느낌이에요!!! 덥지않은 저녁이나 날씨 선선해지면 넘 죠을듯 ,,🩵🩵🫧 다음엔 루프탑에서 노을 질 때 와보고 싶어요!!! 뚝섬역카페로 추천 !!!"
9.15.월,커피도 너무 맛있고 마들렌도 넘 맛있어요🤍
8.17.일,성수동에 생긴 느좋카페에요 🤍 낮에는 카페 밤에는 와인을 즐길 수 있더라구요 종종 갈거 같은 카페에요
10.15.수,분위기도 커피도 너무너무 맛집인 곳이에요...🥺🫶 공간이 탁 트여있고 여유있게 커피 마시기에 너무 좋았어요 다음에 또 오고 싶은 카페입니다 ㅎㅎ
6.15.일,성수카페로 추천드리는 그린룸 테라스카페라 날좋은날에 가기 딱이에요! 디저트종류도 다양하고 커피맛도 좋아서 성수데이트 뚝섬역카페 찾으신다면 팝업 둘러보고 잠깐 들러서 더위 식히고 가시기 딱인 예쁜 카페입니다 ㅎㅎ
