date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.15.월,여름이 가기 전 시원한 팥빙수가 먹고싶어서 방문했습니다!! 수제로 팥을 만드신다고 하시더라구요 확실히 달지않고 맛있었습니당 ㅎㅎㅎ 또 제가 밀크티 쳐돌이인데 밀크티맛이 찐해서 좋았어용💗 자주 방문하겠습니다 사장님 번창하세요 ~! 👍🏻👍🏻
10.2.목,성동구 센트라스 아파트 상가에 있어서 동네 주민들이 많이 오시는 것 같아요 빙수랑 음료가 맛있고 분위기가 좋네요 오늘은 낮에 왔는데 밤에 오면 분위기 더 좋을 것 같아요! ><
8.25.월,"카페 라제스에서 아인슈페너라떼, 팥빙수, 아이스아메리카노 도장깼습니당🥰 아인슈페너라떼는 진한 에스프레소 위에 달콤한 크림이 올라가 부드럽게 마무리되었고, 더운 여름에 딱 어울렸어용. 팥빙수는 곱게 갈린 얼음 위에 팥과 토핑이 듬뿍 올라가 시원하고 달콤한 맛이 조화를 이루었어요🥰. 아이스아메리카노는 깔끔하고 쌉싸름한 맛이 입안을 개운하게 정리해주어 디저트와 잘 어울렸습니다!. 전체적으로 음료와 디저트 모두 만족스러워 다시 방문하고 싶은 카페였어요.🤭"
9.24.수,음료도 너무 맛있고 사장님표 수제 디저트들도 미쳤어요….. 좀 오래 자리에 머물렀는데도 눈치 전혀 안 주시고 따뜻하게 스콘 데워주시고 감사했습니다💕 카페라제스 더 흥해라!!@
10.11.토,매장이 깔끔하고 아늑해서 작업에 집중하기 좋았어요 접근성도 좋아서 앞으로 자주 찾을 것 같아요 😀
10.8.수,팥빙수 맛집이라고 해서 찾아왔는데 크로플도 너무 맛있었어요! 전메뉴 순삭했어요
