date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
24.8.19.월,반응 남기기 방문일 24.8.19.월 2024년 8월 19일 월요일 1번째 방문 인증 수단 영수증
23.9.26.화,돌채라떼 맛있어요 ^^
23.9.11.월,난 매일 아인슈페너만 먹어요.!
23.4.18.화,반응 남기기 방문일 23.4.18.화 2023년 4월 18일 화요일 3번째 방문 인증 수단 영수증
22.11.10.목,특이하게 은행이랑 같이 있는 카페 입니다. 좌석도 널널하고 커피도 가성비 괜찮아요. 지인이랑 조용히 대화하고 커피 마시기 좋네요
22.10.18.화,반응 남기기 방문일 22.10.18.화 2022년 10월 18일 화요일 2번째 방문 인증 수단 영수증
22.9.14.수,반응 남기기 방문일 22.9.14.수 2022년 9월 14일 수요일 1번째 방문 인증 수단 영수증
22.8.30.화,반응 남기기 방문일 22.8.30.화 2022년 8월 30일 화요일 1번째 방문 인증 수단 영수증
22.8.30.화,반응 남기기 방문일 22.8.30.화 2022년 8월 30일 화요일 1번째 방문 인증 수단 영수증
22.5.25.수,반응 남기기 방문일 22.5.25.수 2022년 5월 25일 수요일 1번째 방문 인증 수단 영수증
22.7.26.화,반응 남기기 방문일 22.7.26.화 2022년 7월 26일 화요일 1번째 방문 인증 수단 영수증
22.5.24.화,반응 남기기 방문일 22.5.24.화 2022년 5월 24일 화요일 1번째 방문 인증 수단 영수증
22.2.15.화,반응 남기기 방문일 22.2.15.화 2022년 2월 15일 화요일 1번째 방문 인증 수단 영수증
22.2.15.화,반응 남기기 방문일 22.2.15.화 2022년 2월 15일 화요일 1번째 방문 인증 수단 영수증
22.1.1.토,반응 남기기 방문일 22.1.1.토 2022년 1월 1일 토요일 1번째 방문 인증 수단 영수증
22.2.15.화,반응 남기기 방문일 22.2.15.화 2022년 2월 15일 화요일 1번째 방문 인증 수단 영수증
21.5.14.금,반응 남기기 방문일 21.5.14.금 2021년 5월 14일 금요일 1번째 방문 인증 수단 영수증
