date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
10.19.일,언제나 마쉿는 카페바로✨ 카페에서 먹고 가족들이랑 노나먹을라고 포장했는데 가족들도 넘모 맛있대요! 부지런한 사장님 번창하세여 또갈게용
10.17.금,"나 최설이. 산책 루틴이 바로카페지 엄마는 자기가 날 데려온다 생각하지만, 큰 착각이야. 내가 맨날 엄마를 데리고 와. 내가 저기 앉아서 누구누구 오는지 다 보고 있으니까 구파발 댕댕이들 바로 카페 앞에서 만나자."
10.10.금,첫방문인데 재방문은 안하려구요 다른 리뷰들이 좀 의심됨 친절하다고요…?…카카오맵도 후기미제공ㅎㅎ…. 음료도 밍밍ㅜ 얼음으로만 채워져있어서 양도 적어요 디저트는 괜찮았어요 디저트만 드시길
10.13.월,반응 남기기 방문일 10.13.월 2025년 10월 13일 월요일 3번째 방문 인증 수단 결제내역
9.17.수,미숫가루 라떼 무슨일…? 집에선 이런 맛 안나오던데… 너무맛있어요 원샷😂
