date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
5.13.화,표정을 눌러 반응을 남겨 보세요! 반응 남기기 방문일 5.13.화 2025년 5월 13일 화요일 1번째 방문 인증 수단 영수증
5.2.금,사근스마트헬스케어센터에서 운동지도 하게 되서 계속 지나가는데 종종 들르겠습니다~
5.28.수,반응 남기기 방문일 5.28.수 2025년 5월 28일 수요일 4번째 방문 인증 수단 영수증
1.21.화,잔을 흔들었더니 찌그러진 하트..ㅜㅜ
24.4.5.금,"점심에 아메리카노랑 베이글 샌드위치 먹었어요♥️ 바질페스토가 들어가서 엄청 맛있어요>_<  이쪽에 일이 많아서 지나가다가 자주봤거든요 처음 와봤는데 앞으로 자주올 것 같아요 ! ! 편안한 분위기라 넘 좋아요,,♥️♥️"
24.10.16.수,반응 남기기 방문일 24.10.16.수 2024년 10월 16일 수요일 1번째 방문 인증 수단 영수증
24.4.7.일,아침마다 들르는데 오랜만에 신메뉴나왔어요 ㅎㅎ 크루와상 햄치즈샌드위치 맛있어서 리뷰 남기고 가용 :) 아침에 커피한잔하고 샌드위치까지 조용하고 분위기도 좋고 매번 오지만 역시 근처에 요기만한 곳이 없당 캬캬
24.7.18.목,딸내미가 사무실근처에 왔다길레 간단메뉴준비 크루와상과 무화과크림치즈로 접대 라떼랑 궁합이 좋아요
24.4.24.수,"카페 분위기도 너무 좋고 아기자기한 소품과 달고나, 쿠키, 휘낭시에도 마치 소품같이 이쁘게 생기면서도 먹음직 스러워서 잘 어우러졌어요 거기에 실제로 먹었던 커피에 아이스크림 와플과 샌드위치는 존맛 그자체!!👍 샌드위치에 고정되라고 꽂아놓은 하트까지 넘 깜찍하네요 재방문해서 다른 쿠키들도 먹어보고 싶어요😆"
24.6.17.월,반응 남기기 방문일 24.6.17.월 2024년 6월 17일 월요일 1번째 방문 인증 수단 영수증
24.1.10.수,공부하러 자주 가는 곳입니당 너무 친절하시고 디저트들도 맛있어요! 🫶🏻
23.11.26.일,혼자 조용히 공부하고 싶을때 자주 가는 카페입니당 디저트도 너무 맛있고 친절하세요!!
23.9.20.수,황치즈 쿠키 궁금해서 먹어보았는데 맛있었어요 ♡
23.8.25.금,포장해와서 먹어도 맛있었던 브라운 치즈 크로플 ♡
23.10.18.수,반응 남기기 방문일 23.10.18.수 2023년 10월 18일 수요일 3번째 방문 인증 수단 영수증
23.8.21.월,"포장해왔는데, 진짜 맛있어요 ㅠㅠㅠ! 브라운치즈 낭낭하게 뿌려주심 ㅠ 또 먹어야징"
23.8.9.수,크림라떼 마싯어요 달고나도 굳굳 한동안 달고나 엄청 먹었네요
23.4.14.금,음료랑 쿠키 정말로 맛있어요!! 다른 에이드종류도 맛있다고하니 꼭 드셔보세용
23.8.11.금,반응 남기기 방문일 23.8.11.금 2023년 8월 11일 금요일 2번째 방문 인증 수단 영수증
23.10.17.화,반응 남기기 방문일 23.10.17.화 2023년 10월 17일 화요일 2번째 방문 인증 수단 영수증
23.2.4.토,엄블랑크림라떼 진심 맛있어요👍
23.2.22.수,사근동 커피 맛집이에요~ 오늘은 라떼맛집!
