date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
9.29.월,몸이안좋아서 널부러져있다가 기운좀내서 가까운곳으로 다녀왔는데 커피랑 샌드위치 둘다 넘맛있어서 힐링했어요. 바닐라 라떼 정말 향긋하고 좋았고 샌드위치도 신선하고 속도꽉차서 대만족이었습니다. 맛있었어요! 동네카페 숨은 맛집 발견이네요. 앞으로 종종 테이크아웃하러 들릴것같아요.
24.7.12.금,집 앞 카페에서 샌드위치 팔길래 포장해서 한번 먹어봤는데 맛있어용❤️ 다음에 또 들려서 다른 메뉴도 먹어보고 싶어요 😋
24.2.3.토,샌드위치가 맛있어요 추천해요
24.2.3.토,반응 남기기 방문일 24.2.3.토 2024년 2월 3일 토요일 1번째 방문 인증 수단 영수증
24.2.3.토,반응 남기기 방문일 24.2.3.토 2024년 2월 3일 토요일 1번째 방문 인증 수단 영수증
22.11.18.금,두번째 방문! 오늘은 청귤에이드와 카야토스트를 시켜봤는데 . 청귤에이드 시원하고 달콤한게 너무 좋고 카야토스트 이거 별미네요. 집어 먹다보니 금새 순삭... 사장님 친절하시고 음료 맛있어요. 단골될듯
22.11.29.화,동네에 카야토스트 파는 카페 생겨서 와봤는데 사장님 조용하시고 친절해요.. 토스트는 커피랑 먹기 찰떡 이네요! 번창하세용^^
22.11.26.토,커피향이 좋아서 들어왔는데. . . 커피가 맛있습니다~
22.10.8.토,샌드위치 넘 맛나요! 주차도 편하고 주인언니도 넘 친절하시고 좋아요~ 앞으로도 자주 방문하게 될거 같아요!!^^
22.10.7.금,저번에 먹었는데 맛있어서 포장해서 왔어용~ 치킨 크랜배리 샌드위치가 양도 많고 맛도 좋아요 🥹🥹 최고최고~
22.9.30.금,커피도 맛있는데 샌드위치 재료가 신선 푸짐하고 맛있어요 3사간 무료주차 가능해서 편리해요
22.10.28.금,커피가 정말 맛있어요~~.치킨 크랜배리샌드위치 짱!!맛있어요♡ 치아바타도 맛있어요. ☆^^☆
22.10.8.토,지나가다 우연히 들어왔는데 샌드위치 완전맛집..내용울이 너무 가득해서 샌드위치 반개만 먹어도 배부르네요. 커피도 너무 맛있어요. 최고.. 동네맛집 인증입니다
