date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
24.3.20.수,반응 남기기 방문일 24.3.20.수 2024년 3월 20일 수요일 2번째 방문 인증 수단 영수증
24.2.16.금,반응 남기기 방문일 24.2.16.금 2024년 2월 16일 금요일 7번째 방문 인증 수단 영수증
24.2.2.금,반응 남기기 방문일 24.2.2.금 2024년 2월 2일 금요일 6번째 방문 인증 수단 영수증
24.1.5.금,반응 남기기 방문일 24.1.5.금 2024년 1월 5일 금요일 5번째 방문 인증 수단 영수증
23.12.4.월,반응 남기기 방문일 23.12.4.월 2023년 12월 4일 월요일 4번째 방문 인증 수단 영수증
22.12.28.수,사장님이 정말 친절하십니다!
22.11.11.금,부드러운 향 의 라때
23.2.2.목,반응 남기기 방문일 23.2.2.목 2023년 2월 2일 목요일 3번째 방문 인증 수단 영수증
23.1.25.수,반응 남기기 방문일 23.1.25.수 2023년 1월 25일 수요일 2번째 방문 인증 수단 영수증
23.1.5.목,반응 남기기 방문일 23.1.5.목 2023년 1월 5일 목요일 1번째 방문 인증 수단 영수증
22.10.29.토,반응 남기기 방문일 22.10.29.토 2022년 10월 29일 토요일 1번째 방문 인증 수단 영수증
22.10.1.토,반응 남기기 방문일 22.10.1.토 2022년 10월 1일 토요일 1번째 방문 인증 수단 영수증
22.3.14.월,반응 남기기 방문일 22.3.14.월 2022년 3월 14일 월요일 1번째 방문 인증 수단 영수증
22.4.27.수,반응 남기기 방문일 22.4.27.수 2022년 4월 27일 수요일 2번째 방문 인증 수단 영수증
22.3.25.금,반응 남기기 방문일 22.3.25.금 2022년 3월 25일 금요일 1번째 방문 인증 수단 영수증
22.3.25.금,싸고 음료 맛있어요^^
21.6.19.토,마카롱 달지않고 맛있어요
20.11.6.금,반응 남기기 방문일 20.11.6.금 2020년 11월 6일 금요일 1번째 방문 인증 수단 영수증
20.10.10.토,반응 남기기 방문일 20.10.10.토 2020년 10월 10일 토요일 1번째 방문 인증 수단 영수증
20.3.13.금,생딸기 우유가 달지 않아 좋네요. 바닐라라떼도 넘 부드럽고 나른한 오후 당보충에 제격입니다 ㅎㅎ
20.4.2.목,반응 남기기 방문일 20.4.2.목 2020년 4월 2일 목요일 1번째 방문 인증 수단 영수증
20.6.15.월,반응 남기기 방문일 20.6.15.월 2020년 6월 15일 월요일 1번째 방문 인증 수단 영수증
20.6.15.월,반응 남기기 방문일 20.6.15.월 2020년 6월 15일 월요일 1번째 방문 인증 수단 영수증
