date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
8.21.목,반응 남기기 방문일 8.21.목 2025년 8월 21일 목요일 1번째 방문 인증 수단 결제내역
23.9.12.화,분위기가 너무 좋아요~~~ 커피도 맛있어요!
23.8.24.목,음료가 너무나 맛있었습니다. 장소는 넓지 않지만 지인들과 대화하기엔 충분했고 사장님도 친절하셔서 또 방문할 것 같습니다. 청귤에이드 강추합니다.
24.1.6.토,반응 남기기 방문일 24.1.6.토 2024년 1월 6일 토요일 1번째 방문 인증 수단 영수증
23.3.25.토,반응 남기기 방문일 23.3.25.토 2023년 3월 25일 토요일 1번째 방문 인증 수단 영수증
22.11.7.월,우리동네 맛집 카페일로👍🏻 다 맛있어요~
22.11.9.수,반응 남기기 방문일 22.11.9.수 2022년 11월 9일 수요일 1번째 방문 인증 수단 영수증
22.11.29.화,반응 남기기 방문일 22.11.29.화 2022년 11월 29일 화요일 2번째 방문 인증 수단 영수증
22.8.10.수,반응 남기기 방문일 22.8.10.수 2022년 8월 10일 수요일 1번째 방문 인증 수단 영수증
22.4.9.토,반응 남기기 방문일 22.4.9.토 2022년 4월 9일 토요일 2번째 방문 인증 수단 영수증
22.4.15.금,반응 남기기 방문일 22.4.15.금 2022년 4월 15일 금요일 2번째 방문 인증 수단 영수증
22.3.21.월,반응 남기기 방문일 22.3.21.월 2022년 3월 21일 월요일 1번째 방문 인증 수단 영수증
21.10.5.화,반응 남기기 방문일 21.10.5.화 2021년 10월 5일 화요일 1번째 방문 인증 수단 영수증
21.10.27.수,반응 남기기 방문일 21.10.27.수 2021년 10월 27일 수요일 1번째 방문 인증 수단 영수증
21.6.18.금,반응 남기기 방문일 21.6.18.금 2021년 6월 18일 금요일 1번째 방문 인증 수단 영수증
19.12.6.금,반응 남기기 방문일 19.12.6.금 2019년 12월 6일 금요일 1번째 방문 인증 수단 영수증
