date,content
6.17.화,반응 남기기 방문일 6.17.화 2025년 6월 17일 화요일 11번째 방문 인증 수단 영수증
6.11.수,반응 남기기 방문일 6.11.수 2025년 6월 11일 수요일 10번째 방문 인증 수단 영수증
5.19.월,여기 수박쥬스가 제일 맛있어요
6.10.화,반응 남기기 방문일 6.10.화 2025년 6월 10일 화요일 9번째 방문 인증 수단 영수증
5.29.목,반응 남기기 방문일 5.29.목 2025년 5월 29일 목요일 8번째 방문 인증 수단 영수증
5.26.월,반응 남기기 방문일 5.26.월 2025년 5월 26일 월요일 7번째 방문 인증 수단 영수증
4.21.월,반응 남기기 방문일 4.21.월 2025년 4월 21일 월요일 1번째 방문 인증 수단 영수증
5.23.금,반응 남기기 방문일 5.23.금 2025년 5월 23일 금요일 6번째 방문 인증 수단 영수증
5.22.목,반응 남기기 방문일 5.22.목 2025년 5월 22일 목요일 5번째 방문 인증 수단 영수증
5.21.수,반응 남기기 방문일 5.21.수 2025년 5월 21일 수요일 4번째 방문 인증 수단 영수증
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 2번째 방문 인증 수단 영수증
24.12.24.화,가성비도 있고 친절하고 좋았어요
