date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
8.15.금,집 앞이라 자주가는 카페입니다! 테이크아웃 아메리카노는 할인도 해줘요:)  그리고 에그타르트 맛집입니다.. 가성비도 좋고..!! 나만 알고 싶지만 다들 드셔보세요ㅠㅠ
9.12.금,맛있어요 ㅎㅎ매장도 깔끔합니다
5.15.목,아이돌 출신 매니저님이 계시다 하여 방문♡.♡ 허니브레드 꿀맛도리임. 커피도 맛있고 가격이 저렴해서 좋았어요. 친절하고 화장실 깔끔하고! 단체석도 있어서 종종 올듯합니다~
5.27.화,분위기 무엇!!!! 용답 오후시간 즐기다 갑니다..
9.8.월,아이스 말차 시원하니 맛나요
6.24.화,레몬바닐라스노우 상큼달달 시원해서 맛있네요 양도많아요 ㅎ
3.1.토,처음 방문했는데 커피가 참 맛있네요 :) 버터스카치라떼는 달달하니 마시고 나니 기분이 좋네요! 커피가 넘 맛있어서 1리터 커피 테이크아웃 해서 갑니다~ 사장님도 친절하시고 커피도 맛있네요! 다음에 또 방문할게요 :)
1.31.금,"요새 넘 추운데~ 따뜻한 아메리카노 잘 마셨어요! 🫶🏽 까페 의자도 편하고 분위기도 따뜻해요~! 점심시간에 직장인들이 많은데도 음료가 빨리빨리 나오고, 맛이 좋으니 잠시나마 힐링하고 갑니당! 👌 버터스카치라떼 마시러 또 고고할께요🥳"
5.9.금,단체포장으로 급하게 주문했는데 빨리 주셔서 무사히 회의 끝냈습니다. 커피 맛도 아주 좋아요. 다음에 또 주문할께요😀
1.31.금,❄️눈도 오고 추운날이지만 시원한 아아를 마셔도 실내가 따뜻해서 문제없었어요😊 조명도 아늑하니 좋고 커피맛도 굿굿! 또 방문할게요^^
3.8.토,커피도 맛있고 분위기도 좋습니디
6.22.일,더위 식혀주는 아이스~~~
3.24.월,직장 근처라 자주 이용해요! 커피 맛 너무 좋고 아몬드크림라떼 같은 시그니처 메뉴 있어서 좋아요!! 분위기 아늑하구 넘 좋아요 앞으로도 자주 이용할게요~!!🤗
2.2.일,커피 맛 좋네요. 그리고 너무 친절하십니다. 원두를 신경 많이 쓰시는지 신선하네여.
24.9.16.월,커피를 바로 마셔서 커피사진이 없네요 ㅠㅠ  이렇게 분위기 좋은 카페라니! 흘러나오는 음악도 좋아요 ! 게다가 커피도 진하고 음료도 다양하고 커피와 함께 곁들일 디저트도 맛있고 다양해요! ㅋㅋ 가격도 분위기도 넘 굳굳 근처 지나갈일 있으면 종종 들러야겠어요
2.4.화,음료도 맛있고 케이크도 맛있었어요👍🏻👍🏻
24.12.9.월,"역시 겨울하면 붕어빵!! 🐟🍞 커피랑 같이 먹으니 조합이 굿👍🏻 붕어빵이 속안은 팥이 가득들어있구요, 겉은 과자처럼 엄청 바삭바삭해서 좋아요^^"
3.18.화,반응 남기기 방문일 3.18.화 2025년 3월 18일 화요일 1번째 방문 인증 수단 결제내역
24.12.6.금,아메리카노랑 붕어빵 먹었는데 넘 맛있어요~ 붕어빵에 팥이 듬뿍들어가 있고 바삭촉촉함-👏🏻 추운 겨울 날씨에 찰떡!!
24.11.11.월,항상 커피크림 마시러 가는 곳인데 오늘은 아아 마셨어요~~>_< 오늘이 무슨 날인지도 몰랐는데 사장님이 오눌 빼빼로데이라고 빼빼로 나눠주셔서 감동 ㅠㅠㅠㅠ 안 그래도 요즘 인심 팍팍한데 덕분에 당 충전하고 갑니다~감사합니당~~더 자주 갈게요ㅋㅋ 아 여기 사실 치즈케잌 맛집이에요 치케 좋아해서 진짜 여기저기 많이 먹으러 다니는데 가성비 끝판왕입니다…디저트 더 많이 만들어주세요~~~~~~
2.24.월,반응 남기기 방문일 2.24.월 2025년 2월 24일 월요일 1번째 방문 인증 수단 영수증
24.11.11.월,점심먹고 자주가는 카페입니다! 친절하고 커피도 맛있어서 좋아요 오늘은 생각지도 못 한 빼빼로를...!!! 감동ㅜㅠㅠ 감사합니다^^~ 다음에 또 방문할게요!
24.10.14.월,연휴끝나고 방문했더니 외부가 멋지게 바뀌었네요👍🏻 성수동 핫플같은 느낌이!!! 가끔 자리가 없어 아쉬웠는데..자리도 더 생기고 시원하고~넘 좋아요!!!😀
24.10.14.월,커피가 먹고싶어 방문했어요~ 라떼는 역시 요기지요! 오늘보니 야외테이블도 생겼더라구요~ 딱 제스타일이에요~특히 오렌지색 의자! 오늘은 살짝콩 빗방울이 떨어져서 못 앉았지만 맑은날 야외테이블에 앉아서 커피한잔 해야겠어요~!!
24.8.3.토,답십리 근처 들렀다 시간이 좀 남아서 갔었는데 분위기 너무 좋고 편해서 엉덩이가 안떨어졌어요 ㅋㅋ 아포가토 신메뉴라해서 먹어봤는데 이건 정말 찐이었어요 맛이 너무 고급지고 깊었습니다. 다음엔 디저트도 한번 먹어봐야겠어요!! 근처 갈일 있으면 자주 들를거같습니당 ㅎㅎ
24.11.11.월,라테 찐 맛집.. 자꾸 생각나는 맛이예요 오늘은 빼빼로 데이라 특별히 초코라테 마셨는데 이벤트로 빼빼로를 주셔서 잘 먹었습니다 당보충 제대로 했습니다 👏☺️ 친절한 사장님 번창하시길 바래요 !
