date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
10.16.목,마장역지점께맛있어요. 저만 그런가요? ㅎㅎ 참고로 저는 지방사는데 엄마집 놀러오면 꼭사먹어요.
8.21.목,4500원 퀄리티임에도 정성스럽게 만들어주셔서 너무 당황했어요... 잘 먹었습니당
8.28.목,반응 남기기 방문일 8.28.목 2025년 8월 28일 목요일 2번째 방문 인증 수단 영수증
8.4.월,자주 가는 카페에요
8.3.일,반응 남기기 방문일 8.3.일 2025년 8월 3일 일요일 1번째 방문 인증 수단 영수증
7.18.금,반응 남기기 방문일 7.18.금 2025년 7월 18일 금요일 1번째 방문 인증 수단 영수증
4.8.화,매일 두잔씩 먹는 아메리카노 너무 맛있어요! 사장님도 친절하시고 손님들의 마음을 잘 헤아려주세요 알바분들도 친절하시고 맛있게 커피 만들어주세요^^
3.27.목,친구와 한 잔의 커피
2.16.일,아아가 1800으로 올랐네요. 슬프네용
2.10.월,친구와 함께 커피 한 잔
1.26.일,고소하고 시원한 아아
2.10.월,반응 남기기 방문일 2.10.월 2025년 2월 10일 월요일 2번째 방문 인증 수단 영수증
7.19.토,반응 남기기 방문일 7.19.토 2025년 7월 19일 토요일 3번째 방문 인증 수단 영수증
24.12.2.월,역앞에 컴포즈있어서 좋아요. 커피 맛있어요.
3.10.월,반응 남기기 방문일 3.10.월 2025년 3월 10일 월요일 1번째 방문 인증 수단 영수증
24.10.22.화,상하목장 아이스크림 맛있어요~~~
24.12.28.토,포장해 가기 좋습니다 빨리 만들어 줘서 좋습니다 커피가 맛이 좋습니다
24.8.17.토,동네 커피 맛집 가성비 갑이예요
24.11.16.토,반응 남기기 방문일 24.11.16.토 2024년 11월 16일 토요일 7번째 방문 인증 수단 영수증
24.9.8.일,친절하고 편안하게 즐길 수 있는 커피전문점
24.7.27.토,동네 커피맛집 부담스럽지않은 가격으로 즐길 수 있어요^^
24.8.18.일,반응 남기기 방문일 24.8.18.일 2024년 8월 18일 일요일 40번째 방문 인증 수단 영수증
24.8.19.월,아이가 여기 밀크쉐이크를 가장 좋아해요~
24.8.4.일,제주 선셋 리프레시 예쁘고 맛있어요
24.7.10.수,가성비 좋은 카페 맘 편히 가볍게 들리기 좋아요
24.7.15.월,아이스크림은 여기가 가장 맛있어요~
24.9.4.수,아이랑 자주 갑니다
24.6.29.토,가성비 좋은 동네 커피전문점
24.5.15.수,동네 단골 커피 전문점 저렴한 가격이 포인트
24.6.26.수,친구와 함께 커피타임
24.4.18.목,바리스타로서 컴포즈커피는 가격은 저렴하지만 맛이 좋아 매장 순례를 계속하다보니 매장별로 커피 맛의 차이가 제법 난다는 걸 알게 되었다. 마장중앙점의 커피 맛은 솔직히 평범.....그래도 오늘같이 더운 날은 시원한 딸기라떼가 진리~
24.5.18.토,동네 커피맛집 편하게 들를 수 있어 좋다
24.6.9.일,여기 아이스크림이 최고예요~
24.7.12.금,반응 남기기 방문일 24.7.12.금 2024년 7월 12일 금요일 1번째 방문 인증 수단 영수증
24.5.29.수,레모네이드 탄산이 없음. 2번째 어느정도 시간이 지나면 버려주세요. 나 같이 다시는 안가는 사람 생기지 않게
24.3.23.토,"얼마 전 얘기하다 들은 놀라웠던 점. A는 메가커피랑 컴포즈커피를 가장 많이 방문하는데 컴포즈커피를 더 자주 이용한다는 것이다. 그 이유를 물으니, 메가커피는 아이스 아메리카노가 2천원 (HOT 아메리카노 1,500원에 ICE 변경시 +500원), 컴포즈커피는 아메리카노가 1,500원 (HOT/ICE 동일). -500원 차이가 나서 맛도 비슷하니 컴포즈를 간다는 것..! 저가커피 가격대는 2천원 내외이고 맛이 다 비슷해서 가는 동선에 있는 점포 중 그날 땡기는 브랜드로 구매 결정을 했는데(브랜드 이미지의 영역) 한국인 커피 디폴트 메뉴인 아아 가격이 500원이나 차이 나는지 그날에서야 인지했다. 그리고 아아의 가격 책정방식이 다 달라서 새로웠음"
24.6.25.화,좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요
24.8.15.목,반응 남기기 방문일 24.8.15.목 2024년 8월 15일 목요일 1번째 방문 인증 수단 영수증
24.10.1.화,반응 남기기 방문일 24.10.1.화 2024년 10월 1일 화요일 1번째 방문 인증 수단 결제내역
24.9.6.금,반응 남기기 방문일 24.9.6.금 2024년 9월 6일 금요일 9번째 방문 인증 수단 영수증
24.7.6.토,반응 남기기 방문일 24.7.6.토 2024년 7월 6일 토요일 37번째 방문 인증 수단 영수증
24.6.20.목,좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요 좋아하더라구요
24.6.6.목,반응 남기기 방문일 24.6.6.목 2024년 6월 6일 목요일 34번째 방문 인증 수단 영수증
24.8.19.월,반응 남기기 방문일 24.8.19.월 2024년 8월 19일 월요일 1번째 방문 인증 수단 영수증
24.4.7.일,양도 많고 가격도 저렴해서 좋아용!!☺️👍
