date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
9.6.토,메가보다 덜 쓴 아메리카노. 여름날의 오아시스.
6.29.일,컴포즈 좋아요 가격도 맛도.. com포즈로 come
8.4.월,반응 남기기 방문일 8.4.월 2025년 8월 4일 월요일 10번째 방문 인증 수단 영수증
7.20.일,좋아요!!! 더위에 최고입니다
7.14.월,반응 남기기 방문일 7.14.월 2025년 7월 14일 월요일 2번째 방문 인증 수단 영수증
4.25.금,기대했던 아인슈페너 라떼. 내 입엔 돌체라떼 승
5.5.월,늘 친절!! 맛나용
10.19.일,반응 남기기 방문일 10.19.일 2025년 10월 19일 일요일 1번째 방문 인증 수단 영수증
5.29.목,반응 남기기 방문일 5.29.목 2025년 5월 29일 목요일 6번째 방문 인증 수단 영수증
7.20.일,반응 남기기 방문일 7.20.일 2025년 7월 20일 일요일 1번째 방문 인증 수단 영수증
4.10.목,반응 남기기 방문일 4.10.목 2025년 4월 10일 목요일 4번째 방문 인증 수단 영수증
9.13.토,반응 남기기 방문일 9.13.토 2025년 9월 13일 토요일 12번째 방문 인증 수단 영수증
5.23.금,반응 남기기 방문일 5.23.금 2025년 5월 23일 금요일 9번째 방문 인증 수단 영수증
3.9.일,친절하고 커피맛도 괜찮아요.
2.25.화,반응 남기기 방문일 2.25.화 2025년 2월 25일 화요일 8번째 방문 인증 수단 영수증
7.26.토,반응 남기기 방문일 7.26.토 2025년 7월 26일 토요일 11번째 방문 인증 수단 영수증
3.30.일,반응 남기기 방문일 3.30.일 2025년 3월 30일 일요일 1번째 방문 인증 수단 영수증
8.3.일,반응 남기기 방문일 8.3.일 2025년 8월 3일 일요일 4번째 방문 인증 수단 영수증
7.24.목,반응 남기기 방문일 7.24.목 2025년 7월 24일 목요일 3번째 방문 인증 수단 영수증
8.19.화,반응 남기기 방문일 8.19.화 2025년 8월 19일 화요일 2번째 방문 인증 수단 결제내역
24.12.9.월,알바분인지 늘 인상쓰고 있어서 맘이 불편한데 손맛이 있는지 다른 지점보다 맛있음;;; 키오스크를 이용해야할듯
24.12.21.토,반응 남기기 방문일 24.12.21.토 2024년 12월 21일 토요일 7번째 방문 인증 수단 영수증
10.19.일,반응 남기기 방문일 10.19.일 2025년 10월 19일 일요일 1번째 방문 인증 수단 영수증
5.18.일,반응 남기기 방문일 5.18.일 2025년 5월 18일 일요일 10번째 방문 인증 수단 영수증
4.20.일,반응 남기기 방문일 4.20.일 2025년 4월 20일 일요일 9번째 방문 인증 수단 영수증
24.10.24.목,무난하게 먹기좋은 커피
4.24.목,반응 남기기 방문일 4.24.목 2025년 4월 24일 목요일 2번째 방문 인증 수단 결제내역
1.4.토,반응 남기기 방문일 1.4.토 2025년 1월 4일 토요일 1번째 방문 인증 수단 영수증
24.9.29.일,가성비 좋아서 자주 이용해요☺️
24.11.23.토,반응 남기기 방문일 24.11.23.토 2024년 11월 23일 토요일 1번째 방문 인증 수단 영수증
24.11.6.수,반응 남기기 방문일 24.11.6.수 2024년 11월 6일 수요일 3번째 방문 인증 수단 영수증
2.13.목,반응 남기기 방문일 2.13.목 2025년 2월 13일 목요일 12번째 방문 인증 수단 영수증
24.8.17.토,더운 여름에 너무 시원하게 잘 먹었어요
24.7.13.토,간만에 들른 컴포즈 행당무악점 수박주스 메뉴가 있길래 한번 먹어봤어요. 태국에서 먹던 땡모반 생각이 드네요^^ 맛있고 시원하게 잘 먹었습니다. 담에 또..
24.7.9.화,단체 주문은 컴포즈 😉
4.3.목,반응 남기기 방문일 4.3.목 2025년 4월 3일 목요일 1번째 방문 인증 수단 영수증
1.3.금,반응 남기기 방문일 1.3.금 2025년 1월 3일 금요일 4번째 방문 인증 수단 영수증
24.8.16.금,즐거운 만남을 가졌습니다
24.12.17.화,반응 남기기 방문일 24.12.17.화 2024년 12월 17일 화요일 3번째 방문 인증 수단 영수증
24.7.8.월,반응 남기기 방문일 24.7.8.월 2024년 7월 8일 월요일 1번째 방문 인증 수단 영수증
24.10.5.토,반응 남기기 방문일 24.10.5.토 2024년 10월 5일 토요일 3번째 방문 인증 수단 영수증
24.9.19.목,반응 남기기 방문일 24.9.19.목 2024년 9월 19일 목요일 1번째 방문 인증 수단 영수증
24.12.2.월,반응 남기기 방문일 24.12.2.월 2024년 12월 2일 월요일 2번째 방문 인증 수단 영수증
24.9.7.토,반응 남기기 방문일 24.9.7.토 2024년 9월 7일 토요일 1번째 방문 인증 수단 영수증
24.11.28.목,반응 남기기 방문일 24.11.28.목 2024년 11월 28일 목요일 1번째 방문 인증 수단 영수증
24.8.15.목,빨리 제조되었다 좋아요
24.11.3.일,반응 남기기 방문일 24.11.3.일 2024년 11월 3일 일요일 8번째 방문 인증 수단 영수증
24.11.15.금,반응 남기기 방문일 24.11.15.금 2024년 11월 15일 금요일 1번째 방문 인증 수단 결제내역
24.8.6.화,반응 남기기 방문일 24.8.6.화 2024년 8월 6일 화요일 2번째 방문 인증 수단 영수증
24.8.28.수,반응 남기기 방문일 24.8.28.수 2024년 8월 28일 수요일 1번째 방문 인증 수단 영수증
24.8.11.일,반응 남기기 방문일 24.8.11.일 2024년 8월 11일 일요일 2번째 방문 인증 수단 영수증
24.7.14.일,반응 남기기 방문일 24.7.14.일 2024년 7월 14일 일요일 4번째 방문 인증 수단 영수증
