date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.7.일,"2호선을 이용할 때면 상왕십리역에서 내려 버스를 타곤 하는데, 그럴 때마다 눈에 쏘-옥 들어왔던 매장입니다-🍰  때마침 집에 가는 길에 여자친구가 달다구리 케이크를 먹고 싶다 해서 오예! 하고 방문했네용ㅎㅎ 아직 맛은 보지 않았으나 후기들만 봐도 평이 정말 좋아 벌써 만족스럽네요 크크- 맛있으면 자주 방문할게요 사장님 :)"
8.6.수,친구 추천으로 갔는데 대만족이예요 가족생일파티가 있어서 미리 예약하고 픽업했어요 배불리 먹고 케이크를 먹었음에도 한조각도 남기지 않고 다 먹은적은 첨이네요ㅎㅎ 모두 맛있다고 해주니 기분이 좋았어요💚 다음에 또 주문 할게요 감사합니다:-)
9.25.목,레터링케이크 너무 예쁘고 가성비도 좋아요! 초 종류도 다양하고 케이크도 맛있어서 생일자 친구가 정말 좋아했어요😊
10.13.월,친구가 선물해줘서 먹어봤는데 너무 맛있어서 또사러왔어요! 과일 넘 신선하고맛잇어요
8.30.토,"아이 생일케이크를 주문했어요. 체인점 케이크를 해주면 좋아하기는하는데, 우리가족의 특별한 날 이라는 느낌은 덜한것 같아요. 일년동안 제일 좋았던 순간을 케이크로 만들었는데, 기억에 오래 남을 것같아요. 그리구 보통 주문케이크는 눈으로만 먹는데, 여기는 입도 즐겁네요~^^ 특별한 날을 더욱 특별하게 만들어줘서 감사합니다~^^"
9.19.금,너무 예쁘고 마음에 들어요! 디자인도 예쁘고 가격도 괜찮아서 자주 예약해서 오는 집이에요:)
