date,content
"""종류가 다양해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""품질이 좋아요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""매장이 넓어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""신상품이 많아요""",이 키워드를 선택한 인원
"""아기자기해요""",이 키워드를 선택한 인원
10.9.목,반응 남기기 방문일 10.9.목 2025년 10월 9일 목요일 32번째 방문 인증 수단 영수증
8.24.일,반응 남기기 방문일 8.24.일 2025년 8월 24일 일요일 31번째 방문 인증 수단 영수증
8.15.금,급할 때 편리하네요
7.28.월,요맘대 종류가 많아서 좋아요
6.27.금,반응 남기기 방문일 6.27.금 2025년 6월 27일 금요일 30번째 방문 인증 수단 영수증
6.14.토,아이스크림 할인점. 종류는 다양. 가격은 편의점대비 저렴. 가끔 이용.
6.4.수,아이스크림 종류 다양함.
5.31.토,집주변 제일 다양한 아이스크림 할인점
5.16.금,종류다양. 편의점 비해 가격 저렴.
5.10.토,아이스크림 종류가 다양한곳. 가성비는 솔직히 모르겠음. 편의점에 비하면 종류많고 가격은 그낭저냥
5.8.목,다양하다. 뜨문뜨문 손님들도 많네. 가격은 다른곳과 비슷.
4.1.화,반응 남기기 방문일 4.1.화 2025년 4월 1일 화요일 29번째 방문 인증 수단 영수증
3.9.일,반응 남기기 방문일 3.9.일 2025년 3월 9일 일요일 10번째 방문 인증 수단 영수증
3.2.일,반응 남기기 방문일 3.2.일 2025년 3월 2일 일요일 3번째 방문 인증 수단 영수증
2.27.목,반응 남기기 방문일 2.27.목 2025년 2월 27일 목요일 1번째 방문 인증 수단 영수증
2.18.화,검정봉투 100원은 비싼듯요...
24.12.30.월,반응 남기기 방문일 24.12.30.월 2024년 12월 30일 월요일 1번째 방문 인증 수단 영수증
