date,content
21.5.5.수,고기의 질도 정말좋아요. 사장님들도 엄청 친절하세요.
20.6.12.금,반응 남기기 방문일 20.6.12.금 2020년 6월 12일 금요일 1번째 방문 인증 수단 영수증
22.12.9.금,반응 남기기 방문일 22.12.9.금 2022년 12월 9일 금요일 1번째 방문 인증 수단 결제내역
22.5.30.월,반응 남기기 방문일 22.5.30.월 2022년 5월 30일 월요일 3번째 방문 인증 수단 영수증
22.3.8.화,반응 남기기 방문일 22.3.8.화 2022년 3월 8일 화요일 1번째 방문 인증 수단 영수증
22.3.5.토,반응 남기기 방문일 22.3.5.토 2022년 3월 5일 토요일 2번째 방문 인증 수단 영수증
21.8.28.토,반응 남기기 방문일 21.8.28.토 2021년 8월 28일 토요일 1번째 방문 인증 수단 영수증
21.4.14.수,반응 남기기 방문일 21.4.14.수 2021년 4월 14일 수요일 1번째 방문 인증 수단 영수증
20.7.24.금,반응 남기기 방문일 20.7.24.금 2020년 7월 24일 금요일 1번째 방문 인증 수단 영수증
20.3.23.월,반응 남기기 방문일 20.3.23.월 2020년 3월 23일 월요일 1번째 방문 인증 수단 영수증
20.3.23.월,반응 남기기 방문일 20.3.23.월 2020년 3월 23일 월요일 1번째 방문 인증 수단 영수증
