date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
7.24.목,너무.. 너무 맛있어요 특히 에그스콘♥... 말랑한 필링이랑 바삭한 결>_<.. 주마다 코지퍼치에서 구움과자 한 조각씩은 꼭 사게 됩니다..
6.19.목,"지난 번에 맛보고 너무 맛있어서 재방문 했습니다!! 😍 여전히 정말 정말 정말 맛있고, 사장님도 친절하세요!!! 동네면 매일 가고 싶은데 너무 아쉽습니다. 인근 주민 분들이 너무 부러워요. 🥹 그래도 역이랑 제법 가까워서 근처 가면 또 방문할겁니다! 친구들한테도 선물했는데 다들 맛있다고 나중에 방문해본다고 지도에 다 저장하더라구여! 조만간 또 방문하겠슴다! 👍🏻👍🏻👍🏻"
