date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
24.4.26.금,"포장하고 30분정도 지나서 열었는데도 하나도 안녹아서 좋았어요!! 양도 엄청 많고, 안에 초코얼음? 갈아져있는거라 더 달고 맛있는것 같아요 !!"
24.2.25.일,딸기 듬뿍 생딸기우유빙수 최곱니다. 강추! 눈꽃빙수라 부드럽고 생과일 재료도 아낌없이 넣어주셔서 맛있게 잘 먹었습니당 :)
24.3.4.월,날씨가 더워져서 시원한 디저트 찾다 인생 빙수집 찾았습니다. 양도 많고 재료가 많아서 좋았어요  서비스로 주신 시리얼도 잘 넣어 먹었습니다!!  자주 이용할께요
24.2.2.금,여자친구랑 고기먹고 시원한거 먹고싶어서 집 가기전에 빙수 포장하러 방문했습니다. 느글느글 한거 확실히 잡아줘요. 맛있게 잘먹었습니다.
24.1.14.일,빙수 맛있어요! 항상 포장해가는데 바로 나오고 좋습니다~
24.2.12.월,양도 많고 맛있어요! 설빙보다 나은 듯~
23.12.25.월,양도 많고 맛있어요! 포장이용했는데 빠르고 서비스도 감사합니다!
24.2.4.일,에라모르겠다 빙수 5개 시켜서 20명이서 먹었었어요!! 양도 푸짐하고 시리얼이랑 연유 주셔서 맛있게 먹었습니다❤️❤️
24.1.14.일,식욕이 사진을 이겼네요. 너무 맛있어서 먹다 생각나서 사진 찍었어요ㅋㅋ 또 갈게요
23.12.5.화,포장하기 좋고 너무 맛있네요!! 추천
