date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
9.24.수,아메리카노랑 크룽지 먹었는데 맛있었어요!!! 디저트는 못찍고 야옹이한테 정신팔려서 야옹이만 찍고 왔어요 ㅠㅠ 야옹이 원래 사람 무서워하는데 아주 잠깐 자기 만지는거 허락해줬어요!!사장님 친절하시구 완전 청결!! (돌돌이 가지고 계속 청소하심ㅋㅎㅋ) 다음에 크로플 꼭 먹으러 갈게요!! 오늘은 배불러서 못먹었어요 ㅠㅠ아쉽!! 아메리카노 크룽지 짱-!!:)🙌
3.23.일,지나가다 들렸는데 가성비 괜찮아요 매장 작지만 깔끔하고 구경하는 재미가 있어요
