date,content
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
1.13.월,여자분들은 일일 바이인 무료입니다. 매일 1회 입장 무료네요. 그리고 생맥주 음료 라면 무료인게 진짜 대박이네요.
24.8.26.월,상왕십리쪽에 있는데 역에서도 가깝고 직원분 친절하시고 담배냄새 안나고 이벤트 좋고 3프리 치기 딱이네요 추천합니다
24.8.27.화,매장 깔끔하고 사장님이 친절하세요! 무료토너먼트도 하고 빙고이벤트도 있어서 좋습니다 재밌게 놀다가요~
24.8.26.월,"**홀덤펍에서의 하루: 포카와 술이 만드는 특별한 시간**  얼마 전에 친구들과 함께 포카펍에 다녀왔어요. 평소에 포카 게임을 좋아하는데, 여기는 그야말로 천국이더라고요. 입구에 들어서자마자 느껴지는 활기찬 분위기, 사람들의 웃음소리, 그리고 어딘가에서 흘러나오는 좋은 음악까지! 여기가 바로 '놀러 왔다'는 기분이 드는 곳이었어요.  처음 도착해서 자리에 앉았을 때, 여자분이 맥주와 하이볼을 그냥 가져다주는 거예요! ""어? 이거 무료예요?"" 하고 물었더니 맞다고 해서 완전 깜짝 놀랐어요. 이게 포카펍의 매력 중 하나라더군요. 시원한 맥주 한 잔 들고 친구들과 가볍게 시작해봤어요.  그리고 하이라이트는 매일 저녁 7시에 열리는 무료 토너먼트 게임! 이게 생각보다 진짜 재미있었어요."
24.8.28.수,"포카를 잘 모르는 친구도 함께 갔는데, 여기 직원들이 친절하게 룰을 설명해줘서 금방 따라올 수 있었어요. 텍사스 홀덤이 생각보다 간단하면서도 깊이 있는 게임이라 그런지, 초보자도 쉽게 빠져들더라고요. 어느새 우리 모두 게임에 푹 빠져서 시간 가는 줄도 몰랐어요.  그리고 진짜 놀라웠던 건, 여기서 만난 사람들! 다들 한두 잔씩 마시면서 즐겁게 게임을 즐기고, 서로 응원해주고, 심지어 초면인 사람들과도 금방 친해질 수 있었어요. 아마도 술과 포카라는 공통점 덕분이겠죠? 게임에서 이기든 지든 다 같이 웃고 떠드는 그 분위기가 정말 좋았어요.  그날 밤, 마지막 카드가 깔리고, 승자가 결정되는 순간의 짜릿함은 정말 잊을 수 없을 것 같아요."
24.9.18.수,하이볼 맛집❤️ 직원분들이 너무 좋고 친절하고 매장분위기 좋아용👍
24.10.4.금,반응 남기기 방문일 24.10.4.금 2024년 10월 4일 금요일 1번째 방문 인증 수단 영수증
24.9.18.수,처음 와봤는데 아주 재밌습니다. 또 올게요
24.9.18.수,사장님이 너무 친절하세요🫶 하이볼 맛집🙌🙌
24.8.27.화,"역에서 가깝고 매장이 깔끔해요 그리고 무료토너,빙고 등 이벤트가 다양해서 좋았어요~ 다음에 또 방문하겠습니다"
24.8.28.수,반응 남기기 방문일 24.8.28.수 2024년 8월 28일 수요일 1번째 방문 인증 수단 영수증
