date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
8.26.화,"👾 한줄평: [ 맛있고 가성비까지 챙긴 아주 드문 성수 맛집!!! 달려가자!!!!]  📍평일 1시 방문 기준, 이미 웨이팅이 있었음. 직장인분들이 많이 찾는 맛집으로 적어도 12시 30분에 오는 걸 추천!  📍메뉴가격이 매우 합리적, 오픈 주방에 멕시코 음식인데도 담백한 게 느껴질 정도로 맛좋게 조리하시는 편! → 속세의 멕시코 맛을 기대한다면 다소 아쉬울 수도 있음! 저한테는 잘맞아서 연달아 주2회 친구커플과 방문함!!  📍추천메뉴: 치미창가, 타코볼부리또  📍고수를 전부 추가할지 말지 선택할 수 있어서 너무 좋았고, 따로 빼서 달라는 요청도 사장님께서 흔쾌히 받아주심  📍성수역 4번 출구 인근 메인거리에서 가장 맛있고 합리적인 가격의 밥집이라고 생각함"
9.18.목,멕시칸푸드 좋아하는데 이곳이 딱 제취향입니다
