date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.20.토,스키야끼 사시미 2인세트 먹었어용 둘이먹기 양도 좋고 맛있게 잘먹었습니당🫶
7.10.목,샤브샤브사시미세트에 유즈하이볼 너무 맛있잖아요~~ 돼지고기인데도 잡내없이 국물 넘깔끔합니다 또먹고싶네요♡
5.28.수,진짜 자주오는 맛집인데 올때마다 너무 행복해요 맛있어서 ..... 메뉴 하나하나 다 맛있고 사장님 정성이 느껴져요 친절하시구 항상 올때마다 잘 챙겨주셔서 감사해요 ❤️
6.2.월,고즈넉한 가게 분위기에 압도 당하면서 시작. 일본의 한 동네에 있을 것 같은 이자까야 느낌. 음식과 분위기에 한껏 취해 하루의 끝을 행복하게 마무리 할 수 있어서 감사했습니다. 음식들은 하나 하나 맛을 겨뤄도 우열을 가리기 힘들 정도로 훌륭하고 완벽합니다. 힘든 하루 끝에 맛난 음식과 술로 마무리하고 싶으시다면 타쿠로 오시는 것을 추천드립니다.
