date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
8.16.토,소월아트홀 뮤지컬보고 가족 외식 방문했는데 아주 만족해요. 특수부위 모둠 맛있고 가격도 싸요. 서비스 순두부찌개와 막국수도 아주 맛있었어요. 사장님이 친절하십니다. 또올게요.
24.12.8.일,와우. 고기 좋아요 👍 #탐라제주도도야지 #순두부찌게 ㅎㅎ 짱맛남 두루두루 정갈하게 맛남
24.12.24.화,반응 남기기 방문일 24.12.24.화 2024년 12월 24일 화요일 2번째 방문 인증 수단 영수증
24.1.27.토,가족들과 주말외식 겸 먹고왔어요!! 코로나 전까지 자주 먹으러왔던 곳이었는데 정말 오랜만에 이 맛이 그리워서 오랜만에 왔는데 맛은 여전히 그대로... 정말 너무너무 맛있었습니다ㅠㅠ 모듬세트는 시중에서 먹기 힘든 부위를 다양하게 먹을 수 있어서 너무 추천드리고 고기 육질이 단단하고 쫄깃해서 정말 최고의 돼지고기 맛집이 아닐까싶어요ㅠ 반찬들도 다 취향저격이라서 몇 번을 리필요청을 드렸는지 모르겠는데 사장님이 맘껏 주셔서 넘 감사했어요ㅠㅠ❤️ 가족들과 외식하기도 좋고 친구랑 먹으러오기도 좋고 단체회식하기에도 좋은 공간이예요! 사장님 분들도 정말 친절하셔서 식사 내내 행복했습니다!❤️❤️ 조만간 또 방문할게요!
24.12.5.목,반응 남기기 방문일 24.12.5.목 2024년 12월 5일 목요일 1번째 방문 인증 수단 영수증
24.9.29.일,반응 남기기 방문일 24.9.29.일 2024년 9월 29일 일요일 1번째 방문 인증 수단 영수증
24.3.25.월,반응 남기기 방문일 24.3.25.월 2024년 3월 25일 월요일 5번째 방문 인증 수단 영수증
24.3.20.수,반응 남기기 방문일 24.3.20.수 2024년 3월 20일 수요일 4번째 방문 인증 수단 영수증
23.11.15.수,뒷고기 맛집이고 사장님 친절하시고 좋네요
23.8.31.목,반응 남기기 방문일 23.8.31.목 2023년 8월 31일 목요일 3번째 방문 인증 수단 영수증
23.8.8.화,완전 고기가 육즙 짱 무조건 모듬으로
22.11.2.수,꼬들꼬들한 식감의 고기에 고기시키면 주시는 기본 순두부찌개도 너무 맛있어요.. 파김치가 진짜 너어어무 맛있어요 ㅠㅠ
22.12.12.월,증말 우리동네 최고맛집 파김치 최고!
23.4.5.수,반응 남기기 방문일 23.4.5.수 2023년 4월 5일 수요일 1번째 방문 인증 수단 영수증
23.5.2.화,반응 남기기 방문일 23.5.2.화 2023년 5월 2일 화요일 1번째 방문 인증 수단 영수증
23.4.27.목,반응 남기기 방문일 23.4.27.목 2023년 4월 27일 목요일 1번째 방문 인증 수단 영수증
22.11.5.토,최악식당.. 밥이 없어서 저희더러 편의점에서 햇반을 알아서 사오라고 하시더라구요. 중간에 서비스 찌개도 데워달라는 요청에 “한세트씩 나와서요” 이러시는데 무슨 뜻인지 모르겠어요. 어이가 없어서 식사 중간에 나왔습니다.
22.11.2.수,매장넓고 노부부가 주인인데 친절하고 음식도 맛있어요. 순두부가 맛나요
23.1.14.토,반응 남기기 방문일 23.1.14.토 2023년 1월 14일 토요일 1번째 방문 인증 수단 영수증
22.9.7.수,반응 남기기 1 명 방문일 22.9.7.수 2022년 9월 7일 수요일 1번째 방문 인증 수단 영수증
22.10.11.화,반응 남기기 방문일 22.10.11.화 2022년 10월 11일 화요일 1번째 방문 인증 수단 영수증
22.8.2.화,반응 남기기 방문일 22.8.2.화 2022년 8월 2일 화요일 1번째 방문 인증 수단 영수증
22.11.5.토,반응 남기기 방문일 22.11.5.토 2022년 11월 5일 토요일 1번째 방문 인증 수단 영수증
22.8.9.화,반응 남기기 방문일 22.8.9.화 2022년 8월 9일 화요일 1번째 방문 인증 수단 영수증
22.3.26.토,맛있게 잘 먹었어용 ㅎㅎ
22.1.21.금,"뒷고기 맛있어요! 근데 야외에서 먹는건 아닌 것 같아요,,,"
22.3.26.토,반응 남기기 방문일 22.3.26.토 2022년 3월 26일 토요일 1번째 방문 인증 수단 영수증
21.10.13.수,친절하신 사장님 덕분에 막있게 먹었어요~
21.12.17.금,반응 남기기 1 명 방문일 21.12.17.금 2021년 12월 17일 금요일 1번째 방문 인증 수단 영수증
21.9.5.일,기억 안 낭
21.6.15.화,반응 남기기 방문일 21.6.15.화 2021년 6월 15일 화요일 1번째 방문 인증 수단 영수증
21.6.18.금,반응 남기기 방문일 21.6.18.금 2021년 6월 18일 금요일 1번째 방문 인증 수단 영수증
21.5.25.화,반응 남기기 방문일 21.5.25.화 2021년 5월 25일 화요일 3번째 방문 인증 수단 영수증
21.5.4.화,반응 남기기 방문일 21.5.4.화 2021년 5월 4일 화요일 2번째 방문 인증 수단 영수증
21.4.27.화,반응 남기기 방문일 21.4.27.화 2021년 4월 27일 화요일 1번째 방문 인증 수단 영수증
21.4.20.화,반응 남기기 방문일 21.4.20.화 2021년 4월 20일 화요일 1번째 방문 인증 수단 영수증
21.3.25.목,반응 남기기 방문일 21.3.25.목 2021년 3월 25일 목요일 1번째 방문 인증 수단 영수증
20.11.18.수,고기도맛있고 천막 분위기도 좋고 화장실도 깨끗하고 최근알게된 집인데 자주갑니다
20.12.2.수,반응 남기기 방문일 20.12.2.수 2020년 12월 2일 수요일 1번째 방문 인증 수단 영수증
21.5.11.화,반응 남기기 방문일 21.5.11.화 2021년 5월 11일 화요일 1번째 방문 인증 수단 영수증
20.11.3.화,반응 남기기 방문일 20.11.3.화 2020년 11월 3일 화요일 2번째 방문 인증 수단 영수증
20.10.28.수,도야지 맛!! 제대로
20.11.20.금,반응 남기기 방문일 20.11.20.금 2020년 11월 20일 금요일 4번째 방문 인증 수단 영수증
20.11.3.화,반응 남기기 방문일 20.11.3.화 2020년 11월 3일 화요일 3번째 방문 인증 수단 영수증
20.7.17.금,반응 남기기 방문일 20.7.17.금 2020년 7월 17일 금요일 1번째 방문 인증 수단 영수증
20.4.30.목,맛있고 친절해요 재방문의사 큽니다
20.6.27.토,반응 남기기 방문일 20.6.27.토 2020년 6월 27일 토요일 2번째 방문 인증 수단 영수증
20.2.24.월,가격대비 반찬도 푸짐하고 너무 좋내요^^
20.3.2.월,반찬이 푸짐해서 조아요
20.3.19.목,반응 남기기 방문일 20.3.19.목 2020년 3월 19일 목요일 3번째 방문 인증 수단 영수증
20.4.14.화,반응 남기기 방문일 20.4.14.화 2020년 4월 14일 화요일 1번째 방문 인증 수단 영수증
20.3.2.월,반응 남기기 방문일 20.3.2.월 2020년 3월 2일 월요일 2번째 방문 인증 수단 영수증
20.2.24.월,반응 남기기 방문일 20.2.24.월 2020년 2월 24일 월요일 1번째 방문 인증 수단 영수증
20.4.14.화,반응 남기기 방문일 20.4.14.화 2020년 4월 14일 화요일 1번째 방문 인증 수단 영수증
19.4.20.토,고기가 참 맛있는 곳
19.4.6.토,점심 먹기 좋아요!
