date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
3.11.화,성수동에서 가성비 좋은 중국집입니다👍 양도 푸짐하고 맛있어요~ 사장님께서 안에 화분들 키우시는데 아늑한 느낌도 들고 좋네요 :) 짬뽕 국물 좀 달라고 말씀드렸더니 해물 한가득 넣어서 주시네요..🫶
2.13.목,서방이 조아하는 순대국과 내가 조아하는 탕슉을 같이 먹을 수 있는곳ㅎㅎ 탕슉 찍먹으로 요청드렸는데 소스를 대접에 어마하게 주심ㅋㅋㅋ 고기도 부드럽고 소스에 야채 듬뿍해서 맛나게 촵촵😍 요리류 제외하면 가격이 엄청 저렴 가성비 구뜨구뜨👍👍👍 노포스멜 물씬 풍기는곳
1.30.목,중식과 순댓국을 같이 하는 유니크한 식당이 있다길래 방문. 한자리에서 40년이상 하셨다는 노부부가 운영중인 집. 두가지를 한번에 먹을래? 아님 맛있는것 하나만 먹을래하고 묻는다면 단연코 난 후자! ㅋ
4.15.화,반응 남기기 방문일 4.15.화 2025년 4월 15일 화요일 22번째 방문 인증 수단 영수증
4.11.금,반응 남기기 방문일 4.11.금 2025년 4월 11일 금요일 21번째 방문 인증 수단 영수증
4.4.금,반응 남기기 방문일 4.4.금 2025년 4월 4일 금요일 20번째 방문 인증 수단 영수증
2.6.목,자주갋니다. 맛고 좋아요
4.2.수,반응 남기기 방문일 4.2.수 2025년 4월 2일 수요일 19번째 방문 인증 수단 영수증
4.1.화,반응 남기기 방문일 4.1.화 2025년 4월 1일 화요일 18번째 방문 인증 수단 영수증
3.26.수,반응 남기기 방문일 3.26.수 2025년 3월 26일 수요일 17번째 방문 인증 수단 영수증
3.25.화,반응 남기기 방문일 3.25.화 2025년 3월 25일 화요일 16번째 방문 인증 수단 영수증
3.7.금,반응 남기기 방문일 3.7.금 2025년 3월 7일 금요일 15번째 방문 인증 수단 영수증
24.10.11.금,반응 남기기 방문일 24.10.11.금 2024년 10월 11일 금요일 2번째 방문 인증 수단 영수증
2.5.수,반응 남기기 방문일 2.5.수 2025년 2월 5일 수요일 12번째 방문 인증 수단 영수증
24.12.31.화,반응 남기기 방문일 24.12.31.화 2024년 12월 31일 화요일 9번째 방문 인증 수단 영수증
24.9.2.월,반응 남기기 방문일 24.9.2.월 2024년 9월 2일 월요일 1번째 방문 인증 수단 영수증
24.12.26.목,반응 남기기 방문일 24.12.26.목 2024년 12월 26일 목요일 7번째 방문 인증 수단 영수증
24.4.4.목,맛은 사실 소소한데 가격대비 괜찮습니다 다른것도 맛보고 싶네요
24.12.20.금,반응 남기기 방문일 24.12.20.금 2024년 12월 20일 금요일 5번째 방문 인증 수단 영수증
24.12.23.월,반응 남기기 방문일 24.12.23.월 2024년 12월 23일 월요일 6번째 방문 인증 수단 영수증
24.5.1.수,반응 남기기 방문일 24.5.1.수 2024년 5월 1일 수요일 1번째 방문 인증 수단 영수증
23.8.18.금,양장피 양 진짜 많고 재료 구성 너무 알차서 안주로 딱이었고 짬뽕은 저렴한 가격 대비 해산물이 진짜 잔뜩 들어가서 좋았습니다. 면이 너무 맛났어요. 짜장이 짬뽕 보다 더 맛있었는데 진짜 무조건 드셔야됩니다. 사장님이 너무 친절하셔서 무조건 재방문 예정입니다
24.4.9.화,순대국 맛나게 잘 먹었읍니다~~
24.1.5.금,싹 비웠습니다. 짜장맛집^^
24.3.30.토,반응 남기기 방문일 24.3.30.토 2024년 3월 30일 토요일 1번째 방문 인증 수단 영수증
24.4.16.화,반응 남기기 방문일 24.4.16.화 2024년 4월 16일 화요일 1번째 방문 인증 수단 영수증
23.10.27.금,오늘도 맛있게 먹었습니다! 라드에 튀긴 빠싹한 탕수육 먹고싶었는데 혼자라서 넘 아쉬웠어요… ㅠ 오래오래 장사해주세요!!
24.1.8.월,반응 남기기 방문일 24.1.8.월 2024년 1월 8일 월요일 2번째 방문 인증 수단 영수증
23.10.4.수,반응 남기기 방문일 23.10.4.수 2023년 10월 4일 수요일 1번째 방문 인증 수단 영수증
23.7.7.금,전라도 식 순대국및 하닉입니다. 친절하시고 반찬도 맛있습니다.
23.6.30.금,점심시간에 순대국 먹으러 갔는데 혼밥하시는 분들도 많고 조용하게 식사하기 괜찮았어요 양도많고 맛도 괜찮은 편이예요 사장님 친절하세요
23.1.22.일,몰랐어요 유투버 웅이가 방문 한곳인줄 ~ 설 명절 당일에 문연곳으로 들어갔는데 어머 유투버 웅이가 왔다 간곳이더라구요 . 9가지나 먹고 갔다는데 여기 양이 적은게 아니던데 대단해요 양장피가 찐 인것같아 시켰는데 35000원에 양이 어마무시함. 예쁘게도 나오네요 ~ 양푼이 큰거 가져다주려서 그안에 넣고 소스 넣고 비벼서 다시 접시에 담아 먹어요 ~ 짬뽕탕도 양이 어마어마 잘먹었습니다
23.2.7.화,한식과 중식을 모두 맛볼 수 있다. 짜장면 짬뽕 다 맛있었고. 순대국도 평타는 된다. 백반도 해주시는지.. 다른테이블에서는 닭볶음탕을 먹고 있었다 ㅎㅎ
23.2.5.일,짜장면이 삼삼한데 맛있어요! 다른 일반 중식집보다 더 고기향이 많이 났습니다. 짬뽕이 더 맛있어서 좋았습니다.
22.9.14.수,"성수에 화려한 가게들 사이에 숨겨져있는 제대로 하는 중식당이에요. 노포라 걱정했지만 요리하나하나 깔끔하고 정성스럽게 내어주셨습니다. 양장피 무조건 먹어야하고 고기튀김은 냄새하나 없이 담백하고 바삭했습니다. 짬뽕은 시원칼칼, 면도 바로 뽑으시는지 탱글쫄깃 합니다💥 무엇보다 사장님 부부가 정이 넘치시고 친절하세요. 정말 자주가고 싶은 맛집입니다.🥹🫶"
22.11.18.금,양도 많고 왕 맛있었어요!!👍👍👍👍👍
22.10.2.일,"정말정말 맛있고, 양도 많고, 사장님 내외분 너무 친절하세요! 두번째 간건데 또 먹어도 감동이었습니다! 특히 양장피.. 강추강추에요 !"
22.6.14.화,음식 퀄리티 장난없고 양도 미쳤습니다 홍합탕 서비스로 주셨는데 담백하니 너무 좋았어요 ㅠ 순댓국도 먹었는데 사진이 없네요 (너무 배불러서 탕수육은 조금만 달라고했어요) 사장님들도 너무 친절하시고 좋으세요 진짜 너무 너무 너무 좋아요 여기 사랑해요 꿀팁이 있다면 무조건 4명이상 방문하셔서 이것저것 다 맛보세요!!!!
23.3.25.토,음식이 맛있어용 짜장면 추천이요
22.11.4.금,값도 싸고 맛있어요!!!
22.10.3.월,사장님 너무 친절하셔요!!
22.10.13.목,80년대 중식 그대로. 비교불가 가격
22.11.11.금,반응 남기기 방문일 22.11.11.금 2022년 11월 11일 금요일 1번째 방문 인증 수단 영수증
22.10.28.금,음식이 맛있고 직원분이 친절하세요
22.7.22.금,반응 남기기 방문일 22.7.22.금 2022년 7월 22일 금요일 1번째 방문 인증 수단 영수증
