date,content
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
24.2.9.금,과일화채가 다 찐과일이라 너무 좋았습니다~ 오징어도 좋고 하이볼도 맛있습니다. 가게도 너무 요란하지 않고 즐겁게 모임하기 좋네요~!
24.2.9.금,넓어서 좋아요. 2차때 가볍게 먹고싶을 때 특히 좋은 것같아요. 음식도 메뉴 퀄리티 봤을 땐 가격이 부담스럽지 않고 맛도 좋습니다.
23.10.6.금,"신랑이랑 가볍게 마른안주에 맥주 한 잔 하려고 금호역에서 금남시장 가는 방향에 보니 2층에 호프집이 보이길래 들어갔어요~ 분위기는 5~60대 이상이 가는 호프집 같았는데, 30대인 저희가 가볍게 맥주 한 잔 하긴 괜찮은 거 같아요~"
23.4.8.토,ㅋ음악 좋고 자리도 좋고 맥주와 먹택도 맛 있게. .. 근데 해물떡볶이와 부대찌개는.......쫌... 아쉽네요.
22.8.5.금,"치즈불닭, 김치볶음밥, 돈까스 다 맛있어요!! 돈까스 찍먹 센스짱ㅎ 치킨도 맛있어요^^ 익힌 당근 싫어하는데 대체적으로 야채들으 다 식감있게 덜 익혀져서 좋았어요^^ 맥주만 간단히 마시기로 했는데 치즈불닭이 너무 맛있어서 소주 까버림ㅎㅎ"
23.7.30.일,반응 남기기 방문일 23.7.30.일 2023년 7월 30일 일요일 1번째 방문 인증 수단 영수증
23.6.24.토,반응 남기기 방문일 23.6.24.토 2023년 6월 24일 토요일 1번째 방문 인증 수단 영수증
22.11.27.일,단체석으로 가도 좋고 4명이서 가기에 더적합한 좌석들이 많아요~!! 음식도 맛있어요☺️☺️☺️
23.2.19.일,반응 남기기 방문일 23.2.19.일 2023년 2월 19일 일요일 1번째 방문 인증 수단 영수증
22.10.8.토,반응 남기기 방문일 22.10.8.토 2022년 10월 8일 토요일 1번째 방문 인증 수단 영수증
22.10.2.일,반응 남기기 방문일 22.10.2.일 2022년 10월 2일 일요일 1번째 방문 인증 수단 영수증
22.10.2.일,반응 남기기 방문일 22.10.2.일 2022년 10월 2일 일요일 1번째 방문 인증 수단 영수증
22.7.13.수,시원하고 친절한데 매장에 기름냄새가 나네요.
22.5.15.일,구석 어두컴컴 혼술딱
21.11.4.목,넓은 좌석배치가 맘에 들어요~ 음식도 맛있게 먹었어요
21.11.4.목,가격도 적당하고 괜찮아요
21.6.4.금,반응 남기기 방문일 21.6.4.금 2021년 6월 4일 금요일 2번째 방문 인증 수단 영수증
21.5.16.일,반응 남기기 방문일 21.5.16.일 2021년 5월 16일 일요일 1번째 방문 인증 수단 영수증
21.4.23.금,반응 남기기 방문일 21.4.23.금 2021년 4월 23일 금요일 1번째 방문 인증 수단 영수증
20.10.12.월,사장님 친절하시고 안주 맛있어요
20.9.21.월,반응 남기기 방문일 20.9.21.월 2020년 9월 21일 월요일 3번째 방문 인증 수단 영수증
20.9.21.월,반응 남기기 방문일 20.9.21.월 2020년 9월 21일 월요일 2번째 방문 인증 수단 영수증
20.9.21.월,반응 남기기 방문일 20.9.21.월 2020년 9월 21일 월요일 1번째 방문 인증 수단 영수증
20.9.21.월,반응 남기기 방문일 20.9.21.월 2020년 9월 21일 월요일 1번째 방문 인증 수단 영수증
20.9.21.월,반응 남기기 방문일 20.9.21.월 2020년 9월 21일 월요일 1번째 방문 인증 수단 영수증
