date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
6.1.일,"2번째 방문이네요! 오늘도 배터지게 맛있게 먹었어요! 오늘은 돈까스,치즈후라이, 비엔나도 먹어봤는데 너무 맛있네요!  사장님, 알바생분 너무 친절합니다! 다음에 또 방문할게요 !  많이들 방문해주세용"
10.4.토,음식이 너무 맛있고 가성비 좋아요! 친절하셔서 또 오고 싶어요 💗
8.22.금,직원분들도 친절하시고 맛있게 잘먹었어요!!!
5.4.일,가성비 너무 좋구 사장님도 너무 친절하세요!  음악도 너무 좋고 시끄럽지 않을정도로 틀어주시네요!  인테리어도 넘 좋아요!  술도 안주도 넘 맛있어요  지나가시는 분들 한번씩 들려주세요!  너무 좋은 곳이랍니다!!!  다음에 또 올게요!
6.1.일,맥주도 맛있고 안주도 너무 맛있어요 인테리어도 너무 이쁘고요 무엇보다 사장님이랑 알바생분 너무 친절합니다 굿입니다!
5.30.금,근처에서 일하게 돼서 해피아워 이용으로 방문했는데 기린 생맥주 너무 맛있고 안주도 맛있네요🥹 분위기도 좋고!! 주변에서 일 하시는 분들은 한번 방문 해보셔도 좋을거 같아요!👍🏻⭐️
8.18.월,답십리에 야기토리 집을 찾았는게 있네요. 모둠꼬치 기린 맥주 잘먹고 갑니다.
6.1.일,답십리 새로생긴 야키토리집 코리키치 첫방문 했어요 가볍게 기린생맥+야키토리 2차맛집 생겨서 좋아요! 잘먹구갑니당
5.22.목,아늑하고 조용해요 꼬치 맛있어요
5.25.일,음식도 맛있고 분위기 친절 최고라서 추천해요~~!
5.25.일,사장님 친절하시고 날씨도 좋아서 친구들이랑 한 잔 하기 딱 좋은곳이였어요!!
4.25.금,고기가 적당히 조리되어 원래식감을 느낄수있습니다. 매운맛인데 담번에다른맛도 먹어봐야겠습니다.
5.25.일,완전 분위기 좋고 맛있습니다!!
5.9.금,양념 간들이 전체적으로 짜요..
5.25.일,사장님이 친절하고 안주 전부 맛있다 섹시푸드
