date,content
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
9.29.월,치킨도 푸짐하고 맛나요. 그리고 사장님이 친절하고 센스있으셔서 좋았어요!!
24.12.15.일,반응 남기기 방문일 24.12.15.일 2024년 12월 15일 일요일 8번째 방문 인증 수단 영수증
24.11.27.수,반응 남기기 방문일 24.11.27.수 2024년 11월 27일 수요일 7번째 방문 인증 수단 영수증
24.7.9.화,반응 남기기 방문일 24.7.9.화 2024년 7월 9일 화요일 1번째 방문 인증 수단 포장주문
24.5.5.일,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 24.5.5.일 2024년 5월 5일 일요일 6번째 방문 인증 수단 영수증
24.5.24.금,반응 남기기 방문일 24.5.24.금 2024년 5월 24일 금요일 3번째 방문 인증 수단 영수증
24.5.18.토,반응 남기기 방문일 24.5.18.토 2024년 5월 18일 토요일 3번째 방문 인증 수단 영수증
23.12.1.금,반응 남기기 방문일 23.12.1.금 2023년 12월 1일 금요일 2번째 방문 인증 수단 영수증
23.8.11.금,반응 남기기 방문일 23.8.11.금 2023년 8월 11일 금요일 16번째 방문 인증 수단 영수증
23.7.30.일,반응 남기기 방문일 23.7.30.일 2023년 7월 30일 일요일 15번째 방문 인증 수단 영수증
23.3.24.금,껍질이 바삭하고 맛은 있는데 살짝 저한테는 짰지만 맛있어요
23.5.23.화,반응 남기기 방문일 23.5.23.화 2023년 5월 23일 화요일 14번째 방문 인증 수단 영수증
23.5.7.일,반응 남기기 방문일 23.5.7.일 2023년 5월 7일 일요일 13번째 방문 인증 수단 영수증
23.4.8.토,반응 남기기 방문일 23.4.8.토 2023년 4월 8일 토요일 12번째 방문 인증 수단 영수증
22.11.15.화,반응 남기기 방문일 22.11.15.화 2022년 11월 15일 화요일 11번째 방문 인증 수단 영수증
22.7.21.목,반응 남기기 방문일 22.7.21.목 2022년 7월 21일 목요일 1번째 방문 인증 수단 영수증
22.9.4.일,반응 남기기 방문일 22.9.4.일 2022년 9월 4일 일요일 4번째 방문 인증 수단 영수증
22.7.4.월,반응 남기기 방문일 22.7.4.월 2022년 7월 4일 월요일 3번째 방문 인증 수단 영수증
22.6.29.수,반응 남기기 방문일 22.6.29.수 2022년 6월 29일 수요일 2번째 방문 인증 수단 영수증
22.6.24.금,반응 남기기 방문일 22.6.24.금 2022년 6월 24일 금요일 1번째 방문 인증 수단 영수증
22.6.22.수,반응 남기기 방문일 22.6.22.수 2022년 6월 22일 수요일 1번째 방문 인증 수단 영수증
22.7.21.목,반응 남기기 방문일 22.7.21.목 2022년 7월 21일 목요일 10번째 방문 인증 수단 영수증
22.6.6.월,반응 남기기 방문일 22.6.6.월 2022년 6월 6일 월요일 6번째 방문 인증 수단 영수증
22.5.27.금,반응 남기기 방문일 22.5.27.금 2022년 5월 27일 금요일 1번째 방문 인증 수단 영수증
22.6.18.토,반응 남기기 방문일 22.6.18.토 2022년 6월 18일 토요일 8번째 방문 인증 수단 영수증
22.6.12.일,반응 남기기 방문일 22.6.12.일 2022년 6월 12일 일요일 7번째 방문 인증 수단 영수증
22.6.26.일,반응 남기기 방문일 22.6.26.일 2022년 6월 26일 일요일 6번째 방문 인증 수단 영수증
22.4.9.토,반응 남기기 방문일 22.4.9.토 2022년 4월 9일 토요일 5번째 방문 인증 수단 영수증
22.3.18.금,반응 남기기 방문일 22.3.18.금 2022년 3월 18일 금요일 4번째 방문 인증 수단 영수증
22.1.15.토,반응 남기기 방문일 22.1.15.토 2022년 1월 15일 토요일 3번째 방문 인증 수단 영수증
22.2.3.목,반응 남기기 방문일 22.2.3.목 2022년 2월 3일 목요일 5번째 방문 인증 수단 영수증
21.12.11.토,반응 남기기 방문일 21.12.11.토 2021년 12월 11일 토요일 2번째 방문 인증 수단 영수증
21.8.8.일,반응 남기기 방문일 21.8.8.일 2021년 8월 8일 일요일 1번째 방문 인증 수단 영수증
21.2.14.일,양도 많고 배달도 빨리오고 맛나네여~
21.2.6.토,반응 남기기 방문일 21.2.6.토 2021년 2월 6일 토요일 1번째 방문 인증 수단 영수증
21.3.6.토,반응 남기기 방문일 21.3.6.토 2021년 3월 6일 토요일 1번째 방문 인증 수단 영수증
21.1.16.토,제 최애 치킨집이에요
21.1.29.금,반응 남기기 방문일 21.1.29.금 2021년 1월 29일 금요일 1번째 방문 인증 수단 영수증
20.12.6.일,튀기옷도 고기도 부드롭고 너무 맛나게 먹었습니다.
21.2.5.금,반응 남기기 방문일 21.2.5.금 2021년 2월 5일 금요일 1번째 방문 인증 수단 영수증
20.12.8.화,반응 남기기 방문일 20.12.8.화 2020년 12월 8일 화요일 1번째 방문 인증 수단 영수증
20.12.13.일,반응 남기기 방문일 20.12.13.일 2020년 12월 13일 일요일 2번째 방문 인증 수단 영수증
21.1.3.일,반응 남기기 방문일 21.1.3.일 2021년 1월 3일 일요일 1번째 방문 인증 수단 영수증
21.1.3.일,반응 남기기 방문일 21.1.3.일 2021년 1월 3일 일요일 1번째 방문 인증 수단 영수증
20.12.27.일,반응 남기기 방문일 20.12.27.일 2020년 12월 27일 일요일 1번째 방문 인증 수단 영수증
20.11.21.토,반응 남기기 방문일 20.11.21.토 2020년 11월 21일 토요일 1번째 방문 인증 수단 영수증
21.2.11.목,반응 남기기 방문일 21.2.11.목 2021년 2월 11일 목요일 1번째 방문 인증 수단 영수증
21.1.6.수,반응 남기기 방문일 21.1.6.수 2021년 1월 6일 수요일 1번째 방문 인증 수단 영수증
