date,content
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
9.26.금,이번 추석을 기념해서 감사한 분과 같이 나눠먹기 위해 추석선물세트를 구매해봤습니다 일단 아모니만의 고유의 잘 만들어진 쿠키디자인과 한국적인 재료가 어우러지고 당도도 과하지 않고 은은하며 재료 본연의 맛이 잘 표현됐습니다 덕분에 기분 좋은 추석준비가 되었습니다 감사합니다!
10.1.수,명절때마다 명절선물사러 옵니다. 아쉽게 에디션 예약에는 실패했지만 항상 받으시는분들이 좋아하셔서 여기서 믿고 사갑니다. 아모니 번창하시길.
9.26.금,계절마다 선물 장만하러 갑니다. 와인 럼 등과 페어링이 좋아 기념일에 딱 맞는 선물이에요!
7.17.목,"미슐랭출신 셰프님의 디저트가 궁금해서 워크인 프랑스디저트에 한식적인 요소를 잘조화시킨 느낌! 처음보는 메뉴들이었는데도 거부감없이 궁금해보이는 디자인과 이름들! 촉촉하고 부드러우면서 쫀득한 밸런스가 좋은! 버터풍미도 잘느껴지는 제대로된휘낭시에인데 안에 인절미가! 형태는 다른데 먹었을때 인절미가 제대로 느껴졌던! 밤껍질 율피를 통해 만들었다는 쿠키?! 너무 바삭하지않고 너무 무르지도 않은 적당한 식감! 형태는 틀린데 마카롱의 느낌도 살짝나는 밤향을 은은하게 잘 느낄 수 있었던, 다른맛도 궁금한 곳!"
9.27.토,지인분께 추석선물로 드릴려고 예약했어요~ 휘낭시에 1box랑 추석 에디션 패키지(샌드쿠키)로 예약했는데 마음에 들어하셨으면 좋겠네요...😄
7.4.금,친구 집들이가서 먹을려고 예약후 구매했어요~ 바로 픽업할 수 있어서 편하네용! 타르트 살짝 냉장고에 넣어놨다가 영화볼때 꺼내서 먹었어요ㅎㅎ 꺼내마자 순식간에 사라져써 두개 살걸 구랬나 싶더라고요! 친구들 모두 맛잇게 먹었고 많이 달지 않고 은은한 바나나향과 맛이 매력적이네요! 다음 시즌에는 또 어떤 타르트가 나올지 기대가 됩니당❣️
5.16.금,스승의날 제가 넘 감사하는 선생님께 선물했어요 1분컷 에디션 운좋게 잡아서 구매했구요 선생님이 너무 맛있다면서 따로 문자도 주셨어요 방문했을때도 바쁘셨는데 친절하셔서 만족스런 구매였습니다 번창하세요!!
9.9.화,선물용으로 샀습니다. 고운 정성이 가득한 타르트는 제가 크게 설명을 드리지 않아도 한눈에 바로 다 알아보시더라구요. 다음에도 또 예약 성공해서 제가 직접 먹어보고 싶네요.
6.24.화,"n번째 구매중인 파티세리 디저트인데 그 중에서도 타르트시리즈 정말 좋아해요  매시즌 어떤메뉴가 나올지 기대하는 재미도 있고 유자 체리도 스테디지만 이번 시즌 코코넛라임바나나타르트도 진짜 맛있어요.. 먹고 하나 더 주문해버렸답니다 ( ・∇・)  촉촉하고 달콤한 코코넛바나나맛 필링이 너무 취향저격이에요,, 시즌메뉴인게 아쉬버 더 쟁여두고 싶습니다…"
5.13.화,계절마다 늘 찾습니다. 날이 좋아서 선물로도 하나 더 사고 와인도 사서 자리에 앉아 먹고 갑니다. 항상 반갑게 맞아주셔서 감사해요! 여름되면 또 올게요!
5.23.금,너무 이쁘고 맛있었어요!!^^ 주차가 어려워서 그렇지 나머지는 완벽합니다!!^^
5.16.금,선물용으로 샀는데 고급스러운 단맛이라고 좋아하더라구요
5.28.수,가족과 함께 먹기도 하고 선물용도 더 구매했는데 가족들도 좋아하고 선물 받으신 분도 너무 좋아하셨어요 맛있고 예쁘고 만족합니다^^ 한정메뉴라 아쉬워요~
3.19.수,비주얼과 맛 어느 것 하나 빠지지 않는 아모니 디저트! 이번에는 선물용으로 봄의 정원 타르트 구입했어요 디저트 설명과 보관법이 적힌 카드도 같이 넣어주셔서 설명이 더 쉬웠어요 :)
9.2.화,반응 남기기 방문일 9.2.화 2025년 9월 2일 화요일 9번째 방문 인증 수단 영수증
5.6.화,"가정의달패키지, 예약하고 픽업하러갔는데 부모님이 좋아하시네요! 적당히 달달하고 고급스러운 맛이에요👍"
6.6.금,타르트랑 다른 구움과자도 전부 맛있는데 특히 이 쿠키세트 사랑합니당🫰🏻 기분좋은 은은한 단맛들👍🏻
1.21.화,특별한 선물을 하도 싶을때 무조건 방문하는 파티세리아모니. 올해는 설날 에디션이 푸른뱀의해에 맞게 너무 예쁘게 나와서 구매했는데 레이어드 되서 양도 많고 맛도 너무 좋아서 완전 대만족입니다.  특별한 선물할땐 무조건 파티세리 아모니 강추입니다. 저번선물 산것도 담백하고 좋아서 부모님이 제일 좋아하셨습니다.  감사합니다 오래해주세요 :)
4.3.목,먹기 아까울 정도로 귀여움 상큼한 유자타르트
3.26.수,"고마운 분들께 드릴 선물 찾다가 방문했습니다. 좋은 선물로 찾느라 제가 먼저 직접 몇 가지 구매해서 먹어보고 결정했습니다. 예약으로는 원하는 날짜에 받을 수가 없어서 오픈시간에 최대한 맞춰서 갔는데 다행히도 종류별로 구매할 수 있었습니다. 단순히 디저트로만 보자면 조금 가격대가 있다고 생각할 수도 있지만 맛이나 포장 어느 하나 정성이 안 느껴지는 부분이 없을 정도로 좋았습니다. 선물 받으신 분들도 너무 만족해하시고, 어디냐고 다들 물어보시더라고요 네이버로도 구매가능하니 종종 구매해서 먹을 것 같네요🥰"
5.7.수,아빠가 너무 좋아하셔서 어버이날 선물과 함께 준비했어요! 미리 예약하면 들고 가기 편하게 준비해주셔서 너무 좋아요
4.24.목,늙은호박 휘낭시에 볶음된장캐러멜쿠키샌드 달지 않고 맛있음
4.3.목,덕분에 봄 분위기 완연한 티타임을 즐겼어요! 예약은 어려웠지만 엄청 친절하게 알려주시고 딱 티푸드로 먹기 좋았어요^^
6.13.금,반응 남기기 방문일 6.13.금 2025년 6월 13일 금요일 1번째 방문 인증 수단 예약
1.29.수,처음 구매해서 먹어봤는데 너무 맛있었어요 선물하기 좋은 패키지가 많아서 좋은 것 같아요
6.25.수,반응 남기기 방문일 6.25.수 2025년 6월 25일 수요일 8번째 방문 인증 수단 영수증
24.12.24.화,크리스마스 에디션 예약 후 픽업했습니다 가격이 좀 있다고 생각했는데 세상에 이렇게 예쁘고 맛있다니! 기쁨과 행복이 가득 담겨있어요 앞으로 명절선물은 아모니입니다 정말 정말 거대만족💚❤️
3.15.토,하루 늦었지만 화이트데이를 기념하여 여자친구에게 줄 타르트와 휘낭시에를 구매했습니다. 가족들과 함께 나눠먹었다는데 너무 맛있어서 눈이 휘둥그레졌다고 다들 칭찬 일색이라며 맛있게 먹어준 모습을 보니 저까지 뿌듯했습니다. 항상 맛있는 디저트를 맛볼 수 있게 해주셔서 감사합니다.
4.26.토,샌드쿠키 쿠키부분은 촉촉하고 안의 필링 부분은 개성있고 맛있어요 유니크한만큼 특별한 대접을 받는 기분이 듭니다
2.14.금,인생 휘낭시에를 만났습니다. 초콜렛 발린 디저트류 안좋아하는 친구도 여기 카카오닙스초코 휘낭시에는 맛있다네요. 발렌타인데이 선물 대성공😍
24.12.12.목,특별한날 좋아하는 사람들과 맛있는 디저트를 먹고 싶을때마다 아모니를 찾아요! 이번에 크리스마스 에디션은 보기에도 너무 예쁘고 다양하게 구성되어있어서 너무 좋았어요~ 하나하나 골라먹는 재미도 있었고용! 점점 아모니 디저트 예약하기가 어려워지네요 ㅎㅎ 이번에도 취소된걸로 겨우 예약햇어여! 돈 마니 버세요 사장님~!
3.15.토,이제 예약하기도 빡센곳 ㅠㅠ 늘 새로운 시즌 기다렸다가 구매합니다 믿고먹는 아모니♥️
24.10.16.수,가을호박타르트 너무 맛있고 예뻐서 다시 구매하러 왔습니다. 보자기포장 선물도 너무 고급스러워서 받으시는분들이 너무 좋아하실것 같아요. 아모니 디저트 항상 맛있어서 특별한날 항상 선물하러 옵니다. 오래오래 했으면 좋겠어요
2.4.화,안녕하세요 사장님 약봉투에 디저트 담아간 사람이에요☺️ 디저트 맛이 특이해서 좋아요! 디자인도 매력적이고... 새로운 맛 나오면 또 가고 싶네요!!
24.12.23.월,입구 들어서자마자 사장님을 만나기전 구움과자 냄새가 나서 놀랐습니다! 향때문에 구매 잘했다라는 생각이 들기는 처음이네요!! 패키징도 이쁘고 가족과 지인에게 선물 하려고 하려고 하는데 벌써 기쁘네요
1.30.목,설 선물로 어른들 드리려고 대량 구매했어요~! 달지않고 재료 본연의 맛을 이렇게 고급스럽고도 조화롭게 내다니.. 너무 깜짝 놀랐어요. 입맛 까다로우신 어르신들도 너무 좋아하는 초고급 디저트입니다. 강력추천! 감히 별 여섯개드리고 싶어요!
2.13.목,예쁘고 맛있어요! 그런데 받자마자 냉동보관인 것은 픽업시 알려주셨으면 좋겠어요~주의사항이 포장지 안에 있어서 나중에 알게 되네요ㅠ
24.10.9.수,지인분께 선물로 드리려고 구매했습니다. 맛있었다고 고맙다며 연락이 왔습니다. 매번 느끼지만 참 누구에게 선물로 드리기 딱인 곳이예요. 일반 포장도 고급스럽지만 보자기 포장 정말 추천 드려요. 믿고 방문해보세요☺️☺️
24.12.9.월,포인세티아 모양 타르트 예쁠 뿐만 아니라 맛도 최고예요
