date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.15.월,반응 남기기 방문일 9.15.월 2025년 9월 15일 월요일 1번째 방문 인증 수단 영수증
24.11.19.화,페리카나 양념치킨 맛잇어요! 후라이드도 튀김옷이 바삭하고 얇아서 좋아용
24.4.3.수,"힘든 하루였어서 일부러 퇴근하면서 픽업하려고 시간 요청드렸어요. 미리 조리해놓으셨는지 이미 요청한 시간 15분 전에 픽업해가라고 알림이 왔고, 픽업가니 받을때부터 이미 비닐봉지엔 김이 식어 물방울이 송골송골 맺혀있었네요. 평일 6시가 막 지난 시각이기도 했고 사장님 내외분 매장 안, 밖에서 쉬고계셨던 걸 보면 바쁘신 건 아니었던 것 같습니다. 치즈볼도 치킨도 미지근한 상태로 먹었습니다. 페리카나 기본 양념맛을 좋아하는지라 맛은 있었지만 퇴근하자마자 따뜻한 치킨으로 힐링하려던 계획은 실패했어요 퇴근하면서 따뜻한 치킨 받아갈 수 있게 미리 주문하는 건 안해야할 듯 싶습니다. 아쉽습니다ㅠ"
23.12.1.금,클래식 치킨집을 좋아하는편입니다. 페리카나 맛있어요.
24.1.28.일,반응 남기기 방문일 24.1.28.일 2024년 1월 28일 일요일 2번째 방문 인증 수단 영수증
23.11.24.금,반응 남기기 방문일 23.11.24.금 2023년 11월 24일 금요일 7번째 방문 인증 수단 영수증
23.10.14.토,반응 남기기 방문일 23.10.14.토 2023년 10월 14일 토요일 4번째 방문 인증 수단 포장주문
23.3.5.일,반응 남기기 방문일 23.3.5.일 2023년 3월 5일 일요일 1번째 방문 인증 수단 영수증
22.12.31.토,반반 시켰는데.. 느끼하지 않고 맛나네요
23.5.15.월,반응 남기기 방문일 23.5.15.월 2023년 5월 15일 월요일 2번째 방문 인증 수단 포장주문
22.11.25.금,양념치킨에 떡도 들어있어요 맛있엉ㅅ
22.11.1.화,배달도 빠르고 음식도 맛나요!
22.12.31.토,반응 남기기 방문일 22.12.31.토 2022년 12월 31일 토요일 3번째 방문 인증 수단 영수증
22.12.28.수,반응 남기기 방문일 22.12.28.수 2022년 12월 28일 수요일 2번째 방문 인증 수단 결제내역
22.12.9.금,반응 남기기 방문일 22.12.9.금 2022년 12월 9일 금요일 6번째 방문 인증 수단 영수증
22.8.23.화,십여년째 단골입니다:) 사장님도 친절하시고 양념치킨에 떡도 들어있어서 별미랍니당 진짜 맛있어요!!!😋💗
22.10.28.금,반응 남기기 방문일 22.10.28.금 2022년 10월 28일 금요일 1번째 방문 인증 수단 영수증
22.7.26.화,반응 남기기 방문일 22.7.26.화 2022년 7월 26일 화요일 1번째 방문 인증 수단 영수증
22.9.27.화,반응 남기기 방문일 22.9.27.화 2022년 9월 27일 화요일 2번째 방문 인증 수단 영수증
22.6.29.수,반응 남기기 방문일 22.6.29.수 2022년 6월 29일 수요일 2번째 방문 인증 수단 영수증
22.5.5.목,반응 남기기 방문일 22.5.5.목 2022년 5월 5일 목요일 1번째 방문 인증 수단 영수증
21.12.26.일,오랜단골 양념후라이드 맛나요
22.2.14.월,양념 후라이드 맛나요
22.3.13.일,반응 남기기 방문일 22.3.13.일 2022년 3월 13일 일요일 1번째 방문 인증 수단 영수증
22.3.26.토,반응 남기기 방문일 22.3.26.토 2022년 3월 26일 토요일 3번째 방문 인증 수단 영수증
22.2.2.수,후라이드 치킨 맛나요
21.9.26.일,매장에서 먹었는데 사장님두 친절하시고 치킨도 진짜 닭강정 처럼 바삭바삭해서 너무 맛있게 먹었어요 ㅠㅠ
21.11.13.토,반응 남기기 방문일 21.11.13.토 2021년 11월 13일 토요일 3번째 방문 인증 수단 영수증
21.12.18.토,반응 남기기 방문일 21.12.18.토 2021년 12월 18일 토요일 1번째 방문 인증 수단 영수증
21.11.15.월,정통 후라이드 치킨과 골팽이무침 배달해서 맛나게 먹었어요
22.1.6.목,반응 남기기 방문일 22.1.6.목 2022년 1월 6일 목요일 1번째 방문 인증 수단 영수증
22.1.6.목,반응 남기기 방문일 22.1.6.목 2022년 1월 6일 목요일 2번째 방문 인증 수단 영수증
22.1.6.목,반응 남기기 방문일 22.1.6.목 2022년 1월 6일 목요일 1번째 방문 인증 수단 영수증
21.9.8.수,바삭바삭하고 맛있어요 기본에 충실한 치킨!
21.7.31.토,금호동 원주민입니다. 페리카나 양념치킨 정말 맛있습니다~!
21.11.11.목,반응 남기기 방문일 21.11.11.목 2021년 11월 11일 목요일 1번째 방문 인증 수단 영수증
21.10.16.토,반응 남기기 방문일 21.10.16.토 2021년 10월 16일 토요일 2번째 방문 인증 수단 영수증
21.5.6.목,페리카나는 금호역점이 맛있음
21.8.27.금,양념의 진리는 패리카나~
21.3.19.금,오늘도 너무 맛있었어요~~퇴근하고 주문했습니다. 페리카나 중에서 금호역점이 젤 맛있네요
21.4.17.토,반응 남기기 방문일 21.4.17.토 2021년 4월 17일 토요일 2번째 방문 인증 수단 영수증
21.1.14.목,아주 맛있고 빨라서 좋았습니다
20.10.14.수,오늘도 굿ㅋ 츄러스 찹쌀치즈볼 대박..
20.10.25.일,바싹 바싹 우린 후라이드를 먹는다 골뱅소면 맛이 매콤달짠달짠 좋다
20.9.29.화,맛있어요~~~ 명절전날 시켜먹었어요
20.9.26.토,너무 맛있어요. 감사합니당
20.8.29.토,오늘은 언니가 와서 두마리 시킵니다. 항상 맛있고 친절하십니다 울 동네에서 젤 맛있어요ㅋ
20.8.14.금,너무 맛있어욥ㅎㅎ 닭도 실하고 매주시켜먹어요
20.8.1.토,페리카나는 양념이 진리입니다. 금호동에서 여기가 제일 맛있어요.
21.1.20.수,반응 남기기 방문일 21.1.20.수 2021년 1월 20일 수요일 1번째 방문 인증 수단 영수증
20.7.18.토,항상 자주 시켜먹습니다. 양도 많고 근방에서 제일 맛있어요
20.2.8.토,사장님! 너무 감사드립니다^^ 덕분에 아이랑 맛있게 먹었네요♡ 다음에 또 시킬께요😊
20.7.17.금,반응 남기기 방문일 20.7.17.금 2020년 7월 17일 금요일 1번째 방문 인증 수단 영수증
20.4.25.토,반응 남기기 방문일 20.4.25.토 2020년 4월 25일 토요일 1번째 방문 인증 수단 영수증
19.12.28.토,반응 남기기 방문일 19.12.28.토 2019년 12월 28일 토요일 1번째 방문 인증 수단 영수증
