date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""주문제작을 잘해줘요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
10.18.토,펠어커피 강동점 예전에 한 번 오고 나서 사장님이 너무나도 친절하시고 커피는 너무 맛있어요!! 원두를 좋은 거 쓰시나 봐요! 브라우니도 너무 맛있고요! 카페가 혼자 와도 부담스럽지 않고 분위기가 너무 좋은 것 같아요! 한 번 오고 나서 계속오게 되어서 단골이 되었어요!
10.20.월,커피 맛도 너무 맛있고 좋아요! 가격도 저렴해서 부담스럽지 않고 너무 좋아요!! 강동구 천호동에서 제일 맛있는 카페입니다!
6.7.토,초콜릿이 쫀득해요! 진짜 맛있는 초코음식집이에요. 벌써 두번이나 왔어요. 노래도 크게 나오고 분위기도 대학가 작은 카페 같아요 . 옛날 추억이 떠오르네요~ 쭈꾸미골목 끝 구석이라 잘 못보고 다녔는데 좋은곳 찾은거같아요 .
10.6.월,생각보다 작아서 놀랐지만.. 말차 맛이 진하고 브라우니도 맛있었어요
6.9.월,음료가 너무 맛있고 무엇보다 생 초코 라떼 진짜 맛도리 미쳤어요 초코 중에서도 진한 생초코 좋아하시면 무조건 오세요!!!사장님 너무 친절하시고 귀염뽀짝하세요ㅎㅎㅎ💕🫶🏻디저트까지 너무 예쁘고 맛있게 나옵니다!!!
9.26.금,커피와 공원 바람 한잔
8.8.금,커피랑 음료 종류가 다양하고 마싯어요 ㅎㅎ 아스크림도 굳굳!!
8.28.목,최고의 커피 챱챱
6.9.월,여기 생초콜릿라떼가ㅜ진짜 개맛있어요 가짜초코 아니고 진짜 초코입니다 여기는 초코에 진심인 카페입니다…🤎 첫방문인데 초코러버 재방문의사 5800000% 🤎
2.10.월,커피 유목민 브랜드커피는 너무 높은가격으로 부담스럽고 맛있고 특색있는 커피 전문점을 찾다가 펠어커피 강동점 을 알게 되었는데요 이미 유명하더라구요 ~~ 음료도 다양하고 커피의 원두도 좋아하는 고소함이 진해서 넘 맛있게 마셨네요 ~~ 디카페인 변경에 두유 변경도 있어 선택의 폭이 컷답니다 ~~ 이쁘고 친절한 사장님 번창하세용
5.25.일,초코음료가 다양하고 다른 음료들도 많아요!!! 커피도 음료도 다마싯어요 ㅎㅎ
5.26.월,오랜만에 방문했는데 여전히 커피가 맛있어요. 천호동 맛집인정^^
5.24.토,본 사진은 먹다가 촬영했습니다 초콜렛은 여전히 늘 맛있어요 근데 초콜렛 양이 옛날에 비해 많이 줄었어요 사장님이 바뀌신걸까요? ㅠㅠ
24.11.2.토,"*블랜딩 티보틀 (3,500) 복숭아 우롱티 블랜딩! 아주 상큼하고 맛있고 엄청 큰 보틀에 나와서 좋았어요~ *바닐라라떼 (3,800) 커피 원두도 고급지고 달달하니 부드럽고 맛있어요 가성비 최고!!! 양도 엄청 많아요~  *빼빼로 세트 (16,000) 완전 바삭하고 너무 맛나요!! 리얼 슈제 초코라서 찐 고급진 맛! 말차, 다크, 밀크, 얼그레이 초코 4가지 맛이라서 다양하고 초콜릿이 정말 부드러워서 넘 맛나고 단짠의 조화가 예술이에요! 포장도 넘 고급지고 예뻐서 넘 좋았어요~ 선물하기 딱이고 어디 놀러가거나 친구집 놀러갈 때 선물하기도 넘 좋아요^^"
8.20.수,반응 남기기 방문일 8.20.수 2025년 8월 20일 수요일 1번째 방문 인증 수단 영수증
