date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
8.25.월,"성수 포도젝트에서 친구들과 즐거운 시간을 보냈는데 정말 만족스러웠어요 🍷 포찬고기산적은 불향 가득하면서도 부드럽게 구워져 술안주로 최고였고, 레인드롭과 미모샤글라스, 칼리모쵸 같은 칵테일은 각각 매력이 달라 마시는 재미가 있었어요. 특히 돼지고기폭탄 짬뽕은 얼큰하면서도 푸짐해서 마무리로 딱 좋았습니다. 성수 포도젝트는 분위기가 세련되면서도 편안해 오래 머물고 싶어졌고, 맛과 분위기 모두 만족스러워서 또 가고 싶은 마음이 절로 드는 곳이에요 ✨"
8.21.목,분위기미쳤다ㅜ너무좋아요..큰기대없었는데 이건...말이필요없이 맛있고 설레기주의입니다. 시그니처메뉴도 미쳤다말고는...매운쭈꾸미새우도 너무맛있어서 소리질렀어요..막창과 도래창을. 샤워소스에찍어서 라구소스까지 바게트에 곁들여 먹으니 말을잇지못해요~~~♡♡♡재방문1000입니다 취향저격♡
9.11.목,어디갈지 고민하다가 선선해지기도했고 야외에서 먹을 곳 찾다가 발견했어요!!!  옥상 넘 예쁘고 사장님도 친절하시고 ㅎㅎㅎ 음식도 너무 맛있습니다 ㅎㅎㅎㅎㅎㅎ 다른 메뉴도 먹어보고 싶어서 친구들이랑 또 오자고 했어요~~! 🤍🤍  디저트도 짱이에요 ㅎㅎㅎㅎ 옥상이 분위기 넘 좋아서 다음에 또 오려구요 ㅎㅎ 잘 즐기다 갑니다 :) !!!!
8.19.화,포도젝트 밖에서 분위기좋다..큰기대없이 들어왔는데... 놀라서 기절할뻔 분위기 너무좋아요~~막도래창부추바게트 시그니처메뉴인데 놀라기절조합 너무맛있네요...신박한아이디어가 독특한데 매력있고 매콤쭈꾸미새우와 미나리볶음 칼칼매콤한것이 퐁듀에 퐁찍어먹으니 세상 행복해요~~~논알콜 칵테일까지..느좋 감성폭발와인바가 이런곳인듯요~~♡♡♡♡
8.24.일,"성수에 있는 포도젝트에서 막도래창 부추바게트와 미도리, 레드와인을 즐겼는데 정말 만족스러웠어요 🍷 막도래창 부추바게트는 바삭한 식감에 부추 향이 은은하게 더해져 독특하면서도 중독성 있는 맛이었고, 와인과도 아주 잘 어울렸습니다. 미도리는 달콤하고 청량해서 기분까지 상쾌해졌고, 레드와인은 깊은 풍미로 음식의 맛을 더 살려주더라고요. 성수 포도젝트는 분위기가 세련되면서도 편안해 오랜만에 여유를 즐기기 딱 좋은 곳이었어요. 맛과 분위기 모두 완벽해 다시 찾고 싶은 마음이 절로 생겼습니다 ✨"
