date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
7.9.수,향신료 강하지.않아서 호불호 없습니다 없습니다고수는 요청하면 주시는거 같았는데 확실하지 않네요... 진짜 빨리나오고 항상 같은맛 유지하시는거 같아요
9.18.목,맛있는데 매장안이 더워요
9.12.금,반응 남기기 방문일 9.12.금 2025년 9월 12일 금요일 1번째 방문 인증 수단 영수증
24.12.11.수,"국물좋아요 자리가 좁아져서 좀 불편하지만, 뜨근한 국물 생각 날때 갑니다"
24.10.15.화,반응 남기기 방문일 24.10.15.화 2024년 10월 15일 화요일 11번째 방문 인증 수단 영수증
24.6.19.수,"간만에 팟타이 먹고 싶어서 해산물팟타이 시켰는데... 맛은 그냥 그랬는데 양이 엄청 많았어요;; 저한테는 2인분이어서 저녁까지 해결했어요^^;; 가성비는 좋은 것 같아요,, 근데 매뉴명이 해산물팟타이라서 여러가지 해산물 있을 거라 생각하고 주문한건데 막상 해산물은 새우만 있어서 당황...;; 좀 속은 느낌인데 매뉴명을 새우팟타이라고 바꾸셔야 할 듯여"
24.10.22.화,반응 남기기 방문일 24.10.22.화 2024년 10월 22일 화요일 1번째 방문 인증 수단 영수증
24.10.2.수,양이 점점 줄어들어요
24.8.12.월,다른곳보다 저렴한가격에 팟타이 먹을수 있어서 좋았는데 올랐네요
24.3.6.수,다른 쌀국수집이랑 비교할 수 없을정도로 맛있어요👍 양도 많아서 놀랐습니다😀
24.5.30.목,반응 남기기 방문일 24.5.30.목 2024년 5월 30일 목요일 1번째 방문 인증 수단 영수증
24.7.30.화,볶음밥도 양 많아서 놀랐는데 쌀국수도 양이 엄청납니다. 푸짐한 인심에 또 한번 놀라고 갑니다잘 먹었어요^^
24.6.24.월,너무 맛있고 양도 많아요. 자주 가요
24.2.8.목,쌀국수 팟타이 모두 다 정말 맛있어요😃
24.4.1.월,자주갑니다 무난하니 향이 강하지 않아 좋아요 입문자들도 가능합니다
24.1.26.금,친절하고 팟타이 너무 맛있어요
24.3.15.금,생각보다 양도 많고 맛있게 먹었어요
23.12.28.목,이사하고 회사랑 더 가까워져서 좋아요 맛있어요
23.11.2.목,"보통 먹는 쌀국수보단 쑥주가 적고, 고기량이 많았어요 그래서 청량고추랑 후추도 좀 타서 먹었는데 너무 개운하고, 속도풀리고, 개인적으로 제 취향인 곳이였어요 ㅎㅎ 혼밥하러오기도 좋은 곳이에요 ㅎ"
24.6.19.수,반응 남기기 방문일 24.6.19.수 2024년 6월 19일 수요일 1번째 방문 인증 수단 영수증
24.5.13.월,똠얌새우볶음밥 맛있어요! 양이 엄청 많아서 배 터지는 줄 알았습니다^^
24.1.10.수,팟타이 너무 맛있어요 굿
24.2.27.화,현지화된 쌀국수 느낌입니다 매장이전해도 찾ㅇㅏ가는 곳입니다
24.1.3.수,너무 맛있는 쌀국수 최고입니다.
24.7.12.금,반응 남기기 방문일 24.7.12.금 2024년 7월 12일 금요일 2번째 방문 인증 수단 영수증
23.10.19.목,팟타이 맛있어요~ 이사 안돼~~~
23.10.12.목,돼지고기덮밥 맛있어요. 다른메뉴들도 맛있어요.
23.11.27.월,팟타이 냠냠 맛나요
23.10.16.월,쌀국수 양은 많은데 면이 너무 불어있어요…
24.5.17.금,반응 남기기 방문일 24.5.17.금 2024년 5월 17일 금요일 1번째 방문 인증 수단 영수증
23.9.7.목,반응 남기기 방문일 23.9.7.목 2023년 9월 7일 목요일 2번째 방문 인증 수단 결제내역
23.5.10.수,"이전에 분식집이 있을때는 잘 안갔는데, 포미래가 생기면서 점심에 쌀국수 먹으러 이주에 힌번은 방문하는것 같아요! 정말 맛있어요! ^_^😊👍🤗"
23.8.23.수,반응 남기기 방문일 23.8.23.수 2023년 8월 23일 수요일 1번째 방문 인증 수단 영수증
23.10.17.화,반응 남기기 방문일 23.10.17.화 2023년 10월 17일 화요일 16번째 방문 인증 수단 결제내역
23.9.12.화,반응 남기기 방문일 23.9.12.화 2023년 9월 12일 화요일 15번째 방문 인증 수단 영수증
23.3.24.금,깔끔하고 맛있습니다! 짜조도 꼭 시켜드세요! 다른 곳과 다르게 살짝 찹살이라 바삭쫀득하니 맛있어요
23.3.22.수,매운쌀국수 맛있어욤^^ 양파절임도ㅋㅋㅋ 점심시간엔 살짝 대기 탈 수 있지만 회전율은 빠른편인듯....
23.8.16.수,반응 남기기 방문일 23.8.16.수 2023년 8월 16일 수요일 1번째 방문 인증 수단 결제내역
23.9.13.수,반응 남기기 방문일 23.9.13.수 2023년 9월 13일 수요일 1번째 방문 인증 수단 영수증
23.1.10.화,웨이팅은 좀 있지만 거의 주문하자마자 바로 음식이 나오는 느낌. 국물이 정말 맛있고 개운합니다. 똠양꿍 볶음밥도 매운데 중독성있어요.
23.9.1.금,반응 남기기 방문일 23.9.1.금 2023년 9월 1일 금요일 1번째 방문 인증 수단 결제내역
23.2.20.월,주문 즉시 메뉴가 칼같이 나와요 양 많아요
23.2.27.월,반응 남기기 방문일 23.2.27.월 2023년 2월 27일 월요일 12번째 방문 인증 수단 영수증
23.4.20.목,"잘..모르겠어요, 쌀국수는 맛잇음 볶음류가 많이 사라져서 아쉬요"
23.5.22.월,양도 많고 맛있어요
22.12.7.수,의외로 매장안이 넓네요ㅎㅎ 맛있어요 또 먹고 싶음
23.2.8.수,어느순간부터 항상 웨이팅이 ㅋㅋ 그래도 자주 생각나는 맛이예용 ㅋㅋ
23.2.3.금,성수 쌀국수 맛집~ 맛있어요
22.12.1.목,반응 남기기 방문일 22.12.1.목 2022년 12월 1일 목요일 1번째 방문 인증 수단 영수증
22.9.2.금,이 집 너무 좋습니다! 맛있고 친절한 접객 서비스 최고예요~
22.11.8.화,성수동 쌀국수 집 중 제일 맛남
22.12.30.금,반응 남기기 방문일 22.12.30.금 2022년 12월 30일 금요일 11번째 방문 인증 수단 영수증
22.4.27.수,회사 점심때 다녀왔어요. 양지쌀국수를 시켰는데 양이많은편이더라구요. 가격은 9000원. 고수좋아하시는분은 더 달라고 하시면 따로 챙겨 주시구요. 사진속 익힌 양파인데 더 달라고 하시면 잘 주신답니다! 인테리어도 이쁨☆ 육수맛은 맛깔나게 딱 적당함. 육수도 양많음.
22.5.16.월,회사 근처에 쌀국수 집이 없어 처음 방문했는데 너무 맛있고 만족해서 오늘로 벌써 세번째 방문이예요! 사장님 인상도 너무 좋으시고 친절하시고 양도 푸짐에 아주 맛있어요 👍🏻 오늘은 파인애플 볶음밥 먹었는데 너무 제 취향저격! 맨날 리뷰 써야지 하면서 까먹다가 오늘은 잊지 않게 바로 남깁니다 💓
22.7.7.목,"양도 많고, 맛있고, 친절하시고, 깔끔해요.  매운 국밥 정말 매력 있네요~"
22.8.12.금,반응 남기기 방문일 22.8.12.금 2022년 8월 12일 금요일 1번째 방문 인증 수단 영수증
22.8.31.수,음식 양도 많고 빨리 나와서 좋아요.
22.12.6.화,반응 남기기 방문일 22.12.6.화 2022년 12월 6일 화요일 1번째 방문 인증 수단 결제내역
22.11.9.수,반응 남기기 방문일 22.11.9.수 2022년 11월 9일 수요일 10번째 방문 인증 수단 영수증
22.7.19.화,반응 남기기 방문일 22.7.19.화 2022년 7월 19일 화요일 8번째 방문 인증 수단 영수증
22.9.28.수,맛있고 양 많아요
22.10.24.월,반응 남기기 방문일 22.10.24.월 2022년 10월 24일 월요일 9번째 방문 인증 수단 영수증
22.4.18.월,음식이 맛있어요 사장님 너무 친절하세요
22.4.12.화,음식이 다 맛있는데 특히 쌀국수가 우리 가족 입맛에 딱이네요~!
22.2.22.화,아이들과 지나가는 길에 냄새가 너무 좋아서 얼떨결에 들어간 쌀국수 집인데 넓지는 않지만 분위기도 좋고 가격대비 양이 많고 맛도 너무 있어서 애들이 국물 한방울 밥한톨 안남기고 싹싹 다비웠어요 사장님도 너무 친절하시고 맛도 있어서 기분 좋게 맛있게 잘먹고 왔어요 다음엔 친구들과 함께 가보려구요
22.5.11.수,반응 남기기 방문일 22.5.11.수 2022년 5월 11일 수요일 6번째 방문 인증 수단 영수증
22.5.26.목,맛있어요! 고수추가 필수
22.4.15.금,회사 근처에 맛있는 쌀국수 집을 발견해서 넘 좋아요!!
22.3.15.화,매운 해산물 볶음밥 매운 쌀국수 진짜 존맛탱입니다!! Jmtgr!!
22.4.11.월,반응 남기기 방문일 22.4.11.월 2022년 4월 11일 월요일 3번째 방문 인증 수단 영수증
22.8.18.목,반응 남기기 방문일 22.8.18.목 2022년 8월 18일 목요일 2번째 방문 인증 수단 영수증
22.3.14.월,비가와서 그런지 국물이 생각나 전에 먹었던 쌀국수 먹으로 또 왔어요 혹시나 했지민 역시나 맛있네요 오늘은 매운쌀국수 먹었는데 덜맵게 요청후 국수 다먹고 밥한공기 말아서 다 먹고… 오전부터 힘들고 짜증났는데 급 힐링되어 왔습니다. 담에 또 올께요
22.3.31.목,완전! 세상 맛집♡ 맛있는데 양도 엄청많아요!! 메뉴가 전부 다맛있어서 항상 고를때마다 고민이에요 ㅎㅎ
22.5.27.금,반응 남기기 방문일 22.5.27.금 2022년 5월 27일 금요일 7번째 방문 인증 수단 영수증
22.4.7.목,반응 남기기 방문일 22.4.7.목 2022년 4월 7일 목요일 2번째 방문 인증 수단 영수증
22.7.1.금,반응 남기기 방문일 22.7.1.금 2022년 7월 1일 금요일 3번째 방문 인증 수단 영수증
22.6.30.목,반응 남기기 방문일 22.6.30.목 2022년 6월 30일 목요일 1번째 방문 인증 수단 영수증
22.4.5.화,양도 많고 맛있어요
22.3.2.수,가성비 좋은데 맛도 완전 좋아요 많은 메뉴보다 확실한 메뉴만 있어 개인적으로 더 좋아요 메뉴깨기 하려구요.. 참 쌀국수 국물이 정말 맛있어요 다이어트중이라 국물을 남겼는데 자꾸생각나요ㅠㅠ
22.5.2.월,포미래 22.5.4.수 방문 해주셔서 감사합니다 매번 맛있게 드셨다니 제가 더 고맙습니다 오늘도 좋은 하루 되세요!!
22.5.13.금,반응 남기기 방문일 22.5.13.금 2022년 5월 13일 금요일 1번째 방문 인증 수단 영수증
