date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
10.17.금,우연히 들어왔다 힐링 하고 갑니다 이런곳이 있었다니 케잌은 또 왜이렇게 맛있죠? 물소리 들으며 차한잔 하기 너무 좋은 곳이네요
9.30.화,남편 생일 케이크 주문했어요 :) 복숭아요거트 케이크에 달콤한 복숭아가 엄~~청 가득 들어있어서 깜짝 놀랐어요 다른 케이크집에서 만든 케이크랑 다르게 고퀄이에요✨ 글루텐프리 옵션으로 주문했는데 일반케이크처럼 넘 맛있었어요 기념일마다 찾는곳이에요🫶🏻
7.18.금,"도심속에 숨쉴곳이 필요할땐? 초록의 싱그러움. 힐링. 그리고 건강을 생각할때 나에게 , 사랑하는 이에게 휴식같은 시간을 선물해줄 수 있는 푸르너스가든 스시도쿠에서 점심식사를 하고 근처에 괜찮은 카페라고 꼭 가보라고 해서 찾아온 카페예요. 딸기말차라떼와 옥수수크림라떼, 밀크티등등을 주문해 먹었는데 치즈케이크가 너무 독특하고 맛있는거예요!!! 사장님께 여쭤봤는데 이 독특하고 맛있는 치즈케이크의 정식명칙은 글루텐프리 초당옥수수 바스크 치즈케이크 래요 글루텐프리가 속이 편하잖아요 거기다가 옥수수의 풍미와 향이 느껴지면서 고소해서 치즈케이크를 좋아하지만 한조각밖에못먹는 저랑 신랑이 두조각씩먹고 옆 케이크포장 공방에서 예약.포장까지했어요 언제만든지모르게 진열되거나 본사에서만들었던거 냉동이아닌 핸드메이드라더좋아요"
7.17.목,"서울숲 산책 후 잠시 쉬어가기 좋은 성수에서의 데이트 코스를 찾다가 푸르너스 가든에 들렀어요. 작은 정원이 있는 카페답게 분위기가 정말 아늑하고, 테이블 간 간격도 넓어 대화 나누기 좋았어요. 저는 말차라떼, 연인은 아메리카노를 주문했는데, 말차 특유의 쌉쌀함과 고소함이 진하게 살아있어 만족스러웠어요. 야외 테라스 쪽 자리도 너무 예뻐서 다음엔 날씨 좋은 날 다시 오고 싶어요. 성수에서 조용한 데이트를 즐기고 싶다면 추천합니다. 창밖의 푸른 식물들이 반겨주는데 힐링되더라구요. 데이트코스 추천합니다. 음료 맛있어서 한 잔씩 더 시켜먹었어요   #성수데이트#성수까페#서울숲데이트#연인#디저트"
10.18.토,케이크가 너무 맛있고 분위기도 좋아요!!! 날씨 좋은날 테라스애서 먹으면 너무 좋은것같어요 담에 또 방문하겠습니다!!!
7.18.금,지인이 여기 디저트가 맛있다고 추천해줘서 와봤는데 서울숲에 이렇게 예쁜 가든 카페인줄 몰랐어요. 사장님이 일본의 유명 나카무라 베이킹 아카데미 출신이시라 디저트가 정말 맛있어요. 시그니처인 말차 딸기라떼도 너무 달지 않고 말차맛이 진해서 좋아요. 비오는날 운치있고 정말 좋네요^^
7.18.금,"🥤성수의 비밀 정원 카페, 푸르너스가든—도심 속에서 딸기말차라떼 한 모금에 봄날의 여운을 담기 딱 좋은 곳입니다.🌿🍓  성수서울숲역 근처, 정원과 조경이 어우러진 공간은 도심의 소란을 잊게 해주고, 넓은 좌석과 깔끔한 화장실 덕분에 데이트나 모임에 적합합니다. 딸기와 말차가 절묘하게 조화된 딸기말차라떼는 깔끔한 쌉쌀함과 상큼한 과일향이 입안을 촉촉하게 감싸줬고, 프롬포 카페에서 픽업한 케이크와 함께하니 달콤함까지 완벽하게 채워졌어요.  안쪽 정원의 연못과 새장, 야외 테라스는 분위기템이 따로 없고, 비가 오거나 날이 좋은 날이면 특히 분위기 2배입니다 .  차분하고 아기자기한 인테리어는 혼카페에도 좋고, 조용한 대화가 필요한 데이트에도 찰떡이고요. 성수동이나 서울숲에 갈때마다 또 올 것 같아요!!!"
9.20.토,글루텐프리 카페 찾아서 왔는데 너무 잘 온 거 같아요! 카페가 예쁘게 꾸며져있고 케이크도 다 맛있어서 정말 좋게 힐링하고 갑니다~🩷
7.17.목,"단체여서 급하게 전화 예약 해서 방문했습니다. 서울숲 속의 미니 정원처럼 너무 아기자기하고 예쁜 카페입니다. 디저트로 스콘, 케이크도 다 수작업으로 만드신대요. 시그니처 말차딸기라떼랑 옥수수크림라떼 다 맛있게 마시고 깔끔하게 아메리카노로 입가심까지 했습니다. 친절하고 공간도 넓어서 손님이 많은데도 아늑한 느낌이네요. 분위기, 맛, 친절 어느 것 하나 빠지지 않네요. 바로 옆에는 주문제작 케이크 카페도 같이 있어요. 주문 제작 후 카페에서 생일파티도 된다고 합니다. 주차는 2분거리 공영주차장 이용하면 됩니다."
8.8.금,아담하고 너무 예쁜카페에서 제대로 힐링하고 왔습니다 바로 옆에 작은 연못까지 와~그리고 조금있으니 비가 내리더라구요~분위기 미쳤어요~그래서 미팅이 좀 길어졌다는 거죠ㅎㅎ 덕분에 미팅결과가 좋았다는것 까지~👍👍
10.3.금,일단 풍경이 너무 좋아요!! 완전 정원이 미쳣구요 티라미수도 너무 맛잇어요 살살녹습니다 직원분도 너무 친절하세요
7.17.목,서울 상경해서 와이프와 서울숲에서 데이트 후에 식사후 지인들과 차한잔 하려고 방문했는데 연못도 있고 카페가 이뻐서 들어왔는데 케익이랑 스콘도 같이 주문해서 먹었는데 평소 체인점들에서 먹던 것과 달라서 좋은 추억 남기고 가네요 매번 아아만 먹다가 전혀 경험하지 못했던거들을 먹었는데 기분 좋은 시간을 보내서 행복하네요 직원분들도 친절하고 음악과 커피 케익 디저트들이 맛있어서 다음에 또 방문하고 싶은 곳이네요~~
9.28.일,케이크도 음료도 너무 맛있고 인테리어가 너무너무 멋있어요 도심속 힐링스팟💚
8.23.토,성수에서 편안한 분위기에 커피 마시고 싶을때 들러요. 라떼 맛있고 사장님도 친절하시네요~~
8.12.화,야외 인테리어가 아주 멋지고 구경하기 좋습니다. 음료와 케이크도 다 맛있네요. 당근케이크 강추합니다. 당근과 시나몬이 조화롭게 달콤하네요. 수제 케이크 맛집. 목소리가 울리지 않고 자리 간격이 있어 대화하기 좋습니다. 배경음악도 시끄럽지 않고 편안한 음악이 흘러나와 귀가 아프지 않네요.
