date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
10.4.토,"여기서 킹크랩 먹었는데 다 괜찮았는데, 킹크랩 볶음밥에 사기를 치시더라구요. 볶음밥에서 킹크랩 내장 향과 맛이 안 느껴졌어요;; 4kg짜리 킹크랩의 내장이 저렇게 많은데 볶음밥을 시키면 얼마나 시킨다고 맛이 하나도 안 나죠? 보자마자 맛있어 보이는 비주얼도 아니고 김맛밖에 안 나는 볶음밥을 줘놓고서는 저희가 여쭤보니 계속 장이 들어갔다고 우기시더라구요? 저렇게 흥건히 있던 내장 국물이랑 내장이 발이 달려서 도망간 건가요? 다른 분들은 드실 때 밥이랑 김만 달라고 하시고 따로 해드세요;; 이 정도로 맛없는 볶음밥은 처음이었고 같이 간 가족들 모두 황당한 경험이었습니다. 다시는 이런 사기치는 집은 안 가고 싶어요."
8.21.목,또 킹크랩 포장해서 먹었는데 이번에도 손질 깔끔하게 잘 해주셔서 편하게 잘 먹었어요ㅎㅎ 살 정말 많고 보기도 싱싱해서 믿고 먹어요~ 사람이 괜히 많은게 아니다 싶은 맛집입니다! 사장님 늘 친절하세요~! 서비스도 최고👍🏻
9.26.금,"너무 오래기다렸어요ㅠㅠ1시간이상입니다.. 금요일 6:40분 도착, 7:45분 자리배정. 식당은 깔끔하고 좋은데요. 예약자 우선입니다."
8.17.일,킹크랩 포장했는데 먹기좋게 손질해주셔서 맛있게 먹었습니다. 살도 알차게 들어있고 달아요 달아. 멀리왔는데 포장이 아주 깔끔해서 마음에 들어요~
8.16.토,킹크랩 포장했는데 살 진짜 많아요 너무 맛있어서 리뷰까지 쓰는.. 가성비도 좋고 서비스도 넘 좋았어요^^ 지인들한테도 소문냈어용 추천!
7.8.화,노량진에 수많은 매장중에서 이거 하나만은 확실합니다. 킹크랩은 이집이 최고에요. 너무나도 많은 정보에 홍수속에 어렵게 찾아낸 사실이니 적극 추천합니다. 비슷하지만 약간 다르다 라는것 무슨의미인지 아시죠? ㅋㅋ
7.10.목,킹크랩 포장해 먹었는데 너무 맛있었어요ㅎㅎ 살수율도 좋고 먹기 편하게 다 손질해주셔서 너무 편하게 잘 먹었어요! 포장도 깔끔하게 잘해주세요~ 몇 번 갔는데 갈 때마다 후회없는 곳입니당 사장님도 늘 친절하새요!! 가서 보면 항상 엄청 신선하고 질 좋아 보여요👍🏻👍🏻
